,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,n*****3,5,2023-03-23 17:57,,"Beauty Profile: đóng gói chắc, giao nhanh
Sản phẩm oke, giao hàng nhanh, đóng gói chắc",,0,1,1,0.9999989
1,b*****4,5,2023-01-30 20:48,,"Công dụng: ngăn ngừa gàu
Mùi hương: dịu nhẹ
Dành cho tóc: mọi loại tóc
M mới dùng 1 ngày mà đã thấy bong da gàu rùi và  
Thấy đỡ ngứa hẳn lun í 
Shop còn tặng kèm túi đựng","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",4,1,0,5.1351914e-09
2,ngoc_nd18,5,2023-03-27 10:42,,"Mẹo: ok
Hương thơm: ok
Làm đẹp: ok
Nhận đc hàng rất ưng, đc tặng thêm chiếc túi màu cam khá đep. Tuy nhiên dùng túi đó thì đi tới đâu ngta cũng biết đầu mh bị gàu cười ghê 🤣🤣",,1,1,0,0.0034855767
3,d_sd2zwenu,5,2023-04-06 02:27,,"Bao bì: đẹp
Mẹo: khum bít
Làm đẹp: chất lượng tốt
Săn được mã giảm 50k lại còn được tặng túi",,0,1,0,2.7534883e-08
4,luuh.tra,5,2023-03-17 18:59,,"Kinh nghiệm sử dụng: không
Làm đẹp: Tóc gàu, nấm
Mẹo: Có mẹo gì mụ nội
Sp chỉn chu, đóng gói đầy đủ
Mua cho bồ xài nên tui không biết dùng ổn, chắc  là cũng ok đó
Để xài lâu dài coi hợp ko ha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.014781795
5,h*****n,5,2023-03-14 13:12,,"Công dụng: trị gàu, nấm da đầu hiệu quả
Mùi hương: Bình thường
Dành cho tóc: nấm, gàu
Sản phẩm rất tuyệt vời, trị nấm hiệu quả nhanh hết lắm. Mọi người nên mua để sử dụng nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,2.3870227e-06
6,qanee,5,2023-02-20 00:14,,"Công dụng: Trị gàu và nấm hiệu quả
Mùi hương: thơm nhẹ
Dành cho tóc: gàu, nấm
sản phẩm trị gàu và nấm rất tốt, tóc sẽ khô nên cần dùng kèm dầu xả.

shop đóng gói cẩn thận, kèm quà rất okie nhé","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,9.638775e-05
7,yennhi_210,5,2023-02-02 11:00,,"Công dụng: trị gàu
Giao hàng rất nhanh, đóng gói rất cẩn thận, sản phẩm đầy đủ còn có quà tặng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.019716948
8,elatrang,5,2023-01-08 17:04,,"Công dụng: trị gàu
Mùi hương: dầu xả thơm nhẹ
Dành cho tóc: gàu
Đọc review nên mua dùng thử nên chưa biết chất lượng như thế nào. Điểm cộng là đóng gói cẩn thận.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,2,0,1.599405e-05
9,vananhh2321,5,2023-04-06 12:00,,"Làm đẹp: tốt
Hương thơm: ổn
Kinh nghiệm sử dụng: đã từng sử dụng
Giao hàng nhanh, shop giao đầy đủ hàng, đóng gói rất đẹp, còn đc tặng túi đựng đồ trang điểm xinh, sẽ tiếp tục ủng hộ shop",,0,2,1,0.99999833
