,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,l*****2,5,2022-10-21 12:39,,"Đóng gói cẩn thận giao hàng nhanh sản phẩm cầm chắc tay, thấm nhanh nhé mọi người nhưng mùi hơi giống bột giặt",,0,1,0,0.0027774256
1,h*****6,5,2023-03-22 16:33,,"Benefits: kem chong nang cho da maf
User Tips: chua dung chua biet
Đóng gói ổn nhanh",,0,1,0,5.844665e-06
2,l*****5,5,2023-01-30 17:56,,"Công dụng: kem chong nang
Mùi hương: không rõ
Dành cho da: thường
Chất lượng sản phẩm tốt, đóng gói chắc chắn, thời gian giao hàng nhanh.",,1,1,0,8.216635e-08
3,h*****k,5,2022-12-20 16:25,,"Công dụng: Chống nắng
Mùi hương: mùi nhẹ,bay nhanh sau khi tán
Dành cho da: da nhạy cảm, khô
Chất kem mịn,dễ tán, ko để lại vệt trắng như nhiều loại kcn, kcn phổ rộng",,0,1,0,8.241567e-14
4,t*****e,5,2022-11-30 23:14,,"Công dụng: kem chống nắng
Mùi hương: không mùi
Dành cho da: mọi loại da
Ship hàng nhanh chóng, đóng gói cẩn thận. Mình chưa dùng sản phẩm nhưng sẽ review lại nếu có vấn đề. Còn không thì sản phẩm sử dụng tốt",,1,1,0,1.8383647e-09
5,c*****3,5,2022-11-25 22:20,,"Công dụng: chống nắng
Mùi hương: không
Dành cho da: hỗn hợp
Sản phẩm giống như hình ảnh. Chất lượng sản phẩm này cũng tạm ổn. Ok ok",,0,1,0,3.608031e-13
6,w*****6,5,2023-05-02 10:49,,"Kinh nghiệm sử dụng: mới dùng lần đầu
Làm đẹp: chống nắng
Hương thơm: Không mùi
Lớp mỏng nhẹ, ko bết rít",,0,2,0,2.7535046e-07
7,k*****9,5,2023-04-10 10:29,,"Săn sale mua được kcn của Cosrx quá ngon. Luôn tin tưởng khi dùng đồ của hãng.
KCN ghi rõ các màn lọc và những khuyến cáo cho người dùng.",,0,2,0,0.5461034
8,nldkhoa112,5,2023-03-18 21:40,,"Beauty Profile: OK
Benefits: OK
Usage Experience: OK
Giao hàng nhanh, chất lượng sản phẩm tuyệt vời. Nói chung là hoàn toàn hài lòng, không có gì phải bàn. Shop đáng giá 5 sao nhé!!!",,0,2,0,1.443322e-05
9,thuyen02,5,2022-07-25 14:11,,"Chưa sử dụng thử nên chưa biết đk, bình luận chỉ mang tính chất nhận xu thôi nha",,1,2,0,3.9163575e-11
11,d*****u,5,2022-12-18 11:16,,"Ok lắm nha
Tuyệt vời luôn 
Giao hàng nhanh nè
SD lâu sẽ thấy rõ hiệu quả",,0,2,1,0.99999964
12,k*****0,5,2022-12-15 14:18,,Mẫu mã giống hình ảnh quảng cáo  hàng nước ngoài nhưng giao nhanh.,,0,3,0,8.300874e-09
13,thanhduyen2803,5,2023-02-15 18:09,,"Công dụng: choonsg nắng
Mùi hương: giống mùi bột giặt
Dành cho da: khô
Sản phẩm đẹp, bao bì đẹp, chất kem dễ tán, mướt, ko vón cục, không nâng tone, tuy nhiên mình da thường nhưng thoa kem không thấm, để lại 1 lớp bóng nhớt trên mặt nhìn rất ghê.",,2,3,0,3.7695816e-10
14,tuan11590263,5,2023-05-07 15:02,,"Hương thơm: thơm
Dùng thích . Nhưng hơi bóng .",,0,3,1,0.88425446
15,nguyenbac5020,5,2023-05-14 14:57,,"Bao bì: ok
Làm đẹp: chưa dùng nên chưa biết",,0,3,0,0.00028178786
38,c*****3,4,2022-09-25 22:18,,"Mall mà đóng hàng tệ quá, băng keo dán còn k dính nổi vào hộp.  các bạn tin đc k mall mà đóng gói sp tệ vậy.",,0,1,,
39,h*****3,4,2023-05-26 17:46,,"Làm đẹp: không nâng tông da
Thấm nhanh, thoa lên sẽ thấy bóng nhưng sẽ thấm nhanh tệp vào màu da, ko gây khô da và kích ứng ( da mình là da nhạy cảm).",,0,1,,
