,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,k*****5,5,2023-04-05 15:50,,"🌱 3 năm sếp tặng 4 cuốn
Mới hoàn thành đc 2 cuốn thôi ạ🌱 
 
2 Cuốn “ Muôn kiếp nhân sinh” nên đọc nha mọi người, nói về luân hồi chuyển kiếp, nhân quả siêu hay mà hay quá bắt buộc phải share cho mng ạ
Biết ơn sếp🥰",,0,1,1,0.9173576
1,photographer1798,5,2021-10-02 09:45,,"Mẹ nào đam mê style hàn quốc hãy múc ngay các em nó 😍😍 đẹp đỉnh luôn. Giá rổ 4-5xx nay lại đang sale chỉ từ 3xx đổ về không tranh thủ odr lúc này thì còn đợi đến bao giờ nữa. 

Size 80: 9-11kg
Size 90: 11-13kg
Size 100: 13-15kg
Size 110: 15-17kg
Size 120: 17-19kg
Size 130: 19-21kg
 
🙅‍♀️ odr từ 3",,1,1,0,0.03569699
2,phuongkl00,5,2022-06-17 16:33,,"Công dụng: tránh muỗi
Mùi hương: hương khuynh diệp
Giao hàng nhanh. Mình chưa sử dụng nhưng thấy mùi khá dễ chịu",,0,1,0,1.8717374e-05
3,h*****m,5,2021-11-22 14:14,,"Giao hàng rất nhanh,mùi sản phẩm thơm, trước đó m đã dùng qua chống muỗi khá tốt,cảm thấy mùi hương sả chanh chống muỗi tốt hơn,nhưng mùi khuynh diệp thì dễ chịu hơn",,1,1,1,0.99999654
4,p*****4,5,2022-06-25 21:04,,"Đúng tiêu chí, dùng tốt , phù hợp từ trẻ đến lớn ,giá cả ổn , phù hợp",,0,1,0,9.479404e-06
5,anhemxomtrai,5,2022-08-14 12:02,,Có mèo ss thì tốt hơn cho tôi biết rồi anh đang đi chơi vui lòng gọi cho,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,0.00014990443
7,phuongnguyet2407,5,2022-06-16 18:09,,"Công dụng: xịt chống muỗi
Mùi hương: khuynh diệp
Shop giao hàng rất nhanh, đóng gói rất cẩn thận, chất lượng.",,0,2,1,0.937497
8,cathyhuynhloan,5,2021-09-10 21:19,,"Chai nhìn chất lượng đúng mâu mã, hang chinh hãng nên yen tâm xai, hy vọng hiêu qua totakfkckckckdksdkfkfkfkfkfkfkcdkskdkfkfkckckdkskekdkfk",,1,2,1,0.9972976
9,lethiquynhnhu1999,5,2021-09-27 17:58,,"Khá hài lòng, đóng gói cẩn thận,mới nhận hàng nên k biết có tốt k. Cho shop 5*",,0,2,0,0.11834168
10,lananh295.,5,2022-07-01 11:21,,"Giao hàng hơi lâu ạ , shop giao đủ hàng đúng hàng , chưa dùng thử lên kg bt nhue thế nào ạ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,2,0,0.0014766107
11,ngoclieu3793,5,2022-05-09 11:39,,Hàng đẹp ok đóng gói cẩn thận lắm lun nha mấy bạn ơi mua đi nha bạn,,1,2,0,2.557183e-10
12,depchonang,5,2022-06-09 14:49,,"Công dụng: tỐt
Mùi hương: dịu nhẹ
Giao hàng nhanh giá sale tốt,xịt công nhận có hiệu quả chống muỗi",,0,3,0,2.110662e-15
13,b*****1,5,2021-11-08 22:16,,Xịt mùi dễ chịu ... ko pik có đuổi đc muỗi không nhưng an toàn vs em bé là ok .,,0,3,1,0.97301686
14,p_wieyado9,5,2022-08-17 09:57,,"Công dụng: đuổi muỗi
Mùi hương: Thơm nhẹ
Sản phẩm tốt mùa mưa nhiều muỗi bé đi học xài loại này là ok nhất","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,3,0,4.5567985e-12
15,lk9ls4hbj7,5,2022-11-16 12:22,,"Công dụng: xua đuoi muoi cho bé
Mùi hương: khuynh diệp
Bé nhà mình thuộc da nhạy cảm dễ kích ứng nhưng dùng loại này da không bị kích ứng an toàn tiện sử dụng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,8.839264e-05
16,chauphuong0907,5,2022-04-28 09:30,,OK OK OK súp ướm syolwnsbbd gái S DV DNS kệ hơi hệ e hên em bã bán h,,0,3,0,0.030584853
17,hang_hang.3,5,2022-05-31 01:30,,"Công dụng: chống muỗi cắn
Mùi hương: dịu nhẹ
Giao hàng nhanh. Đóng gói chắc chắn. Phù hợp với giá tiền .",,0,3,0,0.6037844
18,shopbesoc2021,5,2022-06-13 20:56,,"Nhận hàng trong vòng 3 ngày .mới dùng nên chưa biết hiệu quả không 
Ship giao thân thiện",,0,4,1,1.0
19,nguyenphuonglinh201191,5,2021-11-09 14:31,,"Giao hàng nhanh như một cơn gió, bé chưa dùng nên chưa biết thế nào, sẽ ủng hộ shop lâu dài.",,0,4,1,0.9996215
20,dogsuog,5,2023-04-03 15:28,,"Sản phẩm chưa sử dụng nên không biết hiệu quả được bao nhiêu % . 
Chai nhỏ nhìn dễ thương .
Các mẹ nên mua để dùng cho bé",,1,4,1,0.98645014
21,thuhapham2802,5,2023-04-02 17:52,,"Shop giao hàng nhanh, tác dụng xua muỗi, mong bé k bị muỗi đốt khi sd",,0,4,0,1.7171463e-06
22,dthu177,5,2023-03-28 11:47,,"Giao nhanh và sản phẩm chất lượng

🌹mọi người vào shop mình xem đồ thanh lý nha",,0,4,0,8.963052e-06
23,n*****5,5,2023-03-26 09:22,,"Mùi hương: ok
Công dụng: ok
Hinh anh mang tc nhan xu. Giao hang nhanh, chat luong ok zx",,0,4,1,0.9999999
