,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,nklien233,5,2023-02-06 22:18,,"Hương sả chanh thơm, dễ chịu. Phòng muỗi hiệu quả lắm. Đã tin dùng 4 năm nay","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.016942006
1,trong2003pro2,5,2023-01-12 12:52,,đẹp xuát sắc .và rất tốt đags để mua kks dmflfinmshcifknsbekfkffm,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",2,1,0,0.05300246
2,k*****u,5,2021-09-12 18:19,,"Dịch mà ship 4 ngày là quá nhanh ùiii. Sản phẩm mua lần thứ hai nè. Xài một chai 150ml tầm 2 tháng hơn mới hết, ngày nào cũng xịt. Tui thấy Mùi oải hương thơm nhất á, sả chanh thì y chang mùi xả à🤣🤣🤣",,1,1,1,0.99998355
3,baochau0255,5,2022-11-13 17:47,,"Công dụng: chống muỗi
Mùi hương: xả
Sản phẩm chống muỗi cũng ok ạ, 11/11 nên mình được tặng gương ạ, nhưng hơi nhỏ hơn mình tưởng tượng. Dạng xịt nên dùng thích hơn dạng kem nhiều ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,1,0,2.8762958e-07
4,canxi.taka,5,2021-09-23 13:42,,"Tuy dịch giao hơi trễ nhưng vẫn đủ hàng, chất lượng còn HSD lâu. Sẽ mua tiếp khi dùng hết",,1,1,0,2.7233258e-07
5,minhphuong_93,5,2022-11-15 00:32,,"Hình ảnh mang tính nhận xu. Chai 150ml khá to, mùi chanh xả dịu dịu chứ cũng ko nồng lắm đâu, nói chung là ổn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,0.074077785
6,b*****0,5,2021-10-02 10:08,,"Giao hàng nhanh, đóng gói cũng tốt.
Kem chống muỗi Ok. Chống muỗi đốt cho bé tốt",,0,2,0,0.00082421774
7,ngothuthao95,5,2023-03-31 03:36,,"Công dụng: x
Mùi hương: d
(TB) VinaPhone kính mời Quý khách tham gia CTKM ""DATA CỰC PHÊ - TRÚNG QUÀ CÔNG NGHỆ"" từ ngày 06/03/2023-30/04/2023. Chỉ cần đăng ký gói cước từ 20.000đ, Quý khách có ngay mã dự thưởng với cơ hội trúng GIẢI NHẤT xe máy điện Vinfast EVO, GIẢI NHÌ máy tính bảng Samsung Galaxy S7, GIẢI BA điện thoại Samsung A33 và một số giải thưởng khác. Tổng giá trị giải thưởng trên 2 tỷ đồng. Chi tiết tại my.vnpt.com.vn/adv/km2023 . CSKH: 18001091 (0đ). Trân trọng!c",,0,2,0,0.00056042225
8,h*****3,5,2023-04-03 08:57,,"Dùng ok mùi ổn
K biết dùng bé 8M có ổn k thấy hãng bảo 6M là dùng được",,0,2,0,0.004745227
9,lehien_12345,5,2023-03-26 19:56,,"Quý khách đã hủy gia hạn gói ST5K, ưu đãi còn lại của gói ST5K được sử dụng đến hết chu kỳ. Để biết các ưu đãi dành riêng cho TB của Quý khách, vui lòng bấm gọi *098#. Chi tiết LH 198 (0đ). Trân trọng.",,0,2,1,1.0
