,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,n*****2,5,2023-03-28 09:49,,"xịt cũng ok, nma nghĩ thay vì 7-8 tiếng thì giữ được 1-2 tiếng thui ạ. mùi thơm ngưởi lâu thì thấy hắc. nlc 8,5/10",,1,1,0,2.551994e-10
1,an.nguyen.22,5,2021-10-26 21:19,,"Giao rất rất nhanh, chai xịt mùi nhẹ, ko nghe đc mùi lavender, xài xong mình vâbx bị chích nhưng ít",,3,1,0,1.2700372e-11
2,t*****6,5,2023-02-17 17:18,,"CĂNG❗️NHÂN VIÊN SMTOWN ĐOÀN KẾT TẨY CHAY VIỆC HYBE TIẾP QUẢN CÔNG TY❗️

Vào ngày 17/2, Liên đoàn nhân viên SM bao gồm 208 người đứng đầu các phòng ban đã đưa ra một tuyên bố bày tỏ sự tức giận và ủng hộ ban quản lý hiện tại.

Họ đã gửi một e-mail có tiêu đề: “Chấm dứt việc Lee Soo Man trốn thuế và thông đồng bất hợp pháp với HYBE để tiếp quản SM một cách thù địch” tới tất cả các nhân viên SM Entertainment.

Nội dung e-mail như sau:

“1. Chúng tôi giữ gìn bản sắc độc đáo của SM và tính dạng văn hóa của KPOP. Văn hóa SM tuyên bố rằng nó không thể phụ thuộc vào vốn của HYBE.

 2. Chúng tôi tích cực ủng hộ và khuyến khích sự tự ngẫm của đồng CEO Lee Seong Soo và Tak Young Jun cũng như kế hoạch đa sản xuất SM 3.0.  Ngoài ra, chúng tôi yêu cầu sự bảo vệ mạnh mẽ hơn để người hâm mộ và nghệ sĩ của chúng tôi không bị tổn hại. 

3. Chúng tôi phản đối hoạt động M&A thù địch của HYBE và những nỗ lực gia nhập vào Hội đồng quản trị một cách bất hợp pháp. Chúng tôi sẽ chống lại HYBE đang cố gắng chiếm lĩnh SM bằng phương thức bất thường. 

Lee Soo Man đã từ bỏ SM và Pink Blood để chạy trốn. Nhưng. 

Chúng tôi sẽ ở lại Seoul Forest, bảo vệ SM và Pink Blood.

Ngày 17/2/2023. 

Tất cả các thành viên của Hội đồng nhân viên thường trực của SM Entertainment.”","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,0.0011874349
3,phqduy,5,2023-01-11 17:08,,"Công dụng: chống muỗi
Mùi hương: thơm
Giao hàng nhanh ko bị vỡ . SP tốt chưa biết kết quả nhưng vẫn cho 5 sao","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.0020881293
4,ngocnguyen18101801,5,2023-01-10 20:18,,"Mùi hương: de chịu
Công dụng: chong mui
Đã từng xài qua rồi , xua muỗi rất hiệu quả , mùi hương dễ chịu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,1,0,0.0051081427
5,cty.sieu.khang.q11,5,2022-01-22 10:26,,"Hàng mới , date mới 
Shop uy tín , hàng chất lượng 
Sẽ ủng hộ Shop lâu dài",,1,1,1,1.0
6,k*****u,5,2021-09-12 18:19,,"Dịch mà ship 4 ngày là quá nhanh ùiii. Sản phẩm mua lần thứ hai nè. Xài một chai 150ml tầm 2 tháng hơn mới hết, ngày nào cũng xịt. Tui thấy Mùi oải hương thơm nhất á, sả chanh thì y chang mùi xả à🤣🤣🤣",,0,2,1,0.99998355
7,yollyvn_2812,5,2021-10-03 17:56,,"Mùi thơm dễ chịu xịt ok ko bị muỗi hôn, đóng gói cẩn thận, hàng giao nhanh dịch mà nhanh z là cũng ok lắm ak, hết sẽ mua tiếp",,0,2,0,0.40740624
8,amandine01,5,2022-02-22 16:39,,"Hàng chất lượng, sẽ ủng hộ shop",,2,2,0,5.061667e-05
9,h*****x,5,2023-03-30 22:18,,"Công dụng: ngăn muỗi tới gần
Mùi hương: nhẹ nhàng kh nồng
Sản phẩm ổn nhé, muỗi kh tới gần luôn",,0,2,0,2.7086992e-06
10,yuri876nt,5,2023-02-19 13:32,,"Công dụng: Chống mũi cắn
Mùi hương: Lavender
Ship nhanh mua sale 58k 2 chai, gói hàng kĩ, xài tốt không còn bị muỗi cắn mà mũi thơm dễ chịu nữa. Sẽ mua thêm ủng hộ shop.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen.",0,2,0,1.0310025e-06
11,trangmathan,5,2023-02-05 18:44,,"Công dụng: Đuổi muỗi
Mùi hương: Lavender
Chưa sử dụng nên chưa biết rõ hiệu quả ra sao. Mong sẽ tốt trong việc tránh bị muỗi cắn. Giao hàng nhanh chóng đóng gói tót.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,2,0,0.004280714
12,huyntrangh479,5,2023-01-06 14:12,,"Công dụng: xịt muỗi hiệu quả
Mùi hương: lavender
Mua 1 lần cả năm, đang đặt thêm, hàng đang về .","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,0.00094251544
13,n*****o,5,2022-11-29 21:49,,"Công dụng: xịt chống muỗi đốt
Mùi hương: mùi oải hương
Mình rất thích mùi này nha, dễ chịu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé.",0,3,1,0.99723345
14,phat.phamtan,5,2022-04-02 15:01,,"Chai này to quá 
Tình mua để đi du lịch mà mua lộn size huhu
Ko biewts xài bao lâu mới hết",,0,3,0,2.2743468e-05
15,armyt,5,2022-02-13 11:20,,"Giao hàng khá nhanh,bọc hàng cẩn thận, chưa mở nên kb mùi thế nào,nhìn chai bên ngoài đẹp",,0,3,0,2.8384937e-05
16,h*****1,5,2022-02-21 22:25,,"Sản phẩm tốt mùi thơm chai rất to lun sài hk bít nào hết lun chưa bít kết quả ra sao thui 
Mới đầu khui ra xịt thử tín âu hk phải ai đúng vs sp e mún mua",,0,3,1,0.9999995
17,hoangnga192,5,2021-09-27 16:51,,"Thấy hay ho nên đặt về 
Chả biết có tác dụng không nữa
Hai chai khá thơm và khô nhanh không gây cảm giác dính khi dùng",,0,3,0,1.0937062e-09
18,t*****4,5,2022-05-16 16:21,,"Shop xử lí đơn hàng nhanh, sp dùng tốt phù hợp với giá tiền, dùng xong sẽ mua tiếp. Hình ảnh chỉ mang tính nhận xu",,0,4,0,4.092597e-15
19,k*****g,5,2021-11-02 09:47,,"Hàng đúng mô tả, gói chắc chắn, ship nhanh mùa dịch, thanks shop!",,0,4,1,0.9844221
20,hungcoctal,5,2023-04-05 11:00,,"Giao hàng nhanh, tốt, không ngoài mong đợi ạaaaaaaaaaaa",,0,4,1,0.9333378
21,t*****.,5,2023-04-05 15:12,,"Mùi hương: thơm
Công dụng: chống muỗi
Mùi hơi gắt 
Màu trong veoooooo
Giao hàng nhanh
Xịt xong muỗi vẫn bay xung quanh nhưng ko dám cắn",,0,4,0,7.417846e-12
22,v*****a,5,2023-04-05 18:46,,"Mùi hương: lavender
Công dụng: xịt chống muỗi
Giao hàng cực nhanh
Đóng gói khá cẩn thận
Chưa sử dụng",,0,4,0,0.02819844
23,bellabee00,5,2023-03-28 02:19,,"Shop giao hàng nhanh , mùi thơm dễ chịu , mua của mall thì yên tâm về giá và chất lượng chuẩn rồi nha",,0,4,0,1.1956965e-10
24,v*****9,5,2023-03-29 11:39,,Giao hàng hơi lâu. Đóng gói cẩn thận. Được bạn giới thiệu bảo tốt lắm. Mùi khá nồng rất giống mùi lăn nách nam,,0,5,1,0.9999752
25,thuyvi2412,5,2023-03-27 13:38,,"Mình có xịt thử thì thấy mùi cũng dễ ngửi, xịt xong thoa đều ra thì muỗi k cắn chỗ đấy thật nhưng tốn",,0,5,0,2.3700836e-10
26,b*****l,5,2023-03-23 20:00,,"Mùi hương: lavender
Công dụng: chong muoi
Giao hàng rất nhanh, đóng gói kĩ, săn sale nên được giá rẻ, sẽ mua lại lần nữa ạ
Xịt rất tiện và chắc chống muỗi ok",,0,5,1,0.99804926
27,xuongquanaotreemvani52,5,2023-03-23 19:17,,"Công dụng: chong muoi
Mùi hương: hơi nồng
San phâm tôt nha
Bua giờ su dung không để ý
Nay xịt thấy muỗi bay đi thật nha
Hiệu quả đáng mua
Bé mình mới 1 tuổi nhưng chị mình giới thiệu loại này hiệu quả hơn chai 6th
Chai này thì mình xịt quân áo thôi",,0,5,0,0.019669447
28,anhngoclee,5,2023-03-25 08:37,,"Xịt chống muỗi mùi thơm, dễ chịu chống muỗi tốt, ngủ cả đêm ko bị đốt luôn",,0,5,1,0.99895513
29,locngo219912,5,2023-03-24 22:45,,Hình ảnh mang tính chất minh hoạ ạ. Xịt muỗi dùng khá hiệu quả ạ.,,0,5,0,0.06023962
30,Người dùng Shopee,5,2023-03-04 14:49,,"Công dụng: xịt chống muỗi
Mùi hương: oải hương
Shop giao hàng nhanh mùi thơm dễ chịu chống muỗi tốt",,0,6,0,0.50630385
31,p*****6,5,2023-02-24 06:16,,"Chất lượng sản phẩm tốt!Giao hàng nhanh, đóng gói cẩn thận Sẽ mua lại","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,6,0,0.1791835
32,h*****4,5,2023-02-15 07:23,,"Đẹp ngoài mong đợi, giục định huỷ đơn vì mãi thấy trạng thái người gửi đang chuẩn bị hàng thì giao rất nhanh. Ốp cầm như nhung, hơi trơn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,6,1,1.0
33,hoangthuylinh91,5,2023-02-16 19:36,,"Nên mua nhé mọi người.
Mùi hương dễ chịu.
Chống muỗi tốt.
Mình thường xịt trước khi ngủ để tránh muỗi đốt cho cả gia đình","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,6,0,0.0033018761
34,duyenhoang1994,5,2023-02-25 18:22,,Đã mua nhìu lần. Xài rất ok nhé. Nên mua nha mn. Mùi lavender rata thơm,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,6,0,1.2948687e-08
35,fairyltc,5,2023-02-20 19:23,,"chai to lém mùi thơm nữa, từng dùng chai nhỏ nhưng đã hết, nay quất lun chai mới và to hơn lun","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,6,0,0.0024536313
36,0*****.,5,2023-02-20 12:38,,Hàng giao nhanh á đóng gói cũng oke dùng giấy cũng ổn á ncl ưng á,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,7,1,0.99951875
37,r*****g,5,2023-02-18 11:37,,"Công dụng: chống muỗi
Mùi hương: lavender
Chất lượng tốt, thơm dễ chịu.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,7,0,5.7151657e-09
38,d*****2,5,2023-02-08 23:38,,"Giao hàng nhanh, sản phẩm date xa, mùi hương dễ chịu đóng gói cẩn thận","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,7,0,2.5501414e-09
39,t*****h,5,2023-02-05 05:17,,"Mua nhiềi lần rồi, bé xài cũng lây rồi, mua được lúc giảm giá rất thích ạ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,7,0,1.0776734e-07
40,l*****7,5,2023-01-17 10:41,,"Mùi lavender thơm dễ chịu hơn mùi sả chanh, có chỗng muỗi nhe, dạng xịt tiện lợi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,7,1,0.9999323
41,khanhhan_99,5,2023-01-17 21:05,,"Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn 💯","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,7,0,0.0002129921
42,l*****3,5,2023-01-11 22:41,,"Chất lượng ok , gội đầu bớt gàu , mua của shoppe mall nên cũng yên tâm chất lượng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,8,0,0.019419907
43,roseanh1301,5,2023-01-15 23:19,,"Hình ảnh và video chỉ mang tính chất nhận xu 
Giao hàng nhanh, giao đủ, giao đúng. Mùi thơm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé
",0,8,0,3.584509e-10
