,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,muon.mua.do.1,5,2022-10-31 13:05,,"Công dụng: làm đẹp, sạch mụn
Mùi hương: thơm cực kỳ thơm
Dành cho da: da mụn
Đóng gói chắc chắn phía trong nhưng hơn ọp ẹp phía ngoài, sp dùng tốt, giảm mụn nhanh, đầy đủ hàng và quà tặng, dịch vụ tốt, trả lời tin nhắn nhanh, có túi chống sốc, sp ko bị móp hay bất cứ vấn đề j cả, sẽ tiếp tục ủng hộ shop nhiều 😘","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",4,1,1,0.7122987
1,s*****9,5,2023-01-28 15:16,,"Công dụng: chắc là giúp da mụn
Mùi hương: ko hắc ko tệ chắc là thơm (tại đang ngẹt mũi:()
Dành cho da: mụn
Gói đồ hơi buồn tí:(( sản phẩm thì ok","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,1.9150976e-08
2,ngocnehihi1201,5,2021-09-19 02:59,,"Sau bao ngày chờ đợi thì cuối cũng cũng về đến tay. Dịch này đặt gì cũng khó ship hicc, may mà về kịp chứ k là mìn k có srm để dùng rùii, da hợp mỗi loại này 🥰🥰",,1,1,0,0.00078482676
3,ntmhue.205,5,2022-09-04 22:54,,"Và rồi sẽ có một ngày, bộ quần áo chúng ta lấy khỏi tủ mỗi sáng sẽ không phải bộ đồng phục học sinh nữa, rồi sẽ có một ngày chúng ta chỉ biết cách nhìn ngắm những bức ảnh để nhớ về tuổi 17 đầy kí ức đẹp đẽ.","Rohto xin chào bạn ạ, Rohto rất vui khi nhận được phản hồi tích cực từ bạn dành cho Rohto Mentholatum Việt Nam. Mong bạn sẽ luôn ủng hộ Rohto ạ! Cảm ơn bạn.",0,1,0,3.7229106e-09
4,n*****g,5,2022-02-19 17:10,,"Công dụng: làm sạch
Mùi hương: mùi cam
Mk thấy sạch và ko căng da ok",,0,1,0,0.42339006
5,tuantran1501,5,2022-12-08 20:57,,"Công dụng: ngừa mụn cho đẹp trai
Mùi hương: thơm nhẹ
Dành cho da: da nhờn, dầu, hay nhạy cảm với cuộc đời
Shop soạn hàng nhanh. Đóng gói cẩn thận.
Sản phẩm tin dùng lâu năm nên yên tâm.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,3.537934e-07
6,thanhtran668214,5,2022-12-17 18:47,,"Công dụng: trị mụn
Giấy thấm dầu xài rất tốt, lần này mua có rất nhiều quà tặng. Cảm ơn shop nhé.😘😘","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé...",0,2,0,0.00012853819
7,h*****9,5,2022-01-16 16:15,,"Son Lipice nên cũng yên tâm chất lượng. Mình cốt yếu được tặng gối Daraemon nên không quá quan trọng chất lượng!
Good!",,0,2,0,1.6874867e-09
8,minhphuong0717,5,2021-10-21 15:12,,"Sản phẩm chất lượng, rửa mặt dành cho da dầu mụn cực sạch nhé mọi người",,0,2,0,1.5554079e-08
9,y*****5,5,2022-01-25 14:56,,"Công dụng: Rửa sạch chất nhờn dư,tế bào chết và bẩn tận sâu lỗ chân lông.Da sạch thoáng,giảm mụn.
đánh giá để được nhận sao.",,0,2,1,0.99938893
