,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,tania_trung,5,2021-10-21 06:14,,"Mình thích loại serum này, hiệu này sử dụng thấy ok. Giá mình thấy ổn. Mùi hương cũng dễ chịu nên lúc nào mình cũng canh hiệu này sale là mua. 1 chai sử dụng được 3 đến 4 tháng luôn ấy",,1,1,0,1.0107429e-05
1,d*****5,5,2021-11-16 19:55,,Chư dùng chưa biết thế nào nhưng giao hàng nhanh và gói hàng rất kĩ tư vấn tận tình nếu dùng tốt sẽ tiếp tục ủng hộ ạ,,1,1,1,1.0
2,nhoksjro93,5,2022-07-28 22:36,,"Giao hàng nhanh. Đóng gói kĩ, hài lòng. Công dụng chưa biết đc","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,9.419385e-05
3,tangbaongocc,5,2022-07-11 19:45,,Được người bạn giới thiệu. Mua thử lần đầu. Hi vọng hợp với da và có cải thiện cho da của mình. Đóng gói hàng cẩn thận lắm ạh.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1,0,2.0840399e-07
4,thkieuanh97,5,2022-09-11 11:08,,"Shop giao hàng nhanh,đóng gói cẩn thận.mình chưa sài lần nào nên ko biết sao","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,1,0,0.21400025
5,ximuoi2512,5,2021-11-28 16:13,,"Sản phẩm thấm nhanh tốt cho da, thơm mùi trái cây nhẹ, giao hàng nhanh",,0,1,0,0.00024599256
6,m*****9,5,2021-10-25 20:15,,Dlodcjxhbabajsfkofuvychsajcbnxkslaozixcudb h htnkwowiz u gxiksndtbrkksos,,0,2,1,0.9243997
7,q*****9,5,2021-10-20 12:54,,"Nhìn xịn xò, shop đóng gói cẩn thận, giao hàng nhanh 3 ngày là tới. Nghe bạn mình review tốt lắm nhưng mà phải kiên trì xài 🥺🥺🥺",,0,2,0,2.812548e-05
8,d*****o,5,2022-02-26 18:24,,Đơn hàng giao nhanh chóng. Chất lượng sản phẩm tuyệt vời. Shop đóng gói cẩn thận.,,0,2,0,0.0024080675
9,d*****o,5,2022-10-30 00:36,,"Công dụng: dưỡng nám, thẹo, làm đều màu da
Mùi hương: cam
Dành cho da: thường
Không phải da nào cũng thích hợp với dòng vitamin C của Acnes C10, nhưng khi đã hợp rồi thì công dụng thấy rõ rệt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,2.9111963e-10
