,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,huong_nguyen12345,5,2023-03-30 09:01,,Gọi 1lần bớt gàu hẳn tuyệt có cái mùi hơi khó chịu xíu còn lại OK,,2,1,0,0.024247622
1,j*****g,5,2023-02-17 18:22,,"lần đầu mua sản phẩm nên chưa biết hiệu quả, sẽ trở lại khi sử dụng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,1,0.99967754
2,ngthao0211,5,2023-02-15 20:11,,"Dành cho tóc: nhiều gàu
Công dụng: giảm gàu
Mùi hương: bình thường
Giao hàng siêu nhanh, tặng thêm nến thơm,công dụng ok nma sẽ khô tóc.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,1,0,9.412942e-09
3,n*****1,5,2023-02-02 00:46,,Tuyệt vời lắm. Cực kỳ tuyệt vời. Chấm cho 100 điểm ạ. Xuất sắc luôn.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,1,1,0.93477935
4,vudinhduan1,5,2023-02-04 11:39,,"Công dụng: trị gàu
Mùi hương: tùy người cảm nhận
Dành cho tóc: gàu, nấm
Đã dùng thấy ổn. Sạch gàu nhưng vẫn phải gội nhắc lại 1 lần/ tuần.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",3,1,0,3.2223354e-06
5,oc_hen_mit,5,2023-01-02 08:12,,"Công dụng: tốt
Mùi hương: ok. K khó ngửi
Dành cho tóc: có gàu nhiều
Sản phẩm đonga gói cẩn thận, ship nhanh. Dùng thấy rất ok. Hết sẽ mua tiếp ủng hộ ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",4,1,1,0.971826
6,jennie.thu,5,2022-06-06 00:12,,"Công dụng: trị tình trạng gàu trên tóc
Mùi hương: bình thường
Dành cho tóc: da dầu, nhiều gàu
Em có bán bánh tráng, bánh ngọt, cơm cháy, khô gà, da heo,..; các mặt hàng đồ dùng nhà bếp như nồi chiên không dầu,... Mọi người có nhu cầu thì ib zalo 0869209245 để đặt hàng và xem hình ảnh thật nha",,5,2,0,8.4614317e-07
7,suongntn1998,5,2023-01-08 08:35,,"Công dụng: trị nấm, ngứa da đầu
Mùi hương: thơm nhẹ
Dành cho tóc: bình thường
Tôi đã mua lần thứ 3, sản phẩm này sử dụng rất hiệu quả, giá cả hợp lý, khó mà kiếm được sản phẩm nào ưng như v","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,2,0,3.2617436e-06
8,duongvo794,5,2022-12-31 17:30,,"Công dụng: hết gàu
Mùi hương: quá ok
Dành cho tóc: ok
Giao hàng bị móp là ko thể tránh nên tui cx thông cảm shop nhưng hành quá ok hâh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",3,2,0,1.9152261e-11
9,tientqyn,5,2023-01-05 01:42,,"Công dụng: chống gàu
Mùi hương: thơm
Dành cho tóc: đúng
Công dụng chống gàu mùi thơm dành cho tóc nhiều gàu hình ảnh video mang tín chất nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",1,2,0,5.4186294e-10
10,n*****2,5,2022-09-25 19:13,,"Điều 2. Vị trí và chức năng của Ngân hàng Nhà nước Việt Nam

1. Ngân hàng Nhà nước Việt Nam (sau đây gọi là Ngân hàng Nhà nước) là cơ quan ngang bộ của Chính phủ, là Ngân hàng trung ương của nước Cộng hoà xã hội chủ nghĩa Việt Nam.

2. Ngân hàng Nhà nước là pháp nhân, có vốn pháp định thuộc sở hữu n","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",4,2,1,1.0
