,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,uyen9809,5,2023-03-24 08:54,,"Packaging: tot
Beauty Profile: toost
User Tips: tot
Giao hàng nhanh, gội 2 lần là đầu hết ngứa hẳn, kèm theo dầu xả thì tóc sẽ mượt hơn",,4,1,0,4.138859e-06
1,thyvphanth,5,2023-01-30 23:41,,"Công dụng: trị gàu
Mùi hương: thơm
Dành cho tóc: tất cả loại tóc
Sản phẩm trị gàu này tốt nhưng khi dùng xong tóc hơi khô và bết , ship hàng nhanh 
Hình ảnh mang tính chất nhận xu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",5,1,0,1.2903568e-08
2,minhhien248,5,2022-11-15 18:13,,"Đã mua 3 lần với sản phẩm này rồi,sản phẩm quá tốt không lời nào để chê được,chống gàu trị nấm là tuyệt vời ,sản phẩm rất mua nếu ai bị gàu,nấm,nói chung là tuyệt vời ạ","Sunplay xin chào bạn, Sunplay rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Sunplay . Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé. Chúc bạn vui vẻ ạ.",4,1,1,0.78620046
3,phulieumaymac,5,2023-01-12 21:00,,"Công dụng: thuốc  trừ gàu nấm
Mùi hương: mùi thuốc nhẹ
Dành cho tóc: tóc nhuộm hoac ko NHUỘM
Giáo hàng Nhanh, dùng 1 lần là thấy công hiệu ngay, tóc dài nên dùng thêm dầu xả để tóc mượt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",1,1,0,2.1669317e-14
4,phumilano2014,5,2023-01-05 16:09,,Đã dùng và cảm thấy khá là ổn và mình đã mua lại đây là lần thứ 3 rồi,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",1,1,1,0.9722651
5,d*****1,5,2022-12-13 23:45,,"Đã từng sử dụng qua sản phẩm này ,nếu đúng hàng chính hãng sẽ mua tiếp.chưa dùng nhưng nắp chai đã bể huhu nhưng k sao nạ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",3,1,0,2.4668463e-08
6,stg3255,5,2022-12-09 14:30,,"Công dụng: oki
Mùi hương: oki
Dành cho tóc: oki
Moi người nên mua nha , gọi hết gàu đã lắm , giá rẻ nữa , giao hàng nhanh , lần sao sẽ ủng hộ shop tiếp tục","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,2,1,0.9995394
7,do.quyen.19292006,5,2022-12-12 19:15,,"Công dụng: làm sạch gàu
Mùi hương: Thơm
Dành cho tóc: tóc bị gàu
Dùng rất oke luôn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,2,0,7.5899557e-06
8,thiquyen2605,5,2022-10-04 16:31,,"Công dụng: phần mềm thì không có gì là không thể phủ nhận là có
Mùi hương: mua dùm em cái link của bạn thì bạn nên nhớ
Dành cho tóc: vậy r thì phải có cái hay là họ có quyền gì để nói chuyện với nhau người ta có","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,0,7.026278e-05
9,i*****8,5,2022-09-11 15:24,,"Công dụng: giảm gàu, nấm
Mùi hương: thơm nhẹ
Dành cho tóc: tất cả
Sảm phẩm tốt, đóng gói kĩ càng, mình đã dùng rất nhiều lầm, rất chất lượng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,2,0,1.6263291e-06
