,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,r*****o,5,2022-03-22 23:35,,"Công dụng: Dầu gội phù hợp cho da đầu nhạy cảm
Mùi hương: Mùi thảo mộc dễ chịu
Kết cấu: Không có hộp đựng, chỉ có chai vòi nhấn
Lúc nhận sản phẩm đã thấy hộp hàng vị rách từ trước. Sản phẩm được bọc không kĩ nên lúc mình mở ra đã thấy dầu bị chảy ra ngoài rồi.
Sản phẩm thảo dược nên gội cũng ko lo bị dị ứng, nhưng hiệu quả chưa rõ rệt lắm, tóc con mình lên ko nhiều. Nói chung là dùng để gội tạm cũng ổn.",,2,1,0,1.08672e-08
1,peotot,5,2021-12-15 19:20,,"Hàng đóng gói chắc chắn, mua hàng ở mall nên cũng yên tâm phần nào! Lần đầu sử dụng chờ trãi nghiệm để xem có hiệu quả không!",,5,1,0,0.002095183
2,b*****0,5,2021-11-01 12:36,,"Giao hàng nhanh , đóng gói sản phẩm rất kĩ và chắc chắn , mong là sp dùng đạt chất lượng hiệu quả",,0,1,0,0.57324487
3,dieuhoa1981,5,2021-12-18 20:45,,"Giao hàng nhanh sản phẩm giống hình,đang sử dụng,nếu hiệu quả sẽ ủng hộ tiếp,mùi thảo mộc",,1,1,1,0.9089742
4,tthietnguyen,5,2021-12-16 15:33,,"Moi nhận duoc hàng ,giao nhanh,nhưng hang không có đong gói vo hộp riêng,ma chỉ quấn plastic hoi sơ xài,chất lượng de su dung đánh giá sau",,0,1,1,0.89446896
5,Người dùng Shopee,5,2022-04-01 17:32,,"Sản phẩm tốt lắm ạ. Em mới gội hồi sáng , nhưng hơi sơ tóc, mùi thơm nói chung ai da đầu bth gội được do da đầu em hơi nhạy cảm nên thấy nó hơi khó chịu một iat",,0,1,0,0.00049904414
6,l*****2,5,2023-02-13 12:18,,Đánh giá mang tính chất nhận su thôi nha chống rụng tóc cũng được nhưng nếu mùi thơm hơn thì ok hơn,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,9.86872e-10
7,p*****u,5,2023-02-02 12:41,,"Không ngờ cỏ mèo của shop pate Sunny lại dày như vậy luôn, mua fb quen rùi nay có cả trên shopee nữa tiện ghê 10 đỉm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.0027635267
8,ngocchau_0606,5,2023-02-07 10:46,,Dầu gội này gội ít bị rụng tóc lắm nè mình dùng đến chai thứ 2 rồi tốt lắm luôn í,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,0.029282797
9,b*****0,5,2023-02-08 02:06,,được người thân mua về dùng thử thấy ok có mọc tóc nên mua về dùng nữa,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,2.8343551e-05
