,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,d*****o,5,2023-01-14 22:16,,"Công dụng: gội đầu, sạch
Mùi hương: thơm
Dành cho tóc: thường
Megumi rất thơm, rất xịn. Gội vừa giữ ẩm vừa sạch gàu. Giao rất nhanh, Sẽ ủng hộ shop lâu dài","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,1,0.98414695
1,cancervoi,5,2021-10-20 08:45,,"Giao hàng tốc độ cực kì, nhanh như một cơn gió, shop chuẩn bị hàng mau lẹ, dán nắp, bọc kĩ, có mút chống va đập, nhưng gói hàng vẫn tả tơi :))) Megumi thì nghe danh đã lâu, nay sale mới dám hốt, hàng sample xài cực ổn nên mua full ^^",,0,1,1,0.79595727
2,s*****n,5,2022-08-11 12:23,,"Chất lượng sản phẩm thì tốt miễn bàn rồi, nhưng giá cao nên lần nào cũng phải canh sales để mua.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,1.8402063e-13
3,s*****n,5,2022-05-18 20:20,,"Dùng thì tốt nhưng giá hơi cao nên lần nào mình cũng phải canh giảm giá. Mùa nóng gội rất mát, và giữ thơm cũng lâu.",,0,1,0,2.720808e-07
4,l*****9,5,2021-10-26 17:58,,"Sản phẩm giao đúng,đóng gói chắc chắn,canh sale đc giá hời nói chung là okiiii",,0,1,1,0.9330039
5,d*****o,5,2021-12-23 19:46,,Đơn hàng giao nhanh chóng. Chất lượng sản phẩm tuyệt vời. Shop đóng gói cẩn thận.,,2,1,0,0.0024080675
6,n*****5,5,2022-04-09 16:27,,"Công dụng: mới xài 2 lần, chưa biết
Mùi hương: Thơm dễ chịu, gội thích
Mua vì muốn cứu lấy mái đầu, nên phải xài lâu mới đánh giá được. Hiện tại thấy gội thích nha.",,0,2,1,0.7187571
7,h*****9,5,2023-03-11 15:09,,"Công dụng: làm sạch da đầu
Mùi hương: chưa dùng
Dành cho tóc: bình thường
Mình mới mua về dùng thử thôi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,6.488701e-07
8,n*****2,5,2023-01-16 14:43,,"Mùi hương: thơm vừa
Dành cho tóc: thường.
Giao hàng nhanh, đóng gói ổn, đủ hàng, mong giảm rụng tóc như quảng cáo.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,2,0,3.8313556e-07
9,s*****n,5,2022-03-02 00:11,,"Công dụng: Sạch tóc, lúc gội rất mát. Mùa nóng gội loại này thấy thích lắm.
Mùi hương: Thơm, giữ được mùi lâu.
Mà dạo này hơi ít đợt giảm giá/ khuyến mãi cho sản phẩm dầu gội này ☹️",,0,2,0,7.257645e-08
10,mnhichan,5,2022-01-11 12:21,,"Công dụng: sach, mat, mem toc
Mùi hương: thom nhe
Kết cấu: DAu goi kha on, goi sach mat, thom nhe nhang
Mua giá sale nên khá ổn, nhưng dạo này ko thấy có gift tặng kèm nữa. Dầu gội thơm nhẹ nhàng, hương giống kiểm cam quýt thanh mát, khá dễ chịu",,0,2,0,0.20123485
11,__htt.sun_,5,2021-10-03 22:18,,Mùi dầu gội thật sự k thơm và khi gội mình cảm thấy mùi khó chịu lắm. Nhưng sau khi gội xong tóc khô thì cx k còn 1 tí mùi gì luôn. Mình nghĩ shop nên cải thiện mùi hương của dầu gội. Còn đỡ rụng tóc hay k thì mình ms gội 2 lần. Thấy có giảm mà chưa rõ rệt,,0,2,0,2.4112019e-06
12,tiienduong,5,2021-11-17 20:43,,"Chưa sử dụng, ko biết chất lượng tnao
Máy lọc nước công nghệ nhật bản mà không cần đun sôi có thể uống trực tiếp nha khách",,0,3,0,2.2137718e-07
