,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,10o7d_6mns,5,2023-03-27 20:24,,"GIGI HADID CHIA SẺ PHẢN ỨNG CỦA MÌNH KHI NGHE TIN TÌNH CŨ ZAYN HẸN HÒ CÙNG SELENA GOMEZ 🔥

Cô nàng chia sẻ: ""Tôi không ngại việc hai người họ đến với nhau, miễn là anh ấy có cuộc sống hạnh phúc, ổn định. Và vẫn tiếp tục làm một người cha tốt của cô con gái - Khai"".",,0,1,0,0.0510761
1,nguyenthingocanh20121994,5,2023-02-22 13:52,,"Mua cả bộ gội tắm rửa mặt cho chồng dùng xem có hợp k, chứ ổng thích srm lắm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,6.671253e-07
2,dukinz,5,2023-02-22 22:10,,"Mùi hương: Thơm
Mùi thơm dễ chịu, Shop tư vấn nhiệt tình, lần sau sẽ ủng hộ thêm!","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,1,1.0
3,h*****l,5,2022-12-15 16:30,,Giao hàng nhanh đóng gói chắc chắn mình sẽ tiếp tục ủng hộ shop,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,1.0
4,dannyhoangphuc,5,2022-10-18 23:09,,"Đã nhận được hàng, để sử dụng xem sao, nếu ổn sẽ ủng hộ shop lần sau👍🏻👍🏻👍🏻👍🏻👍🏻","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,0.07920716
5,thai_nguyen23,5,2022-08-26 09:27,,"Công dụng: Dầu gội sạch gàu
Mùi hương: bạc hà
Hàng giao đúng mẫu, dầu gội mát lạnh bạc hà, mùi hương ổn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,2.5508782e-06
6,t*****1,5,2022-10-06 19:43,,Xinh xắn lắm nha. giao hàng rất nhanhhh  luôn. Tks shop jahdhjf,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,2,1,0.9877626
7,nbq1999,5,2022-07-11 13:45,,"Mùi hương: giống romano nhưng mát và đỡ nồng hơn
Giao hàng tương đối nhanh, mùi mát, giống romano nhưng cảm giác đỡ nồng hơn. Chưa dùng nên chưa biết hiệu quả như nào. Ổn nè","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,2,0,4.5583158e-07
8,p.h.d_12.11.98,5,2022-04-08 20:54,,"Chất lượng sản phẩm tuyệt vời, thời gian giao hàng rất nhanh, shop đóng gói đẹp",,0,2,0,2.9368634e-09
9,h*****l,5,2022-10-13 19:22,,"Công dụng: Chất lượng ok
Mùi hương: Thơm mát rất thích
Giao hàng nhanh đóng gói chắc chắn mình sẽ ủng hộ shop","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,1,0.99844486
