,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,3uwwnwfwai,5,2023-02-15 12:20,,"Công dụng: duong toc
Mùi hương: thơm
Dành cho tóc: mọi loại tốt
sản phẩm rất tốt 
đây là lần đầu tiên t mua
nếu oce t sẽ mua lại","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,7.4884554e-08
1,trinhngocthuy.julie,5,2023-01-10 12:17,,"Công dụng: goi dau
Mùi hương: nhẹ
Dành cho tóc: mọi loại tóc
hình ảnh chỉ mang tính chất nhận xu. 
Hiệu quả sd rất tốt. tóc k quá khô sau khi gội.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,1,0,6.5143795e-06
2,v*****0,5,2022-12-17 08:46,,"Công dụng: sạch gầu
Mùi hương: thơm
Dành cho tóc: mọi loại tóc
Dầu gội chất lượng tốt giá rẻ sạch gầu và nấm da đầu, sau 1 thời gian sử dụng thì đã sạch hết gầu, 5* chất lượng tốt
Hình ảnh mang tính chất nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,3.3204172e-11
3,d*****1,5,2022-09-22 09:32,,"Công dụng: tri gau
Mùi hương: dịu nhẹ
Dành cho tóc: nhiều loại tóc
Đóng gói cẩn thận, giao hàng nhanh. Chất lượng sản phẩm rất tốt nhưng phải dùng trong thời gian dài nếu ngưng sẽ bị gàu trở lại. Mình đã dùng nhiều lần hiệu quả mang lại rất tốt nhưng hơi khô tóc.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen.",1,1,0,0.00021105746
4,phuongkh02,5,2022-10-12 21:44,,"Công dụng: mềm tóc , không gây gàu😝😝
Mùi hương: thơm
Giao hàng nhanh 💨 
Sản phẩm như mô tả 🫶🫶","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,3.8080596e-08
5,e*****o,5,2022-01-08 09:46,,"Hình ảnh mang tchất nhận xu🙂
Ko ngờ giao nhanh vậy luôn á, mới đặt hqua, hkia gì đấy, chưa được 2 ngày là giao tới rồi 😮😮
Mình chưa xử dụng, hơn nữa dầu gội chưa về 🙂 mà dầu xả lại giao tới trc😂 đợi dầu gội về sẽ sử dụng xem sao, mong là hquả. Dầu gội trị gàu hiển linh, cho con còn đi ăn tết 🙏",,0,1,0,0.10051063
6,hienboiboi,5,2022-01-08 22:57,,"Sản phẩm tốt, đáng mua, rất hài lòng.
Sản phẩm tốt, đáng mua, rất hài lòng.
HÌNH ẢNH KHÔNG LIÊN QUAN. SORRY",,0,2,0,0.004666172
7,thanh_tam_dang,5,2022-09-12 14:54,,"Dầu gội này xài ok . Mình mua combo 3 chai hết 262k. 
Có mấy hình ảnh mang tính chất nhận xu.
Em dâu mình , bì ngứa đóng vảy gàu . Hết bao nhiêu tiền đi viện da liễu không hết. Gội dầu gội này vậy mà hợp , hêta dứt điểm luôn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.42154834
8,dna.studio2022,5,2022-10-13 00:54,,"Công dụng: trị gàu
Mùi hương: dễ chịu
Dành cho tóc: ngứa gàu
Cửa hàng giao hàng nhanh, đóng gói ok, mình mới dùng 1 lần nên chưa biết có hiệu quả ko. 
❤️ Mọi người ghé shop mình xem các mẫu GIÀY VINTAGE nhe!","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,2,0,0.097051136
9,chauvoco,5,2022-11-21 19:59,,"""Nếu như mọi thứ đi ngược lại với mong đợi của bạn, thì nhất định có sự an bài khác.""
Quá khứ không bao giờ trở lại, phần đời còn lại cũng không thể nào thấy lại, vậy nên, chặng đường dài phía trước, tôi mong bạn trân trọng bước đi, tuỳ duyên tự tại, thứ muốn có đều có, mà thứ không có được thì đều có thể buông bỏ nó đi.

- Ai rồi cũng phải đi | Rainie Nguyen dịch","Sunplay xin chào bạn, Sunplay rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Sunplay . Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé. Chúc bạn vui vẻ ạ.",0,2,0,0.006406774
