,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,m*****5,5,2022-09-11 11:18,,"Công dụng: ngăn rụng tóc.
Mùi hương: mùi thơm từ thảo mộc thiên nhiên.
Dành cho tóc: yếu, dễ rụng.
Ok","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,1,0,1.5957838e-08
1,n*****h,5,2023-01-13 16:00,,"Trộm vía lắm lắm lắm nha mọi người. Lúc gội tóc bớt rụng hẳn luôn, bình thường ra cả nắm mình cực kỳ sót. Thơm mùi thảo mộc rất dễ chịu. Mình dùng cả gội và cả thấy hiệu quả lắm. Gội xong tóc khô bồng bềnh, óng ả, rờ vào tóc mát rượt thích lám.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1,1,0.9999999
2,hanvo176,5,2022-11-28 08:40,,Nghe nói loại này dùng oke mua dùng thử hi vọng cải thiện được tình trạng tóc. Được tặng thêm quà khá vui,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,5.1064785e-07
3,smartchoice.tamsangdangngoc,5,2022-10-12 18:33,,"Công dụng: dầu xả
Mùi hương: thơm dịu
Dành cho tóc: yếu
Hàng chuẩn hãng, mua flash sale nên giá hợp lý.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,3.3685136e-08
4,h*****1,5,2022-08-17 21:26,,"Đã nhận đủ hàng, chưa dùng nên không biết chất lương sao, đánh giá lấy xu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,1,0.9958905
5,giang81vn,5,2022-09-12 11:26,,Giao hang nhanh dong goi can than su dung thây cung hieu quả lam,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,1,1.0
6,sugarbee.xx20,5,2022-03-15 18:10,,"11 món chay ngon được chế biến từ đậu chị em cùng tham khảo !

NST",,0,2,1,0.9999999
7,k*****7,5,2021-09-14 14:21,,"Đóng gói cẩn thận, giao hàng nhanh chóng, chưa sử dụng nên chưa thể đánh giá chất lượng",,0,2,0,8.323454e-08
8,whitecat97,5,2022-07-18 17:55,,Giao hàng nhanh đóng gói cẩn thận được quà tặng nhiều giá lại rẻ,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,6.853245e-08
9,nguyendanghuynhchau,5,2023-06-01 16:12,,"Lấy đỡ ảnh cũ thôi, mà hàng vẫn giao rất nhanh, đóng gói rất kĩ và xài ổn áp. Mình xài dầu gội này lâu rồi, thấy cũng có mọc tóc, nhưng bên cạnh đó phải giữ không rụng tóc nữa thì mới dày tóc hơn. Mình xài kết hợp cả mọc tóc bên Megumi luôn, nên tóc con mọc rất nhiều luôn á",,0,2,0,7.599215e-09
10,s*****6,5,2023-05-27 10:51,,Mua shopee được giá tốt hơn ở siêu thị mà còn được tặng túi đựng mỹ phẩm nữa 🤩,,0,2,0,6.271044e-05
11,chaudan0612,5,2023-05-06 16:37,,"Kinh nghiệm sử dụng: mẹ m khen dữ lắm :))
Mẹ m bị rụng tóc khá nhiều, bữa đc ngta tặng cho 1 chai dg dùng thử thấy hợp tóc rụng ít hẳn mẹ khen dữ lắm, mà ko bít mua tiếp ở đâu xài. M kêu để đó shopee lo, mẹ hỏi hàng thật ko dị, m kêu để đó shopee mall lo :))))). Mua 4 chai dg 1 chai xả cho mẹ xài tẹt ga lung :)))). Đóng gói cẩn thận hàng về tay nguyên vẹn, giao nhanh. Shipper nhiệt tình vô sân nhà gọi ra lấy hàng rầm rầm làm tưởng quánh lộn :)))). Thanks.",,0,2,0,3.4249992e-09
12,lehoanganhdao1515,5,2023-05-08 17:48,,"Lợi ích: muot toc
￼Dầu xả ngăn rụng tóc 50 Megumi Hair Fall Control 400ml",,0,3,0,7.2780904e-07
13,s*****6,5,2023-04-24 20:49,,"Chưa sử dụng bộ đôi dầu gội và xả này nên chưa biết tác dụng thế nào, nhưng mà serum thì xài thấy ổn, hy vọng xài cả bộ sẽ đem lại kết quả nhiều hơn, mua được giá tốt còn được tặng 1 cái khăn nữa",,0,3,0,0.0002479869
14,trnthkimngn191000,5,2023-03-23 13:26,,"mình vừa gội được 2lần, vẫn đang chăm sử dụng để đạt kết quả như ý",,0,3,1,0.99929905
15,yenluong08,5,2023-03-12 20:51,,"Công dụng: chong rung toc
Mùi hương: nhe nhang
Dành cho tóc: yeu
Da mua hang cua shop nhieu lan. San pham rat tot. Chac chan se mua lai.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,9.948566e-06
16,oqxbxgqlvg,5,2023-03-20 22:01,,Chất lượng okeX ngày trc mình đã từng dùng. Có tác dụng mọc tóc khá tốt nhưng cần dùng đều,,0,3,1,0.9952969
17,hong_trang,5,2023-02-28 09:26,,"Mua lần 2 rùi. Đóng gói kỹ, cẩn thận. Hình ảnh chỉ mang tính chất nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,8.982425e-09
18,apieng,5,2021-04-07 15:07,,"Chất lượng sản phẩm cực kỳ tuyệt vời , quá xuất sắc luôn , sản phẩm nào cũng ưng ý hết . Shop rất nhiệt tình . Shop giao hàng cực kỳ nhanh . Cảm ơn shop rất nhiều . Sẽ luôn ủng hộ shop . Chúc Shop luôn buôn may bán đắt .
Shipper giao hàng cực kỳ nhanh , lịch sự , vui vẻ . Cảm ơn shipper rất nhiều  .",,0,4,1,0.9999989
