,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,kimanh1727,5,2023-01-05 19:08,,"Công dụng: tri gau
Mùi hương: gừng
Dành cho tóc: yếu
Mới đặt lần đầu chưa dùng nên chưa đánh giá chính xác được
Nếu hiệu quả lần sau sẽ đặt tiếp và đánh giá lại sau","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,1,0,0.66785645
1,anhthu270601,5,2021-12-17 19:32,,"Hàng rất là ok 
Chán mõi khâu đóng gói sản phẩm. 
Giao hàng rất nhanh 
H.ảnh mang tính chất nhận xu ạaa",,3,1,0,6.6927277e-07
2,nguyettruc90,5,2021-11-08 19:25,,"Hình ảnh cụ thể nói lên tất cả rồi. Lúc đấy chỉ dùng dầu gội thôi, mong có thêm dầu xả hiệu quả sẽ gấp bôik",,0,1,0,3.049857e-06
3,k*****k,5,2021-11-10 23:42,,"Hàng chất lượng tốt như miêu tả, k làm rụng tóc
Thẻ tín dụng VIB chiêu tiêu hoàn tiền 5-10%
0901494390",,0,1,0,0.00014388948
4,xuan0704_96nguyen,5,2021-12-14 21:08,,Hàng từng dùng rồi ưng mùi sài mềm tóc hình ảnh mang tính chất nhận xu nhưng nên mua dùng thử nha,,0,1,0,9.97188e-10
5,doantrangpy92,5,2021-12-28 19:39,,Thời gian giao hàng nhanh. Đóng gói sản phẩm chắc chắn. Sản phẩm tốt. Chất lượng tuyệt vời. Sẽ mua lại sản  phẩm lần sau,,0,1,1,0.901954
6,l*****2,5,2023-02-13 12:18,,Tổng giá trị mang tính chất nhận su thôi nha dầu gội đầu chống rụng tóc  cũng ok mua lần hai,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,2.4982332e-09
7,thaihoang1987,5,2023-01-19 21:36,,shop bán hàng siêu xịn xò. shop dễ thương lắm ạ giao hàng nhanh siêuu nhanh,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,1,0.99798465
8,t*****0,5,2021-07-10 16:07,,"Đóng gói kỹ, giao hàng tỉnh mất tầm 3 - 4 ngày
Mẫu mới nên không biết có êm như mẫu cũ không, nhưng packaging nhìn xịn sò hơn hẳn, có đầu tư, duyệt ....",,1,2,1,0.88369656
9,chiminhnhhtr,5,2022-12-10 11:56,,"Công dụng: xả tóc cho mượt
Mùi hương: thơm nhẹ dễ chịu
Mới mua lần đầu nên dùng thử mới biết.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,8.1570623e-16
10,thuthuy150590,5,2022-05-19 15:39,,"𝐑𝐄𝐕𝐈𝐄𝐖 : mình vừa mua sản phẩm của Shop - khá ưng ý, thời gian giao hàng đúng như đã hẹn. đóng gói chuẩn/đẹp sản phẩm. Giá cả tất nhiên mình dò giá nhiều Shop trên Shopee rồi. NÓI CHUNG ✅👌🏻 𝗢𝗞",,0,2,0,3.9727975e-06
11,linhthu87,5,2022-10-07 19:51,,Gội thử 1 lần. K thấy bị ngứa. Tóc k mềm lắm. Mùi thơm dược liệu. Ổn áp. Nếu tóc đỡ rụng thì ngon,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,2,0,3.7500836e-06
12,vuthanhngan,5,2021-11-06 21:02,,Được tăng kèm nhân ngày khuyến mãi. Mình chưa sử dụng nhưng được nhiều người giới thiệu là có hiệu quả tóc bớt rụng.,,0,3,1,0.9998753
13,k*****a,5,2022-09-05 12:23,,"Công dụng: Làm mượt tóc
Mùi hương: thảo mộc
Dầu xả chống rụng tóc, thơm, làm tóc mềm và mượt","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,3.328215e-12
14,t*****7,5,2021-10-27 00:14,,"Đơn chia 2 lần nhưng dịch giao hàng nhanh chóng, mùi thơm nhẹ, cảm giác sạch ko bết ngứa",,0,3,0,0.0012359369
15,l*****i,5,2021-10-23 21:52,,"Dầu xả siêu thơm luôn ,xả ko có bị rụng tóc nhiều như những loại dầu xả khác",,0,3,0,5.5837692e-11
16,c*****h,5,2022-06-06 13:08,,K cải thiện tóc rụng chưa biết phải sd sp gì để cải thiện tóc rụng nữa.,,0,3,0,1.4068696e-06
17,tglin00,5,2021-10-22 11:53,,"Chất lượng sản phẩm tuyệt vời, shop phục vụ nhiệt tình nhanh chóng. Anh giao hàng thân thiện. Đóng gói sản phẩm chắc chắn. Sẽ ủng hộ shop lâu dài ạ",,0,3,1,0.9931331
18,l*****2,5,2022-03-15 11:12,,Nghe mọi người khen nên mua dùng thử dùng xong mình sẽ đánh giá nhưng nghe nói loại này rất tốt,,0,4,0,9.841808e-07
19,v*****2,5,2022-08-10 00:27,,Dầu gội dùng tốt. Có giảm tóc rụng. Hy vọng dùng lâu dài sẽ oki..,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,0.0065459097
20,.tuyetnhu90,5,2022-08-24 10:43,,"Giao hàng siêu nhanh, màu son cực kì thích luôn, dầu gội chưa sử dụng chưa biết sao nữa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,4,0,3.844382e-06
21,minhthu__0511,5,2022-04-14 15:26,,shop đóng gói kĩ giao hàng nhanh mng nên mua...............,,0,4,0,0.0064954692
22,chanchan1357,5,2023-05-19 09:35,,"Sản phẩm chất lượng lắm nhé, bền, mình mua nhiều lần lắm rồi. Mọi người nên mua nhé",,0,4,1,0.96711695
23,mytien0212,5,2023-05-16 19:30,,"Hình ảnh mang tính chất nhận xu, giao hàng nhanh, đóng gói chắc chắn, cẩn thận",,0,4,0,9.595169e-06
24,b*****n,5,2023-04-16 17:23,,"Giao hàng nhanh, shipper giao hàng cũng dễ thương, sản phẩm như mô tả, sẽ ủng hộ khi dùng hết.",,0,5,1,1.0
25,tranvanan010692,5,2023-04-17 20:31,,Nghe giới thiệu sản phẩm tốt nên mua dùng thử. Chưa dùng nên chưa biết hiệu quả ra sao. Nếu có hiệu quả sẽ mua lại lần nữa,,0,5,0,0.00054166093
26,nguyentham369,5,2023-03-16 12:20,,"Công dụng: ngăn rụng tóc
Dành cho tóc: tóc yếu,dễ gãy rụng
Giao hàng nhanh.shop đóng gói chắc chắn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,5,0,2.0111743e-06
27,hippizio,5,2023-03-04 11:26,,Đang sử dụng sẽ phản hồi lại sau nhé bộ pijama rất đẹp cảm ơn shop,,0,5,0,0.1943336
28,thuy_anh.86,5,2021-07-30 11:00,,"Đóng gói sản phẩm được. Giao hàng do dịch nên hơi chậm tí. Chất lượng sp thì dùng đc 2 lần nên chưa bjt tnao. Ngày xưa mua mẫu mã khác dùng hết lọ thấy đỡ rụng thật. Giờ thì chưa bjt. Tốt sẽ ủng hộ shop tiếp.[TB] BCD phong chong dich COVID-19 tinh yeu cau: Nguoi dan den, ve Tinh can khai báo",,0,5,0,7.6545366e-05
29,thanhmailuuthi,5,2021-07-27 13:45,,"Mình mua dầu gội tặng dầu xả. Dầu gội giao trc ok, dầu xả giao hơi lâu chắc vì khác kho và dịch.",,0,5,0,8.0834106e-10
30,e*****n,5,2021-04-25 17:26,,"Chất lượng sản phẩm phải dùng lâu dài mới biết nhưng khâu đóng gói tệ quá, ko bọc chống sốc cũng chẳng dán băng dính ở đầu chai, may là ko bị tràn ra ngoài chứ hộp giấy cũng móp méo hết. ",,0,6,0,3.233738e-05
31,t*****1,5,2021-07-14 16:45,,Dùng mùi cảm giác như dầu gió.nếu như để thoang thoảng thì thơm.mua được km.shop tư vấn nhiệt tình nói chung là rất hài lòng.Mong chất lượng y quảng cáo,,0,6,0,0.02190906
32,v*****0,5,2021-07-21 23:01,,dầu xả được tặng kèm theo mình thấy mùi hơi nồng kiểu mùi của mấy dầu gội cho nam ý nhưng mà do là hàng tặng nên mình cũng k đánh giá nhiều,,0,6,0,2.097618e-08
33,s*****0,5,2021-08-05 20:23,,"Được tặng kèm chung với dầu gội, chưa dùng nên chưa biết chất lượng ntn",,1,6,1,0.9999981
34,kimanhhhhh1206,5,2021-07-09 15:05,,"Mùi thảo dược nhẹ, shop giao hàng nhanh đóng gói chắc chắn....",,1,6,1,0.89214104
35,huongtruc995,5,2021-07-13 13:59,,Hiệu này đã dùng qua tinh chất mọc tóc rất tôt.. còn dầu gội thì chưa biết sao ... tóc rụng nhiều ko biết có cải thiện ko ..,,0,6,0,1.0928642e-06
36,k*****q,5,2021-07-26 18:39,,Avha snsks sua. Shs d. F gbd f g h. T g g g d d  F r.  T.  T t t t.   Tr.  R e. S s,,0,7,1,0.7931188
37,n_ht.,5,2021-07-27 19:14,,Mình rất ưng sản phẩn này. Nhưng khi nhận được hàng mình đang nghi ngờ về dung tích thực của nó?,,0,7,0,0.19119743
38,l*****6,5,2020-10-28 09:43,,"Chất lượng sản phẩm tuyệt vời
Đóng gói chắc chắn 
Giao hàng nhanh 💨 ",,0,7,0,1.5944e-11
39,b*****0,5,2021-07-06 14:19,,………………………………………………………………………………………………………………………………..,,0,7,1,0.9182645
40,n*****1,5,2021-07-28 19:01,,"Trước giờ toàn xài loại này, giá tốt hơn siêu thị............",,0,7,0,1.9471491e-08
41,n*****7,5,2021-08-11 14:08,,"Giao hàng nhanh, mình mua đợt sale nên rẻ hơn ngoài nhiều, mình dùng mấy chai rồi thấy cũng ok lắm.",,0,7,1,0.9398834
42,trasuakemphomai,5,2021-07-21 18:29,,"Giao hàng đúng đủ, nhận hàng đủ, bọc kĩ giao 3-4 ngày. Ok hếtttt",,0,8,0,0.0020824317
43,m*****8,5,2021-07-10 10:25,,Mua dc lúc sale nên giá rẻ hơn một tí lại còn được quà tặng 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,,0,8,0,9.219038e-09
44,hieuanhhoahong,5,2021-07-10 15:46,,Mua chai gội tặng chai sả nhỏ nhé all,,0,8,1,0.86011857
45,yukinguyen1307,5,2022-03-17 22:26,,"Giao hàng nhanh… chất lượng OK….. đóng gói cẩn thận……………..,,hình ảnh mang tính chất nhận xu",,0,8,0,7.823053e-05
46,p*****3,5,2022-07-27 01:36,,"Công dụng: mỀm mượt tóc
Mùi hương: dịu nhẹ
Dành cho tóc: yếu, rụng nhiều, sau sinh và hậu covid
Mình đã dùng thử và rất hiệu quả sau vài tuần sử dụng","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,8,0,3.040451e-10
47,tranthuhanh10101995,5,2021-03-17 11:38,,"Đâu xả rất thơm, hi vọng tóc sẽ bớt rụng hơn, giao hàng rất nhanh",,0,8,1,0.9816482
48,lanhuynh_1990.,5,2023-04-04 20:17,,Đã mua nhiều lần của shop. Hàng chất lượng. Dùng hiệu quả. Giảm rụng hơn. Mùi dễ chịu. Mình dùng bộ đôi gội xả. Sẽ ủng hộ shop lâu dài,,0,9,0,0.026687108
49,dominhtam2511,5,2021-10-12 10:14,,"HỒ VĂN CƯỜNG ĐƯỢC TRẢ CÁT-XÊ 2 TỶ/NĂM SAU KHI ""RA RIÊNG""

Ngày 11/10, quản lý Dziễm Phạm của cố ca sĩ Phi Nhung đã giải quyết dứt điểm sự việc trao lại toàn bộ số tiền ""giữ giùm"" ca sỹ Hồ Văn Cường. Ngoài ra, Dziễm Phạm còn gửi thêm 500 triệu đồng để Hồ Văn Cường ra ở riêng. Sau sự việc, Hồ Văn Cườn",,0,9,1,0.96650845
50,kimngoc2407,5,2021-10-09 14:37,,"Đã dùng dầu gội , thích, mui thảo dược, nhưng mượt tóc , sẽ san sale tiếp",,0,9,0,6.8159045e-10
51,m*****1,5,2022-10-23 12:32,,"Dầu gội và dầu xả ok, mua ngay dịp khuyến mãi, tiết kiệm đc 100k. Sử dụng cũng đỡ rụng hơn hẳn, còn hỗ trợ kích mọc tóc phải chờ 1 tgian","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,9,1,1.0
52,thien_than_trong_mua,5,2021-09-17 20:50,,"Nhận hàng nhưng chưa dùng nên chưa đanhs giá đc chất lượng. Kẹp tóc tặng kèm cũng okie. 
Lười up hình tạm lấy xu.",,0,9,0,3.6483856e-15
53,n*****3,5,2022-07-28 17:08,,"Công dụng: xẢ
Mùi hương: thảo dược
Dành cho tóc: gãy rụng
Dầu xả thơm mùi thảo dược nhẹ nhẹ, thoang thoảng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,9,0,2.069195e-11
54,i*****r,5,2021-10-17 15:53,,"Chuẩn bị và giao hàng nhanh, đóng gói cẩn thận. Mùi thơm nhưng thấy vẫn rụng tóc nhiều.",,0,10,0,1.8314506e-05
55,hoangyen250191,5,2022-10-16 14:02,,Shop giao hàng nhanh và đủ sản phẩm. Sản phẩm chất lượng. Hình ảnh mang tính chất nhận xu,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,10,0,0.00032536974
56,t*****6,5,2022-07-30 22:03,,"Sản phẩm tốt, giao hàng nhanh chóng, đáng trải nghiệm sản phẩm này nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.
",0,10,0,3.039361e-10
57,d*****h,5,2022-01-29 20:49,,Chưa dùng nên ko biết sao. Nhưng nghe review tốt nhiều. Hi vọng tốt. Hàng giao nhanh.,,0,10,0,0.00024693063
58,l*****e,5,2022-02-21 20:50,,Hi vọng dùng có hiệu quả chứ mừn rụng tóc xót tóc quá rồi ! Megumi,,0,10,0,0.0048137894
59,ngthmduc1905,5,2022-08-02 23:18,,"Chai hơi bé hơn mình tưởng, mới mua lẩn đầu chưa biết công dụng ra sao, nếu tốt sẽ mua lại","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,10,0,3.263398e-09
60,trang14081206,5,2021-12-11 10:38,,Giao hàng nhanh đóng gói cẩn thận. Công hiệu thì phải dùng mới biết được,,0,11,0,0.099807285
61,s*****c,5,2021-12-15 21:54,,"Giao hơi lâu nhưng đóng gói chắc chắn, quà đầy đủ, hy vọng chất lượng sản phẩm như quảng cáo",,0,11,0,0.38981974
62,g*****9,5,2021-10-22 11:33,,"Lần đầu sử dụng nên chưa đánh giá đc chất lượng sản phẩm. Rất ko hài lòng vs cách đóng gói của shop, qá nhìu mút khi gỡ ra mút vụn bay tứ tung 😢 Đơn khi giao bị tách đơn, sp mua giao nhanh, sp tặng mấy hôm sau mới nhận đc. Shipper thân thiện...",,0,11,0,1.8401407e-08
63,n*****0,5,2021-08-20 14:07,,"Shop đóng gói cẩn thận, nhìn ưng bụng, mua đúng dịp được tặng quà, quà tặng cũng ok
P/s hình ảnh ko liên quan",,0,11,0,1.11486614e-07
64,_ainhu_0812,5,2021-09-19 23:21,,em này được giao trước do tách đơn :))) đóng gói ok và có mã giảm,,0,11,1,1.0
65,thuthuy.ipchn,5,2023-01-05 10:02,,"Đã nhận đc hàng, dùng xong sẽ đánh giá sau.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,11,0,0.055496216
66,shopgiayminmin,5,2022-02-23 13:43,,"Công dụng: ok
Mùi hương: ok
Kết cấu: ok
Dầu xã xài ok nha

Xỉu ngang ! Xỉu ngang 
Cho điểm maximum cho em bé này . 
Quá đang trọng hàng LIMITED
hộp xịn xò
Size :18cmx8cm x13,5cm
485k",,0,12,0,0.2831835
67,shopgiayminmin,5,2022-05-26 15:18,,"Công dụng: ok
Mùi hương: ok
Vào một ngày đẹp trời nào đó, khi chứng kiến chuyện tình cảm của những người xung quanh, hẳn bạn sẽ thốt lên:

“Hên là mình độc thân” 😁😁😁🤗🤗🤗",,0,12,0,2.0193607e-09
68,philong22,5,2022-03-21 10:58,,"Công dụng: nGăn rụng tóc
Mùi hương: thơm
Sử dụng dạng gói của loại gội xả này thấy rát thích nên mua chia về sử dụng luôn . Tóc mềm mướt , thơm nhẹ .",,0,12,0,0.004288809
69,m*****5,5,2022-10-04 00:16,,"Vận chuyển nhanh, dùng khá mượt tóc còn chống rụng thì chưa biết","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé.",0,12,0,6.059993e-06
70,kimanh_vba,5,2021-12-18 10:14,,"Đã nhận hàng, giao nhanh đóng gói cẩn thận. Hàng đúng như mô tả, chất lượng chờ sd mới biết ạ.",,0,12,1,0.9452396
71,nganhuynh0309,5,2021-12-14 18:42,,"Quy khach duoc cong them 610 diem Viettel++ boi giao dich Tieu dung vien thong thang 11/2021. Thoi han su dung diem den 31/12/2022. Hay truy cap https://myvt.page.link/vtplus tren My Viettel hoac *098# de doi diem sang Data, SMS, Phut goi cung nhieu uu dai gia tri khac. Chi tiet LH 198. Tran trong.",,0,12,1,0.998228
