,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,nqthach,5,2023-02-19 12:54,,"Loại này là gel lỏng, trong suốt, bôi lên thấy mát da, 1 thời gian thì vết bôi khô lại chứ không tiếp tục nhờn như mấy loại gel khác. Đánh giá trước để hoàn thành đơn, 1 tuần sau cập nhật lại xem mụn có giảm bớt không. Mua trên livestream nên có voucher giảm giá + free ship, cũng tiện, giao hàng nhanh.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen.",2,1,0,1.535323e-05
1,minhleelmao102,5,2023-02-22 12:44,,"Công dụng: giảm mụn
Mùi hương: thơm
Dành cho da: tất cả
Shop ship hàng nhanh, còn nguyên seal, đóng góp kĩ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,1,0.999859
2,47z9nkxsdo,5,2023-04-06 11:22,,"Giao hàng nhanh chóng, đóng gói chắc chắn, sản phẩm đúng mô tả",,0,1,1,1.0
3,n*****h,5,2023-03-27 23:31,,"Đã mua 1 lần và thấy ổn nên mua lại. Ưu điểm là nhanh khô, mùi trà nhẹ không khó chịu, không bị dính và dễ rửa. Dược tính đủ để chữa mụn nhẹ kiểu mới mọc & có mủ trắng dễ nặn, nhưng chưa hiệu quả nhiều với mụn mọc lâu & hay sưng đỏ & chưa thấy mủ trắng. Có cảm giác rát khi bôi mụn đã nặn nhưng sẽ dịu nhanh, tróc sừng vài hôm da sẽ liền lại, đừng lột vội tránh sẹo lâu lành. Giao hàng nhanh.",,1,1,0,1.3289177e-07
4,trantruong189,5,2023-02-27 20:37,,"Sản phẩm cuốn đi chất nhờn, bụi bẩn và các tạp chất khác mà không gây kích ứng, cho da mềm mịn, đồng thời mang lại cảm giác tươi mát và sạch thoáng cho da. Đặc biệt, em ấy được PETA phê duyện 100% thuần chay; không có nước hoa hoặc màu nhân tạo, không có hóa chất mạnh,không cồn, không xà phòng, không paraben và không phthalates.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.23705526
5,thao9297,5,2023-02-17 15:01,,"Công dụng: giảm mụn, mờ thâm
Nghe review tốt nên mình dùng thử. Shop đóng gói cẩn thận, giao hàng nhanh, shipper nhiệt tình. Nếu dùng ổn, sẽ ủng hộ shop tiếp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,0.9999845
6,1*****s,5,2023-02-20 21:24,,"Công dụng: như mô tả
Mùi hương: oke
Giao hàng nhanh đúng sản phẩm, chất lượng oke","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,7.190231e-06
7,c*****9,5,2023-01-14 20:21,,"Hàng acnes thì khỏi bàn. Nên mua nhé mọi người
Ngày xưa mình sử dụng rất hiệu quả, nên giờ mua cho con trai sử dụng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,1,0.99722123
8,c*****2,5,2023-01-08 00:27,,"Đã nhận hàng , giao đúng sản phẩm đã đặt , sẽ ủng hộ tiếp , thanks .","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,1,1.0
9,dokhanhhiep20,5,2023-05-30 23:54,,"OK chất lượng tuyệt vời giao hàng đúng hẹn, nhưng hộp hơi méo:)",,0,2,0,4.657344e-06
