,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,qjnjf51s42,5,2022-12-27 21:09,,Tốt mã 58 HA + NMFs chị ơihwksbsosogzfsydufichxuf7,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.5397364
1,levantung.566,5,2022-11-29 09:13,,"Mùi hương: thơm thọ
Dành cho da: dùng Ok
Hàng chính hãng , sản phẩm gửi nhanh giao hàng cẩn thận","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé.",1,1,0,0.0011454092
2,huynhmhuu,5,2022-11-11 17:12,,"Công dụng: mờ sẹo mờ thâm
Mùi hương: thơm nhẹ
Dành cho da: mọi loại da
1 tuýt tuy hơi ít nhg. có mùi thơm nhẹ chất gel thoa lên mát nha giao hàng nhanh đóng gói cẩn thận","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,5.7331715e-07
3,minhming0903,5,2022-08-21 15:02,,"Công dụng: mờ thâm
Mùi hương: không mùi
Dễ sử dụng, không bị kích ứng trên các loại da","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",2,1,0,1.2382204e-10
4,dinhngocthao1990,5,2022-02-24 10:59,,"Shop giao hàng rất nhanh, đầy đủ và chất lượng sẽ còn quay lại ủng hộ shop ạ",,1,1,1,1.0
5,d*****6,5,2022-10-03 12:56,,"Công dụng: mờ thâm
Mùi hương: dịu nhẹ
Dành cho da: tất cả
Mk chx dùng nhưng mk dùng nhiều loại khác của hãng rất hiệu quả","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,1,0,7.155248e-11
6,n*****5,5,2022-09-12 20:06,,"Công dụng: chưa dùng chưa biết
Giao hàng nhanh, đóng gói kỹ chắc chắn, sản phẩm chưa dùng chưa biết hy vọng tốt để mua dùng lần 2","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,7.860177e-08
7,lananh_1983,5,2023-01-09 21:53,,"Công dụng: làm mờ thâm
Mùi hương: thơm
Dành cho da: nhạy cảm
Hỏi đáp về chủ đề này nữa k nhỉ tự nhiên lại hỏi tiếp theo của em nỉ xịn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,1,0.9133606
8,nvt246,5,2022-06-01 21:20,,"Công dụng: chưa thấy gì nên ko biết tốt hay ko
Mùi hương: hơi nồng nhẹ
Dành cho da: chắc hợp
Sản phẩm bôi lên ko có khô lại vẫn như v",,2,2,0,1.2794922e-06
9,anvy9796,5,2022-12-03 10:33,,Hình ảnh chỉ mang tính minh họa  nhận xu,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,1,0.9984864
10,minkienpham1998,5,2022-09-15 20:07,,"Công dụng: ok
Mùi hương: dễ chịu
Dành cho da: mọi loại da
Sản phẩm trung thành đã gần chục năm, dùng qua 3 đợt thay đổi mẫu mã, chất lượng tốt, hiệu quả mờ sẹo ok.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",2,2,0,0.56061536
11,t*****1,5,2022-12-16 12:32,,"Sản phẩm tốt dành cho da mụn , hỗ trợ trị mụn tốt, giao hàng hơi lâu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,2,0,0.12948383
12,facenhanremktx.b503,5,2022-10-29 15:01,,"Mùi hương: Thơm
Dành cho da: thâm, sẹo
Công dụng: mờ sẹo, thâm
Mua 2 sản phẩm được tặng thêm 2 món quà. Shop gói hàng cẩn thận có chống sốc. Giao hàng siêu nhanh lun. Chỉ 1 ngày là nhận được hàng rồi 🥰🥰🥰🥰","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,3,0,1.0488747e-06
13,_*****i,5,2022-09-23 21:33,,"Công dụng: .
Mùi hương: .
Dành cho da: .
Chưa dùng nên chưa biết, tuýp bé xíu nhưng mà chắc sài được ... có hiệu quả sẽ fb lại","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,3,0,3.1583558e-14
14,lucinda1503,5,2022-10-03 12:43,,"Chất lượng thiệt sự lun á , giao hàng nhanh , đóng hói cẩn thận, nên mua nha mn ơi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,3,0,1.7807475e-09
15,ngout1234,5,2021-10-19 12:37,,Shop Đóng gói kĩ cẩn thận. Hàng mới toanh date xa. Nhìn thích lắm. Mong là tác dụng tốt ạ.,,0,3,0,6.775629e-05
16,thuy_nguyen111193,5,2023-02-23 14:27,,"Mùi hương: không mùi
Dành cho da: Da mụn
Công dụng: Mờ thâm mụn, mờ sẹo mụn
Lần đầu mình sử dụng sản phẩm, nghe bạn mình khen tốt lắm nên mua dùng thử, sẽ đánh giá sau😀","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,0.16402104
17,d*****g,5,2023-02-04 19:46,,"Mùi hương: hơi khó chịu
Dành cho da: da thâm sau mụn
Công dụng: mờ sẹo
SẼ CÒN ỦNG HỘ NẾU DÙNG TỐT

mình không thể quên được những vấn đề từ quá khứ, đó là những nỗi ám ảnh với mình.

đặc biệt là cái chết, mình không bỏ được.

macmart","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,3,0,0.20719005
