,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,thuyduyphu,5,2023-01-10 17:18,,"Hàng chất lượng cao , mẫu mã đẹp, ahop uy tín giao hàng và đóng gói rất nhanh,","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",1,1,1,0.9999987
1,huonghuyhaiquan,5,2021-10-11 19:54,,"(QC-VTL2) Bạn đã ĐỦ ĐIỀU KIỆN MỞ THẺ tín dụng Mastercard Online Plus tại NH VIB:
- MIỄN phí mở thẻ, phí thường niên*
- HẠN MỨC thẻ lên tới 50 triệu đồng
- HOÀN TIỀN tới 6% cho mua sắm online
Đăng ký TRỰC TUYẾN và nhận thẻ sau 30 phút tại:
https://onlinecard.vib.com.vn/offer/op_sms_hm
Để từ chối nhận",,2,1,0,5.7809657e-06
2,dinhngocthao1990,5,2022-02-24 10:59,,"Shop giao hàng rất nhanh, đầy đủ và chất lượng sẽ còn quay lại ủng hộ shop ạ",,4,1,1,1.0
3,phlingg_0_,5,2022-10-14 23:46,,"Công dụng: trị mụn
Mùi hương: thơm
Dành cho da: all
Đóng gói hàng cẩn thận với những công dân Việt Nam trong thời gian qua nhanh hơn so với những người khác","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,1,0,6.021425e-12
4,linh162321,5,2022-12-18 14:12,,"Goldgi cao cấp sàlé chỉ 349xu khi mua từ 2b ạ!!!
Đủ tất cả sz SM dán MLXL XXL quần đều seo
Nhanh ko hết mã hết giảm ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,0.99999976
5,tuong_vy95.,5,2022-03-04 08:14,,"Giao hàng nhanh, rất ưng ý với sản phẩm này. Đầy là lầm thứ hai mua lại sản phẩm này. Các bạn nên sử dụng nha",,0,1,0,0.5281297
6,uyw93726_e,5,2023-03-28 15:28,,"Bao bì: đóng gói cản thận
Hương thơm: mùi thơm dịu nhẹ tự nhiên
Lợi ích: trij munj cho các loại da",,0,2,0,1.10217856e-10
7,facenhanremktx.b503,5,2022-10-29 15:01,,"Mùi hương: Thơm
Dành cho da: bị mụn
Công dụng: trị mụn
Mua 2 sản phẩm được tặng thêm 2 món quà. Shop gói hàng cẩn thận có chống sốc. Giao hàng siêu nhanh lun. Chỉ 1 ngày là nhận được hàng rồi 🥰🥰🥰🥰","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",2,2,0,7.781929e-06
8,ngout1234,5,2021-10-19 12:37,,Shop Đóng gói kĩ cẩn thận. Hàng mới toanh date xa. Nhìn thích lắm. Mong là tác dụng tốt ạ.,,0,2,0,6.775629e-05
9,t*****3,5,2023-03-27 08:38,,"Hiệu quả phết, bôi đc 1 hôm mà mấy cái mụn cũng xẹp xuống đáng kể. Chất khá lỏng. Giao nhanh",,0,2,1,0.92174643
