,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,nguyenthithanhtruc92,5,2022-01-13 06:45,,"Loại gel mình đã dùng rồi rất ok cho da dầu rửa xong cảm giác khô thoáng
Còn chai màu xanh dương chỉ mua dùng thử thôi thấy ok mình sẽ mua tiếp
Shop giao hàng nhanh đóng gói kĩ càng",,2,1,0,7.6719414e-10
1,dungle079797,5,2021-10-11 20:44,,Hàng chất lượng h/a nhận xuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,,0,1,1,1.0
2,n*****6,5,2023-03-25 06:31,,"Bao bì: rõ ràng
Lợi ích: giúp làm sạch
Hương thơm: thơm mát
Sp dùng thấy cũng ok mùi thơm mát nhẹ nhưng giao hàng thì lâu lắm.",,1,1,0,1.550707e-08
3,cty.sieu.khang.q11,5,2022-01-22 10:26,,"Hàng mới , date mới 
Shop uy tín , hàng chất lượng 
Sẽ ủng hộ Shop lâu dài",,0,1,1,1.0
4,chieuanhratdethuong,5,2023-04-06 11:28,,"Kinh nghiệm sử dụng: đã mua lai
Mẹo: dầu , mụn
khá ok tui mua lại 2 lần oig nên yên tâm da bạn nào dầu mụn nhẹ thì sài sẽ ok nha còn da bạn nào đang bị mụn nặng thì k nên sài vì dễ kích ứng",,0,1,0,4.984083e-06
5,b*****n,5,2023-02-14 00:43,,"gel rửa mặt giá rẻ 88k/ 2 túyp, gel có hạt nhỏ. ship hàng đủ. mua dùm nên ko biết hiệu quả sao","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",2,1,0,1.4039236e-06
6,a*****2,5,2023-02-04 09:04,,"SP tốt, đã sd nhiều lần nên mua lại, hộp khá to mà rẻ, dùng hơi khô da nên da khô cân nhắc","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,8.7049386e-08
7,g*****8,5,2022-01-15 22:53,,Shop đóng hành rất nhanh . Vận chuyển còn nhanh hơn . Đã mua rất nhiều lần . Mùi dưa dễ uống,,0,2,0,0.0004412668
8,linhhoangvu2008,5,2022-01-24 12:58,,"Công dụng: trị mụn phù hợp và da dầu
Mùi hương: hương thơm nhẹ
Kết cấu: dễ vận chuyển
Giao hàng nhanh sp dùng ok",,0,2,0,9.748975e-06
9,chitalent,5,2023-04-04 19:26,,"Gel hương thơm,giao hàng nhanh,check dc mã vạch,đóng gói cẩn thận,nếu dùng ok sẽ quay lại ủng hộ tip",,1,2,1,0.9999964
10,thienduy89,5,2023-04-05 16:51,,"Giao nhanh, dùng cực tiện, mụn bay nhanh như cơn mưa ngang qua",,0,2,0,3.7649336e-06
11,longtony07,5,2023-04-03 21:46,,"Bao bì: dep
Hương thơm: thơm
Lợi ích: Rua mat
Sửa rửa mặt khá ổn, rửa xong có giảm nhờn thiệt. Hương thơm dịu nhẹ. Giá cả phải chăng. Nên mua nha",,0,2,0,6.1098014e-08
12,mxtri2208,5,2023-03-29 20:01,,"Giao hàng nhanh, chất lượng đóng gói tốt, đúng số lượng. Hi hi",,0,3,1,0.815592
13,m*****4,5,2023-03-18 21:29,,"Làm đẹp: rửa mặt cho mọi lứa tuổi
Mẹ mình xài thấy ok nhé, giá cả phải chăng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,8.7152974e-10
