,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,q6gcvdywxk,5,2022-09-04 20:08,,"Công dụng: rửa mặt
Mùi hương: nhẹ
Dành cho da: nhờn
Hình ảnh mang tính chất nhận xu. Dùng tạm được. K mùi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,1,0,1.1526532e-16
1,hangsuga789,5,2022-12-13 14:16,,"Công dụng: làm sạch
Mùi hương: dịu nhẹ
Dành cho da: cho da dầu, da hỗn hợp
Giao hàng nhanh mới đặt hôm qua hôm nay giao luôn rồi , sản phẩm ok dạng gel giúp làm sach bụi bẩn không bị khô da, dịu nhẹ, thích hợp cho da dầu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",1,1,0,1.9742824e-10
2,h*****o,5,2022-08-11 15:08,,"Công dụng: Làm sạch da, ngừa mụn.
Mùi hương: Nhẹ
Dành cho da: Khô và nhạy cảm
Gói kĩ đẹp, hàng mới date xa đến năm 2025.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,9.711088e-06
3,d*****1,5,2022-07-01 10:15,,Thời gian chuẩn bị và giao hàng nhanh. Chất lượng ổn so với giá . da nhạy cảm. Dùng thời gian mới biết được. Nhưng trước mắt thì ổn nhé .mùi thơm lắm bọc bên trong hơi sơ sài nhưng k phải hàng dễ vỡ nên ko sao .cho shop 5 sao,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,2.2965315e-11
4,hangg106,5,2023-03-04 14:01,,"giao hàng nhanh 
shop phục vụ tốt
chưa sử dụng nên kh biết tác dụng tốt kh
nma rẻ mọi người nên mua nha 
t dùng bản bã nhờn thấy sạch da hẳn giảm mụn luôn đó mọi người ơi",,0,1,0,9.123628e-05
5,hangsuga789,5,2023-02-18 13:45,,"Công dụng: làm sach da
Mùi hương: thơm, dịu nhẹ
Dành cho da: da dầu,da hỗn hợp
Giao hàng nhanh shop nhiệt tình, sản phẩm tốt giúp làm sạch bụi bẩn, bã nhờn trên da ,dịu nhẹ, ko bị khô da thích hợp cho da dầu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,2.1410962e-08
6,h*****2,5,2022-06-13 16:48,,"Công dụng: Gel rửa mặt
Dịu nhẹ pH 5-6 á, mình da thường nên khó cho nhận xét về độ cấp ẩm, rửa xong cảm giác sạch ko bị căng da mà cũng ko kiểu mướt mịn. Đóng gói tốt có bọc nắp như hình mình chụp",,1,2,0,1.321886e-09
7,hung_baobao,5,2022-06-08 16:33,,"Công dụng: Làm sạch da, ngừa mụn
Mùi hương: Dịu nhẹ
Dành cho da: Khô và nhạy cảm
Hàng mới sạch đẹp date xa đến 2025, gói có lớp chống xốc kĩ càng .",,0,2,0,5.425261e-09
8,tuyetmaia,5,2022-11-13 17:17,,"Công dụng: trị mụn
Mùi hương: thơm
Dành cho da: da khô, nhạy cảm
Đây là quà tặng kèm theo khi mua son dưỡng môi tan chảy. Cảm ơn shop ạ. Mình rất thích.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,6.828246e-07
9,sakurahue17,5,2022-08-08 14:33,,"Công dụng: tốt
Mùi hương: dễ chịu
Dành cho da: tốt
Đúng là chính hãng, chất lượng. Mong hãng ra size lớn hơn, vì size này nó hơi bé, hợp mang đi du lịch hơn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,2,0,7.6532035e-07
10,k*****0,5,2022-06-17 22:30,,"Công dụng: rửa mặt
Mùi hương: bình thường
Dành cho da: khô và da nhạy cảm
Gel nhẹ như k, cảm giác nhẹ nhàng cho da, mới dùng k biết có trị mụn được k. Mong là k dị ứng gì cả, giao hàng nhanh",,0,2,0,2.6423568e-09
11,h*****2,5,2023-02-15 16:53,,"Mùi hương: không
Dành cho da: dầu
Công dụng: làm sạch da
sản phẩm tốt giúp da khô thoáng và ít mụn mình đã xài từ khi còn học cấp 2 sản phẩm tuyệt vời Ok lắm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,1.1231437e-21
12,huongmuahe,5,2023-02-17 21:12,,Sản phẩm tốt sau khi dùng 1 thời gian mụn đã giảm hẳn và đang có giá tốt nên tranh thủ mua nha mn,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,0.0010426741
13,g*****5,5,2023-01-31 21:06,,"sản phẩm giống hình, mình đã mua nhiều lần vì nhẹ dịu và không làm khô da, rửa sạch","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,1.975454e-10
14,duy2175,5,2023-01-25 14:10,,"Kim Jennie, thường được biết đến với nghệ danh Jennie hay Jennie Kim, là một nữ ca sĩ, rapper, diễn viên người Hàn Quốc, thành viên của nhóm nhạc nữ Blackpink trực thuộc công ty YG Entertainment.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,1,0.9993699
15,kimchau85,5,2023-01-09 22:01,,"Mùi hương: bình thường
Dành cho da: mụn
Công dụng: rửa mặt
Sản phẩm dùng OK rửa sạch bả nhờnnnnnnnnn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,4.06876e-07
16,t*****9,5,2023-01-09 19:53,,"Dưỡng ẩm tốt, mùi dễ chịu, sẽ tiếp tục ủng hộ shop dài lâu, sẽ mua","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,3,1,0.9997975
