,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,thoa_dautay,5,2021-09-14 10:44,,"Sản phẩm như hình, đóng gói kĩ, Shop giao hàng nhanh, mới mua lần đầu thấy tốt sẽ ủng hộ shop.",,1,1,1,1.0
1,l*****h,5,2022-09-12 10:22,,"Sản phẩm đóng gói cẩn thận và rất ổn. Sữa rửa mặt thường cho da khô thì mình đã dùng đến lọ thứ 2, còn sữa cho 25+ thì rửa xong đã hơi khô","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen.",0,1,0,6.542396e-06
2,b*****1,5,2022-08-09 23:37,,"Công dụng: ngừa mụn
Mùi hương: dịu nhẹ
Dành cho da: dầu
mới rửa lần đầu thấy có mấy hạt cũng đã, có điều rửa xong da hơi khô. Hy vọng sẽ giảm mụn ngừa thâm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,1,0,3.0148987e-13
3,vuhailong2109,5,2022-12-16 17:40,,"Công dụng: tốt
Mùi hương: tốt
Dành cho da: tốt
Giao hàng rất nhanh và đầy đủ. 200k mua được rất nhiều. Chất lượng sẽ đánh giá sau. Hàng chính hãng nên yên tâm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,1,0,0.1851378
4,l*****6,5,2022-03-04 23:40,,"Công dụng: rửa sạch mặt
Mùi hương: mùi rất mát, rất dịu dàng
Kết cấu: khá ổn
Hơi buồn 1 xíu vì không để ý độ tuổi sử dụng😭😭😭, chưa tới 25, không biết dùng có sao không nữa. Thôi dùng thử vài hôm rồi quay lại nha 🤣🤣🤣🤣",,0,1,0,8.173626e-10
5,k*****b,5,2022-09-23 15:22,,"Đã và đang dùng thấy rất oke
Sẽ gắng bó vs sản phẩm này nhiều hơn
10d chất lượng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,5.16677e-12
6,hodiemmy10042003,5,2022-01-14 18:53,,"Công dụng: mua dùm, chưa nghe nói gì nên chắc dùng ok
Mùi hương: thơm vừa phải, nhẹ
Kết cấu: trắng trong, đặc vừa phải
Nếu dùng ok sẽ đặt dùm lần 2..",,0,2,0,8.4971737e-07
7,tdung05,5,2022-03-07 15:29,,"Công dụng: Ngừa mụn
Mùi hương: Thơm
Giao hàng nhanh lắm nha
Srm có mùi thơm lắm
Rất đáng tiền nha mng",,0,2,0,5.4889013e-05
8,s*****u,5,2023-02-20 18:26,,"K có bọc chống sốc, sơ xài lắm. Còn chất lượng thì mong phù hợp sẽ đánh giá thêm nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,2.3489296e-08
9,h*****o,5,2023-02-16 10:33,,"Công dụng: Làm sạch da
Mùi hương: Nhẹ
Dành cho da: Các loại
Chốt đơn và giao hàng thần tốc, hôm qua đặt nay tới rồi. Sale 15 tháng 2 có giá tốt mua nhiều chút xài lâu dài.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.00036821543
