,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,b*****l,5,2023-02-12 18:56,,"Công dụng: chong mun
Mùi hương: thom
Giao hàng rất nhanh, đóng gói kĩ, săn sale nên được giá rẻ, sẽ mua lại lần nữa ạ
Số lượng đủ, srm có hạt nên bạn nào đang mụn cân nhắc trc khi mua nhé","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,1,0,1.4631143e-08
1,pham1982xt,5,2023-02-24 12:29,,"Công dụng: rửa mặt chưa dùng nhưng chắc ok hình ảnh chỉ mang tính chất nhận xu. dù gì hàng chính hãng thì ok
Mùi hương: trà xanh","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,2.0209602e-12
2,upasaranghea,5,2023-02-17 15:00,,"Công dụng: rửa mặt
Mùi hương: thơm nhẹ
đen cho da thường xanh cho da mụn
Gói hàng khá là sơ sài nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,6.37832e-05
3,trandiemquynh2005,5,2023-01-19 16:43,,Chưa sử dụng nma thấy cũng ổn nha mấy pà cứ mua đi sau về trải nghiệm thì mí biết da mình như nào được,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,0.25248498
4,nhatz18032003,5,2023-01-10 20:06,,"Công dụng: tốt
Mùi hương: mùi trà xanh
Thơm, rửa xong mát và sảng khoái, sẽ mua tiếp để dùng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,1,0,2.047755e-10
5,08012004t,5,2022-11-15 15:23,,"Công dụng: rất okela luôn shop ơi
Mùi hương: trà xanh thơm mát
Sản phầm vừa ý, ship bơ thân thiện giao hàng nhanh tốt bụng nữa.cho shop 5 sao nè. Giao hàng rát là oke la luôn nha .","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,3.6502903e-09
6,t*****5,5,2022-11-19 19:54,,Sản phẩm tuyệt vời thích hợp với da của tôi lần sau tôi sẽ tiếp tục sử dụng,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,2.8117069e-09
7,h*****y,5,2023-06-02 00:26,,Sản phẩm giá rẻ mà dùng thích lắm nha. Hum sau quất 2 tuýp lun đỡ mất công ship nhìu. Hy vọng lần tới lại có mã giảm giá nè,,0,2,0,7.326501e-13
8,p*****1,5,2023-05-28 23:23,,"Gel rửa mặt sạch sâu ngừa mụn Oxy Acne Prevent
Đánh giá nhận xu",,0,2,0,8.0511974e-08
9,k*****3,5,2023-05-17 22:29,,Giao hàng nhann. Xài thích lắm. Mua nhiều lần rồi. Thanks shop.,,0,2,0,0.3722688
10,lililyly,5,2023-05-18 00:38,,"Đã nhận hàng thành công, giao hàng nhanh và đóng gói rất cẩn thận",,0,2,0,5.9896836e-05
11,p*****8,5,2023-05-08 19:43,,"Bao bì: tốt
Lợi ích: rửa mặt
Mẹo: tốt
OK. Đã nhận đủ hàng. Chất lượng ok lắm hợp giá tiền. Đúng mẫu đã chọn.  Tks shop",,0,2,0,8.7184393e-10
12,l*****3,5,2023-04-19 12:56,,Hữu nào có thông tin về việc đăng kiểm xe trong thời gian giãn cách ko vậy! E ko biết đi đăng kiểm có bị phạt vì “ra đường không cần thiết” ko nữa ! Tp. HCM nhe,,0,3,0,0.0004884895
13,d*****l,5,2023-05-03 11:15,,"Lợi ích: rửa mặt mát
Bao bì: đóng gói cẩn thận
Sản phẩm ok, giao hàng hơi lâu xíu",,0,3,0,0.09676715
14,n*****9,5,2023-04-09 19:11,,"Giao hàng nhanh
Shop gói hàng cẩn thận
Hàng giống hình mẫu
Sẽ ủng hộ",,0,3,1,0.99999964
15,dohocsinh.net,5,2023-04-26 17:10,,"Mẹo: ok
Hương thơm: thơm
Làm đẹp: sạch
Sản phẩm okj nhé, phù hợp giá tiền. nói chung là okay",,0,3,0,2.740824e-08
16,d*****4,5,2023-02-25 20:02,,Giao hàng nhanh chóng và đóng gói cẩn thận giá cả phải chăng hợp lý,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,0.023392243
17,duyphuc2003,5,2023-04-24 09:22,,"Đóng gói cẩn thận, dùng rất tốt",,0,3,1,0.998796
18,van_hoang_2109,5,2023-02-27 21:43,,"Công dụng: rua mat
Thích lắm mợi người ơi nên thử","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,0.19992834
19,t*****2,5,2023-03-21 13:34,,"Beauty Profile: tốt
Usage Experience: tốt
Fragrance: tốt
Dùng tốt. Lần tới sẽ còn ủng hộ shop. Chất lượng ổn. Giá cả hợp lý. Hỉnh ảnh mang tính minh họa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,0.0029244062
20,e*****p,5,2023-01-25 19:54,,"Shop giao hàng nhanh,đóng gói chắc chắn, chất lượng sản phẩm tuyệt vời, 5 sao","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,0,0.00031341138
21,q*****i,5,2022-12-15 09:25,,Chin nhỗi vì mình up linh tinh do không mang theo hàng bên mình. Mình chưa kiểm tra hàng nhưng mình dùng của hãng acnes nhiều rồi và rất ưng . Kênh Mall nên chắc ôk thôi,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,4,0,2.420435e-05
22,maithuy2810,5,2022-11-16 17:20,,"Công dụng: sạch
Nchung là cx ổn, rửa xong ko bị khô như sửa rửa mặt, mẫu mới chưa quen nhắm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,0,1.8990707e-12
23,h*****t,5,2023-02-21 15:37,,"Công dụng: ngừa mụn
Mùi hương: trà xanh","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,0,1.6364801e-12
24,nguyenanh099,5,2023-02-03 17:01,,"Công dụng: làm sạch da mặt
Mùi hương: trà xanh
Chưa dunhf loại này lần nào. Để trải nghiệm thử xem ntn sẽ đánh giá sau.
Sthcdyhjhggjjv
Fggfhjh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,5,0,2.2337738e-14
25,thinguynlthi,5,2023-03-10 22:43,,Sản phẩm tốt quá oke,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,5,0,0.1987781
