,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,hahyeri,5,2023-04-04 21:27,,Sản phẩm tốt chất lượng đáng mua nha mợi người . Chất lượng good,,0,1,0,1.0684722e-13
1,hienhien37,5,2023-02-05 12:16,,"Tôi đã nhận được sản phẩm. Giao hàng nhanh. Đúng sản phẩm, mẫu mã.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,1,1,0.9999989
2,k*****g,5,2022-12-26 16:10,,"Shop đóng gói đủ và đúng loại sản phẩm. Gel rửa mặt khi dùng mát lạnh, sau khi rửa da mặt có cảm giác mịn hơn.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,5.161796e-07
3,t*****8,5,2022-12-17 22:39,,"Công dụng: làm sạch da
Mùi hương: dễ chịu
Sản phẩm dùng tốt cho da mặt nam, mn tham khảo thêm nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,1.6964357e-09
4,baovy1412,5,2023-05-15 14:21,,"Bao bì: ok
Hương thơm: tot
Mình mua cho chồng dùng, thấy ảnh bảo sản phẩm ok, không kích ứng. Cấp ẩm tốt, sạch da, ko lo da khô khi ngồi trong điều hoà nhiều. Ảnh lười chụp quá. Shop giao nhanh, đóng gói tốt",,0,1,0,0.0078049917
5,hac_miu,5,2023-05-16 05:46,,Sp tốt giao hàng nhanh giá rẻ. Rất là ưng luôn nha mn. ( hình ảnh ko lq ),,0,1,0,0.0094020935
6,thachkimsun,5,2023-05-13 09:34,,"Làm đẹp: sửa rửa mặt
Lợi ích: chăm sóc da mặt
Bao bì: đẹp
Sản phẩm đóng gói cẩn thận, đẹp,",,0,2,0,1.909854e-06
7,thaick1996,5,2023-05-06 07:09,,"Mẹo: mẹo
Kinh nghiệm sử dụng: k có
Bao bì: đẹp
Hàng chất lượng tốt. Rẻ mà đẹp. Rửa k mát cho lắm. Ns chung ổn áp thôi. 60k đòi hỏi j",,0,2,0,1.5352733e-05
8,dugmilo_96,5,2023-03-23 10:32,,"User Tips: ok
Packaging: kk
Usage Experience: kk
CÓ KHÁCH QUA TẬN SHOP MUA :))) e bảo giữ thẻ tích điểm đổi tiền nha. Khách ra tới cửa vứt thẻ ở ngoài cửa luôn. :))))
Chết tâm =)))))",,0,2,0,0.008304323
9,donghuuky,5,2023-02-25 13:25,,"Sản phẩm xài ok. Giá rẻ. Có các hạt mát xa cỡ vừa, tuy k to như loại than hoạt tính nhưng cũng ổn. Rửa mặt xong thấy sạch. Nếu sạch nhất thì xài loại than tre nha mn.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,3.693624e-07
10,trantruong189,5,2023-02-27 20:37,,"Sản phẩm cuốn đi chất nhờn, bụi bẩn và các tạp chất khác mà không gây kích ứng, cho da mềm mịn, đồng thời mang lại cảm giác tươi mát và sạch thoáng cho da. Đặc biệt, em ấy được PETA phê duyện 100% thuần chay; không có nước hoa hoặc màu nhân tạo, không có hóa chất mạnh,không cồn, không xà phòng, không paraben và không phthalates.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,0.23677765
11,tien290775,5,2022-10-29 21:02,,"Mùi hương: thơm
Đóng gói đẹp giao hàng nhanh sản phẩm nhìn cũng xịn sò chất lượng sản phẩm chưa sửa dụng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,0.00018506526
12,taksp1996,5,2023-03-07 00:46,,Tốt,,0,3,1,0.8833516
57,thichgaixinh1,3,2023-04-24 23:09,,"Bao bì: không giống
Hương thơm: có
Kinh nghiệm sử dụng: có
Thơm mát nhưng còn nhiều dầu. Shop đóng gói chậm",Rohto Mentholatum Việt Nam xin chào quý khách! Rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Việt Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ quý khách.,0,1,,
