,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,n*****6,5,2023-03-27 19:10,,"Dành cho da: dành cho da dầu hoặc da khô nha
Công dụng: giúp làm sạch
Mùi hương: thơm mát
Cái này có mùi hương thơm mát dùng trên da cảm thấy ok, nhưng shop giao hàng siêu lâu luôn.",,0,1,0,1.8849104e-08
1,phamphuclinh123,5,2023-01-31 20:40,,"Công dụng: thấm dầu
Mùi hương: ko mùi
Dành cho da: dầu
Sản phẩm tốt 👍","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,9.422746e-10
2,6i5vgg89gp,5,2023-02-01 14:30,,"Công dụng: thấm dầu
Mùi hương: thơm
Dành cho da: dầu mụn
Sp dùng rất ưng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1,0,3.7417202e-08
3,p*****f,5,2022-06-07 19:19,,"Công dụng: hút dầu
Mùi hương: không
Dành cho da: all
Mua để thấm dầu để đỡ bị bóng lớp makeup.I still always love iKON, only iKON ❤️",,2,1,1,0.9960912
4,linsey17,5,2022-05-13 15:09,,"Hàng hãng này thì OK rồi . Luôn làm em hài lòng.

P.S: Nhà em làm dịch vụ du lịch ở Phú Quốc .
Ace có đến PQ liên hệ nhà em để được phục vụ tốt nhé . Lh: 0763 914666 ( Vinh)",,0,1,1,0.9615341
5,t*****n,5,2022-11-10 10:28,,"Giao đủ, đúng hàng, mùi Sweetie mình mua lại vì dùng thích, mùi màu cam mới dùng chưa biết ra sao. Son dưỡng loại này xài oke, nhanh khô, ko bị trơn trượt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,3.160197e-08
6,t*****_,5,2022-04-24 13:36,,"Sản phẩm chất lượng sẽ quay lại mua thêm nữa , giá rẻ đáng đồng tiền",,1,2,0,2.140443e-08
7,btuan8226,5,2022-09-05 20:59,,Mùi hương: Bùi Anh Tuấn đã có thể làm được gì cho nó lành bác nào có thể,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,8.846879e-06
8,Người dùng Shopee,5,2022-03-27 08:14,,"Chất lượng sản phẩm tuyệt vời
Giao hàng nhanh
Đóng gói sản phẩm rất đẹp và chắc chắn",,1,2,0,1.6967468e-05
9,t*****8,5,2022-04-27 11:18,,Hinhd ảnh chỉ mang tính chất nhận xu xin củm lạnh nhé ok la bmif,,0,2,0,1.5962234e-05
