,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,t*****1,5,2023-05-19 11:12,,"Mới đặt hàng hôm qua thì hôm nay đã nhận được. Giao hàng siêu nhanh, giấy thơm mùi xà xanh nhẹ dễ chịu lắm, màu xanh mint dể thương. Được tặng kèm 1 tuýp SRM nữa chứ <3",,0,1,0,3.1277208e-15
1,hannie332,5,2023-05-23 17:44,,"Hàng giao đủ, do cùng ở HCM nên đặt hôm qua là nay giao liền à...",,0,1,1,1.0
2,hermie1919,5,2023-05-16 16:10,,"Đóng gói cũng được mà cố nhét vào nên bị móp nhẹ như hình, mua ngày sale giá tốt, có quà tặng. Giấy có mùi trà xanh dễ chịu.",,0,1,0,4.381102e-12
3,t*****3,5,2023-05-15 09:23,,"Khả năng thấm dầu trung bình, mùi trà xanh thơm dễ chịu, shop giao nhanh",,0,1,0,1.8586542e-10
4,t*****9,5,2023-05-16 13:45,,"Công dụng: thấm dầu
Dành cho da: all
Mùi hương: thơm
Shop giao hàng nhanh, đóng gói khá cẩn thận, đầy đủ sp còn đc tặng thêm nữa",,0,1,0,0.0027016373
5,lusa.girine,5,2023-05-12 11:44,,"Mình mới mua hoy nên cũng ko bít có tác dụng hok, mình sẽ đánh giá trải nghiệm sau a :3",,0,1,1,0.7750644
6,t*****n,5,2023-05-09 10:18,,"Mùi thơm nhẹ rất thích, hàng được đóng gói cẩn thận, giao hàng nhanh.",,0,2,0,0.2342605
7,m*****n,5,2023-05-08 13:01,,Mùi trà xanh thơm dịu. Đóng gói giao hàng nhanh. Thấm dầu rất ưng nha,,0,2,1,0.99179935
8,p*****1,5,2023-04-17 10:04,,Giấy thấm dầu dùng okie lắm ý. Săn được voucher nên mua được giá rẻ hihi,,0,2,0,0.00013147686
9,hipzeus,5,2023-04-30 07:49,,"Công dụng: tham dau
Mùi hương: mùi hương matcha
Dành cho da: da dầu da mụn
Giấy thấm dầu rất thơm nha mn với thấm hút tốt so với giá tiền
Mỗi tội shipper chưa gọi cuộc nào đã giao ròi :))",,0,2,0,2.5158158e-09
10,tran.ngoc.tram,5,2023-04-25 18:47,,Giao hàng nhanh. Giấy có mùi trà xanh. Cũng không có gì để nhận xét,,0,2,0,4.952001e-09
11,r*****2,5,2023-04-16 12:33,,"Thấm dầu okla, mùi thơm nữa, không hề mỏng nha, giao hàng nhanh",,1,2,0,3.6636388e-10
12,mylove_255,5,2023-05-14 19:35,,"Mùi hương: ok
Công dụng: ok
Dành cho da: ok
Shop uy tín hàng chính hãng giao hàng nhanh đóng gói an toàn",,0,3,0,0.000505124
13,lannguyetvan,5,2023-05-18 21:45,,"Dành cho da: thấm dầu tốt
Đã dùng phù hợp với giá tiền",,0,3,0,8.9397325e-08
49,n*****3,4,2023-05-20 12:44,,"Dành cho da: dầu
Công dụng: thấm dầu
Mùi hương: thơm
Qazwsxedcrfvtgbyhnujmikolp hkajuxb alid",,0,1,,
