,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,kimquyen140797,5,2022-10-14 12:14,,"Công dụng: xua đuổi muỗi, côn trùng
Mùi hương: dễ chịu
Dễ thấm, OK ,mùi dễ chịu hông bết rích, hiệu quả","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,0.40412107
1,dangthihoa2507,5,2022-08-29 21:26,,"Công dụng: xua muỗi cho cả gđ
Mùi hương: chưa dùng nên chưa biết
Giao hàng nhanh. Mình dùng loại xịt rồi giờ mua loại tuýp này xem sao","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",6,1,0,2.941044e-10
2,maianh1692,5,2022-11-22 21:19,,sinh các cấp bắt đầu nghỉ Tết Nguyên đán từ ngày 18.1.2023 (tức 27 tháng Chạp) đến hết ngày 29.1.2023 (tức mùng 8 tháng Giêng). Tổng số ngày nghỉ là 12 ngày. Học sinh nghỉ Tết Quý Mão từ ngày 18.1.2023 đến hết ngày 29.1.2023 (nhằm ngày 27 tháng Chạp năm Nhâm,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,0.004872406
3,h*****9,5,2022-04-11 12:06,,"Công dụng: chống muỗi
Phù hợp với loại da: mọi loại da
Sản phẩm tốt, bảo bì đẹp, đóng gói chắc chắn, mua 2 tuýp mà tặng được 1 kcn luôn  mọi người nên mua nha",,5,1,0,1.0429404e-05
4,lengocphuong27,5,2021-11-07 11:39,,"Sản phẩm giống hình, đóng gói cân thận đẹp sẽ ủng hộ shop 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",,0,1,1,0.9999999
5,h*****k,5,2023-03-01 18:16,,"Công dụng: kem chống muỗi cho bé
Mùi hương: thơm dịu nhẹ
Mua 1 combo 3 chai xịt tặng 1kem với 1 khăn sữa cho bé và minh mua thêm 1 chai kem với giá nay cug ok nha nên mua nha mọi người",,0,1,0,2.0165587e-09
6,n*****i,5,2022-03-14 11:14,,"Công dụng: Chống muỗi cho bé
Thành phần: picaridin 10%
Kết cấu: chất kem
An toàn cho bé từ 6 tháng trở lên.",,0,2,0,1.1854893e-13
7,k*****1,5,2021-11-06 15:28,,"M mua 1chai ở Pharmacity là 6x , tính ra mua combo nvay lợi hơn nha.
Đóng gói cẩn thận. Ok nha",,1,2,0,3.388135e-07
8,ngocthao915,5,2022-07-26 09:45,,"chống muỗi tốt nha, mình mua lại lần 2 đó, thoa đều lên da bé thì chả thấy con muỗi nào đốt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.

",0,2,0,0.0018953264
9,n*****m,5,2021-11-15 00:52,,Giao hàng nhanh. Đóng gói kỹ. Sản phẩm phù hợp cho bé nhỏ. Vào mùa mưa nhiều muỗi nên cho bé nha các mẹ. Được tặng kèm sữa rửa mặt cho mẹ nữa đó ạ.,,0,2,0,2.8766527e-11
10,h*****0,5,2022-11-03 23:38,,"Chất kem okela nhé, mùi không thơm mà kiểu thảo mộc, hơi khó ngửi nhẹ, mua vì đam mê","Sunplay xin chào bạn, Sunplay rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Sunplay . Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé. Chúc bạn vui vẻ ạ.",0,2,0,1.6103593e-08
11,t*****6,5,2022-09-17 21:20,,"Công dụng: chống muỗi
Mùi hương: của em bé thì k có mùi ngửi lắm mới nghe được mùi khuynh diệp nhè nhẹ, của người lớn thì khỏi bàn
Mùi cam thơm lắm luôn, giá hạt dẻ túyp 22k mà cầm nặng tay lắm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,2,0,1.8490683e-10
12,lenhat220593,5,2022-06-07 11:30,,"Công dụng: Xua muỗi
Mùi hương: Dễ chịu
Chưa sử dụng chưa biết chất lượng nhưng về hình thức ok",,0,3,0,2.8627175e-11
13,tuyetnhien123,5,2022-11-22 09:37,,Giao hàng nhanh còn được tặng kèm gương đẹp. Sẽ ủng hộ shop tiếp tục,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,1,0.8367072
14,phuongkl00,5,2022-06-17 16:33,,"Công dụng: tránh muỗi
Mùi hương: hương khuynh diệp
Dạng kem hơi đặc, mùi thơm nhẹ. Chưa sử dụng nên chưa đánh giá.",,0,3,0,1.6030387e-11
15,b*****a,5,2022-08-13 00:46,,"Hình ảnh và video mang tch nhận xu nha
Kem chống muỗi xài ok lắm, đã mua nhìu lần của shop rồi","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,2.0605337e-05
16,meiz9x,5,2022-06-01 16:45,,"Công dụng: Ngừa muỗi đốt
Mùi hương: gần như không mùi.
Giao hàng nhanh, vận chuyển lâu. Nhận đủ, đóng gói ok!",,0,3,0,3.1695932e-10
17,tuyetnghi1996,5,2022-07-06 20:33,,"Mùi khuynh diệp dễ chịu, chất kem thấm khá nhanh không nhờn rít.","Rohto chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,3,0,0.4372429
18,tientienlani,5,2021-11-05 15:31,,Quá là ok akakjsksksnskdnsksndnksnsjdnsndbkannabbsnsn,,0,4,1,0.96482486
19,xuanhien132,5,2022-10-27 10:14,,"Công dụng: xua muỗi
Mùi hương: tự nhiên
Mùi hương dễ chịu, lành tính, phù hợp với của em bé.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,0,5.3862044e-09
20,tuyetnhunghuynh372,5,2022-09-30 14:41,,Sản phẩm tuyệt vời sẽ ủng hộ tiếp . dùng bài ngayvcbjsndvdbdj nós,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,1,1.0
21,heomap3006,5,2023-04-06 10:37,,"Lợi ích: chong mũi
ko mùi lành tính phù hợp mọi loại da",,0,4,0,0.0237128
22,d*****1,5,2023-04-03 22:35,,"Chất lượng sản phẩm tuyệt vời
Đóng gói sản phẩm rất đẹp và chắc chắn",,0,4,0,1.4843689e-05
23,thuhapham2802,5,2023-04-02 17:52,,"Shop giao hàng nhanh, tác dụng xua muỗi, mong bé k bị muỗi đốt khi sd",,0,4,1,0.98645014
24,thu.2105,5,2023-03-29 09:40,,"Kem chỉ hiệu quả tại vùng da nào mà mình bôi lên, gần chỗ k bôi vẫn đốt bình thường nhé, nên lưu ý không mua, an toàn cho bé",,0,5,0,1.6320281e-06
25,dthu177,5,2023-03-28 11:47,,"Giao nhanh và sản phẩm chất lượng

🌹mọi người vào shop mình xem đồ thanh lý nha",,0,5,0,1.7171463e-06
26,n*****5,5,2023-03-26 09:22,,"Kinh nghiệm sử dụng: ok
Mẹo: ok
Làm đẹp: ok
Hinh anh mang tc nhan xu, giao hang nhanh, chat luong sp on",,0,5,0,0.009713576
27,tiunhin638,5,2023-03-25 16:15,,"Hương thơm: khuynh diep
Bao bì: đẹp
Làm đẹp: ok
Chưa sử dụng nên không biết hiệu quả thế nào. Hy vọng sẽ tránh được muỗi cho bé. Giao hàng nhanh",,0,5,0,0.452711
28,sonle97234,5,2023-03-24 12:26,,"Beauty Profile: ddepj
Benefits: thowm
User Tips: bôi da
Đung thì thơm nhưng ko biết là chống muỗi dc ko
Nhưng vẫn dùng cho an tâm",,0,5,0,4.4069154e-08
29,huyrua350,5,2023-02-16 13:16,,"Nếu cuộc đời ném vào mặt bạn một quả chanh, hãy vắt nước chanh thay vì chê nó chua quá","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,5,1,1.0
30,d*****c,5,2023-02-20 12:06,,"Công dụng: chống mũi
Mùi hương: nhẹ
Sản phẩm OK. Mùi nhẹ nhàng. K biết xua đc mũi k thì chưa biết. 🤣🤣🤣🤣","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,6,0,9.833668e-08
31,kiwi_nguyenngoc,5,2023-02-22 13:08,,"Sản phẩm tốt, thẩm thấu nhanh, ko nhờn rít, hiệu quả nha. Nên mua","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,6,1,0.9999989
32,t*****u,5,2023-02-05 12:27,,"Công dụng: chống muỗi
Mùi hương: không mùi
Nhẹ nhàng, phù hợp với trẻ em. Xài khá hao","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,6,0,0.0050780755
33,jennyhphuc,5,2023-01-30 17:56,,"Nhận xu cua shopee giờ khó như gì, bực mình, 
Có mua sài rồi, không biết tốt không nữa, cho con sài nhưng k có ở nhà nên k biết hiệu quả thế nào
Giao hàng tết chậm chạp, vừa lòng shopee chưa","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,6,1,0.9980458
34,b*****7,5,2023-01-05 11:03,,"Công dụng: Chống muỗi đốt
Mùi hương: Không mùi
Sản phẩm ổn áp á, giá hạt dẻ mà chống muỗi cũng ok, nhất là mấy bé da độc như con mình, cần những sản phẩm này để tránh muỗi đốt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,6,0,5.1532757e-06
35,tuyetdung91,5,2023-01-06 21:51,,"Sản phẩm ưng ý, shop giao đủ số lượng và đúng mẫu, hình ko liên quan xíu nhưng cũng cùng hãng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,6,0,6.701692e-05
36,nguyetmaihoa93,5,2022-12-21 13:44,,"Hình ảnh mang tính chất nhận xu. Hàng đẹp, gói cẩn thận, sẽ ủng hộ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,7,1,0.9981964
37,vulinhdan1819,5,2022-12-16 08:42,,"Mùi hương rất thơm,dễ chịu..sẽ mua ủng hộ tiếp nên mua nha mọi nguoi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,7,1,0.9997762
38,lan233hcm,5,2022-07-17 11:12,,"Xài ổn mua lại lần 2. Nhưng chỗ tay chân k bôi vì sợ bé bỏ vô miệng thì muỗi nhắm chỗ đo đốt, bôi chỗ khác mà sao k bay mùi qua đuổi được muỗi. Cho tạm 5 sao tiếp","Rohto Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,7,0,9.149152e-15
