,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,jeonjungkook1403,5,2022-10-28 16:04,,"Công dụng: ok
Mùi hương: thơm
Sản phẩm rất ok, mình thấy khá thích, đóng gói chất lượng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",4,1,1,0.99991024
1,t*****9,5,2022-04-06 21:01,,"Shop đóng gói chắc chắn, cẩn thận
Giao đầy đủ hàng
Shipper thân thiện lịch sự",,3,1,1,0.9965223
2,mailanhuongly,5,2022-09-30 13:52,,"Công dụng: chống muỗi
Mùi hương: thơm nồng
Dùng bôi ngoài quần áo cho em bé cho khỏi muỗi. Tạm thời là ổn. Hihi không biết đánh giá gì","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,6.92078e-11
3,xyh4j8mjag,5,2023-03-16 12:14,,"3. Hiện tượng bán hàng rong tại phố đi bộ Nguyễn Huệ. Giải thích: Người bán hàng rong thường chọn những điểm tụ tập nổi tiếng có nhiều người qua lại để bán, bất chấp chính quyền đã ra sức ngăn cản. Nhận định rút ra: Chính quyền đã xây dựng phố đi bộ đã là sự tồn tại của xã hội, và hành vi bán hàng rong trái phép ở đó chính là ý thức của con người. Người ta không thể tìm nguồn gốc tư tưởng trong đầu óc con người, mà phải tìm nó trong chính tồn tại xã hội (phố đi bộ). Do đó phải tồn tại xã hội (phố đi bộ) để lý giải cho ý thức xã hội (bán hàng rong)","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.065867305
4,baovy142010,5,2023-01-17 16:11,,"Công dụng: chống muỗi
Mùi hương: thơm.
Giao hàng nhanh
Hình ảnh chỉ mang tính chất nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,2.847012e-08
5,minghynguyen,5,2022-06-24 21:54,,"Hình ảnh chỉ mang tính chất nhận xu. Đã nhận đủ hàng, chưa dùng thử nên không biết chất lượng ra sao. Đóng gói cẩn thận. Chuẩn bị hàng và ship hàng nhanh",,0,1,0,4.89215e-10
6,phan_xuan_manh,5,2022-08-09 11:09,,"Công dụng: chống muỗi
Mùi hương: lavender
Rất ok ạ gói hàng chắc chắn sản phẩm đẹp sẽ ủng hộ thêm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,2,1,1.0
7,h*****2,5,2022-08-21 12:33,,"Công dụng: Chống muỗi
Mùi hương: Thơm
Chất kem không đặc lắm, thấm nhanh, mùi thơm lắm nha.
Chống muỗi thì cũng tạm ổn, giao hàng nhanh.
Tuýp kem bên ngoài hơi bị dơ.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,2,0,3.7005457e-13
8,t*****4,5,2022-05-16 16:22,,"Shop xử lí đơn hàng nhanh, sp dùng tốt phù hợp với giá tiền, dùng xong sẽ mua tiếp. Hình ảnh chỉ mang tính nhận xu",,1,2,0,4.092597e-15
9,p*****5,5,2022-07-08 14:02,,"Khá tin tưởng hàng của shoppe mall giá rẻ hơn với các shop khác nữa nên mình mới đặt hộp móp méo kinh luôn chắc do qtrinh vận chuyển, bên trong cũng ko bọc chống sốc gì luôn nhưng hên là có lớp bọc trong bên ngoài mình thấy hàng nặng tay ko ít như mnguoi nói nên mua 👍👍","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,2,0,0.0067943903
