,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,k.loan254,5,2023-03-30 21:13,,"Mùi hương: hương cam
Chống muỗi, nhưng thoa cánh tay nhiều sẽ bị nóng da......",,2,1,1,0.9982224
1,d*****8,5,2023-02-08 10:48,,"Công dụng: chống mui
Mùi hương: thơm thoảng thoảng dễ chịu hửi kĩ mới nghe mùi khá hắc
Chống mũi quá okela luôn nê. Mua nhé mn đóng gói hàng hơi chán xíu ko có bọc chống xốc mấy mà nó ko bị đổ còn lại mọi thứ đều ưng cả hình ảnh chỉ mang tính chất nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,1,0,2.0928645e-10
2,nsuong2304,5,2022-10-13 20:51,,Mình mua bao nhiêu lần cùng k nhớ rõ nhưng giá bình dân mà chống muỗi quá ok mng nên mua. Mình mua cho chồng mình dùng vì cty ổng khá nhiều muỗi. 1 ngày ổng làm 8-9 tiếng có khi tăng ca nhưng vẫn không bị muỗi đốt. Nên là mng nên mua ở shop nha. Loại cam dùng ok hơn. Các loại khác mình có mua dùng nhưng k thấy hiệu quả bằng cam nha,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,1,0,1.781601e-05
3,p*****4,5,2022-06-25 21:04,,"Sản phẩm tuyệt vời dùng cho da nhạy cảm, hương thơm, thích a hợp",,4,1,0,6.36217e-13
4,thuhiengmailne,5,2022-08-20 16:10,,"Shop đóng gói kĩ, giao đúng sản phẩm, mùi thơm kem mịn nên dùng nha","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",4,1,0,2.976379e-06
5,nsuong2304,5,2022-11-14 22:42,,Khách quen của shop luôn rồi. Đánh giá chủ yéu nhận xu thôi hehee,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",3,1,0,2.5908068e-05
6,hi_kitty_pr,5,2022-06-10 04:03,,"Mùi thơm dễ chịu
Đóng gói rất kỹ
Giao hàng rất nhanh
Sản phẩm tốt, muỗi tránh xa",,1,2,1,0.9151818
7,lanlu572,5,2022-10-11 17:50,,San phẩm chống muỗi rat hieu qua mui huong rất thơm mẫu mã đẹp giao hang nhanh,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",3,2,0,0.0037734571
8,thubu29,5,2022-04-06 21:01,,"Shop đóng gói chắc chắn, cẩn thận
Giao đầy đủ hàng
Shipper thân thiện lịch sự",,1,2,1,0.9965223
9,z*****o,5,2022-07-19 17:12,,"Giao hàng nhanh, đóng gói cũng kỹ lắm nè. Sản phẩm thơm mùi cam thiệt á nha.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé.
",3,2,0,1.8960215e-10
10,n*****2,5,2022-04-05 15:47,,"Sản phẩm ok...thấy mn khen nên mua sử dụng cho bé thử 
Mong sua đc muỗi",,1,2,0,6.2121575e-10
11,p*****5,5,2022-07-09 15:32,,"Mùi hương: có chút  mùi cam
Qưertyuiopasdfghjklzxcbvnm
Không đánh giá sao nhưng mà đóng gói khá là chắc chắn .ggiao hàng nhanh hai ba ngày là có r  .shipper dễ thương","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,2,0,0.0012869947
12,lyphinmaucafe,5,2022-06-18 22:59,,"Tuyệt vời
Gói handg cản than
Muo thơm
Giao hang nhanh goi hang dep",,1,3,0,1.1884095e-05
13,nsuong2304,5,2022-08-10 14:03,,Quay lại mua lần thứ bao nhiêu k nhớ nữa nchug công dụng tránh muỗi tốt,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",1,3,0,1.7714901e-06
14,k.loan254,5,2022-09-27 13:05,,"Công dụng: chống muỗi
Mùi hương: hương cam
Mùi cam nhẹ, đóng gói quá kỹ luôn, còn hiệu quả chờ sử dụng mới pk đk","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé.",1,3,0,1.8520588e-09
15,miesaki9104,5,2022-08-23 08:55,,"Công dụng: chống muỗi
Mùi hương: cam
Mùi thơm, công dụng ổn, hình ảnh và vid mang tính chất nhận xu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,2.806113e-07
16,ngocthao915,5,2021-10-15 09:49,,nhìn rất ổn mình sẽ thử xem hiệu quả tốt không để mua tiếp,,2,3,0,4.4751985e-05
17,hoanganhvn99,5,2022-07-19 13:10,,"Comment chủ màn tính chất nhận xu, đã nhận đc hàng sau 1 tuần sử dụng sẽ đán giá tiếp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,7.7048334e-10
18,w*****e,5,2021-10-11 16:00,,"Giá rẻ giao hàng nhanh bất ngờ 🙂🙂🙂🙂
Sp mua mall nên chất lượng đảm bảo, mùi siêu thơm, mở hộp giấy ra thôi đã ngửi thấy mùi thơm rồi. Xài oki thì sẽ tiếp tục mua🤣🤣🤣😂 chứ số hút muỗi thì k thể nào k xài đc~",,3,4,0,6.1103695e-09
19,t_tlie,5,2022-10-23 20:03,,"Công dụng: chống muỗi
Mùi hương: thơm
Tfdyjvrjgkkgdvdgnnjfcc","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,0,0.0026562964
20,p*****4,5,2022-05-15 23:00,,chat luong tot a hình ảnh chỉ mang tính chất nhận xuuuuuu,,0,4,0,7.034142e-10
21,nguyenhue2279gmail,5,2023-03-30 20:13,,"Công dụng: xua muỗi
Mùi hương: cam
Giao hàng nhanh, đóng gói hơi sơ xài, không có chống xốc, sản phẩm dùng tạm ổn chống muỗi tầm 1-2 tiếng khi bôi, mùi cam thoang thoảng không đậm dễ ngửi",,0,4,0,1.5340933e-09
22,minhan0912,5,2023-03-30 13:11,,"Mùi hương: hương cam
Công dụng: chống mũi.kiến.
Hương cam mùi de chịu kem thoa lên da bé k bết rít.công dụng được lâu",,0,4,0,3.025994e-07
23,songlactroi,5,2022-05-12 23:44,,"SP nhận đủ và đúng mẫu, date xa, gói hàng cẩn thận, giá cả hợp lý 👍",,0,4,0,2.4016938e-06
