,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,thuyduong2201,5,2023-04-05 22:43,,"Shop giao đủ hàng , đóng gói hàng cẩn thận , giao hàng nhanh . Hàng tặng đẹp . Hi vọng kết quả sử dụng tốt . Lần sau sẽ ủng hộ shop tiếp",,0,1,1,0.7791105
1,p*****t,5,2023-03-25 12:51,,"Công dụng: chống muỗi
Mùi hương: thơm nhẹ
Thời gian giao hàng hơi lâu, hàng đóng góp cẩn thận, giao đủ số lượng hàng, ko bt là chất lượng sản phẩm ntn nhưng nói chung là ok nhá ai muốn mua thì mua nha",,0,1,0,0.05388481
2,maianh06.z,5,2023-01-29 09:14,,"Công dụng: chống bị muỗi đốt
Mùi hương: hương xả,chanh
Lần này đặt giao khá nhanh.mùi thơm nhưng không thơm bằng mùi cam cho lắm.chống muỗi hiệu quả thoa xong chả thấy con muỗi nào dám lại gần.rẻ tiện nên muaaa","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,1,0.9998987
3,p*****f,5,2022-06-07 19:19,,"Mùi hương: mùi sả rất nhẹ ko hề hắc
I still always love iKON, only iKON ❤️
SĂN TUÝP NÀY VỚI GÓI GIẤY THẤM DẦU 100 TỜ CÓ 36K TẤT CẢ, KHÁ HỜI
Thơm dễ chịu mùi sả,ko hề hắc nồng như xịt mùi lavender, nên mua mùi này nhất nhaa.",,2,1,1,0.99999416
4,c*****y,5,2022-05-31 20:16,,"Công dụng: chống những con muỗi đáng ghéc 😡
Mùi hương: chanh xả
đóng gói kĩ lắm huhu, chai cute nhỏ dễ mang theo. Kem dạng khá lỏng mùi sả nồng do kem lỏng nên dễ thoa và thấm nhanh trên da, ngửi mùi này làm liên tưởng đến thời bị covid phải xông í=))",,3,1,0,8.205608e-07
5,nsuong2304,5,2022-09-05 12:44,,Quay lại mua lần thứ N 😂 sp dùng đc mng nên mua tránh muỗi tốtttt,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",4,1,0,0.0258785
6,n*****h,5,2022-06-19 22:37,,"Công dụng: đuổi mũi
Mùi hương: không biết nữa
Nói chung giao hàng cũng nhanh đó nhen",,1,2,0,0.0027580762
7,nguyetkimm207,5,2023-03-28 23:15,,"Công dụng: tránh muỗi
Mùi hương: sả chanh
ok phết nhưng mà mình thấy chất kem nó cứ sao sao ấy 😢 kiểu như bị đổ nước vào",,0,2,1,0.9999989
8,s*****e,5,2022-06-24 23:45,,"Công dụng: Chống muỗi
Mùi hương: Sả chanh
Giao hàng nhanh chóng, sản phẩm bao bọc kĩ càng nè. Mùi của kem giống nghêu sò mà hấp với sả vậy á không được thơm cho lắm nó khá là nồng mùi.",,0,2,1,0.9786453
9,hi_kitty_pr,5,2022-06-10 04:03,,"Mùi thơm dễ chịu
Đóng gói rất kỹ
Giao hàng rất nhanh
Sản phẩm tốt, muỗi tránh xa",,0,2,1,0.9151818
