,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,trngen991,5,2022-12-31 20:45,,Đã nhận được hàng... dùng ok. Hình ảnh mang tính nhận xu ạ . Good,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",1,1,0,4.817967e-10
1,nhungsam30,5,2022-12-04 16:07,,"Công dụng: dưỡng da
Mùi hương: nhẹ
Dành cho da: mọi loại da
Mùi nhẹ nhẹ thoa lên mềm mại mới thử mà dùng cũng oka","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,3.091366e-10
2,t*****7,5,2022-05-02 19:56,,"Công dụng: Dưỡng da mặt
Hiệu quả dưỡng ẩm: chưa rõ
Khả năng thẩm thấu: chưa rõ
Mùi thơm nhẹ như kem rửa mặt cùng màu
Chưa dùng lần nào nhưng dùng kem rửa mặt rất ổn nên mua kem dưỡng dùng thử
Giao hàng nhanh",,1,1,0,1.303513e-10
3,kimthai131203,5,2022-04-13 15:01,,Mình mới sd thử nên chưa có kqua chính xác để trải nghiệm rồi cho phản hồi nhé,,2,1,0,5.9186204e-06
4,luckytun0815,5,2022-08-24 20:49,,"Loại kem này mình dùng nhiều lần rồi, khá hợp với đã mình. Dưỡng da khá hiệu quả.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",1,1,1,0.9998061
5,hongocha0508,5,2021-12-28 08:52,,"Shop đóng gói hàng cẩn thận💯👏, giao hàng 2 đến 3 ngày. Mình chưa dùng thử, mong sẽ hợp với da☺️",,0,1,0,2.5402187e-06
6,homily.shop,5,2022-11-16 20:36,,"Mùi hương: thơm nhẹ
Dành cho da: mọi loại ra hay sao ý
Công dụng: dưỡng da
Dùng oke lắm đâu là lần t2 mình mua ở shop r sẽ qlai ủng hộ shop","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,2,0,0.054398008
7,levovanhuy2001,5,2023-03-17 00:18,,"Sản phẩm hiệu quả nha , da mịn hơn nhưng không chắc dùng lâu dài sẽ tốt . DV hài lòng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,2,1,0.9805304
8,kimngangakim139367,5,2021-12-23 16:56,,"Từng dùng qua một lần, chất kem khá đặc, thơm nhẹ, bôi lên mặt không thấm ngay, hơi bí một tẹo nhưng dưỡng tốt",,3,2,0,0.4399118
9,thoa_dautay,5,2021-09-14 10:44,,"Sản phẩm như hình, đóng gói kĩ, Shop giao hàng nhanh, mới mua lần đầu thấy tốt sẽ ủng hộ shop.",,0,2,1,1.0
10,thanhm446,5,2022-09-20 20:25,,"Công dụng: dưỡng da hay s á
Mùi hương: mua hộ nên kh biết
Dành cho da: mua hộ nên kh biết
Mua hộ nên k bt, hình ảnh vd mang tính chất nhận xu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,2,0,1.2237915e-15
11,thanhnghia6688,5,2021-10-26 12:00,,"Mua tặng, hy vọng ok sẻ tiếp tục ủng hộ, đợi phản hồi từ người đc tặng",,0,2,1,0.9999634
12,phanphan8399,5,2023-02-21 15:19,,"Công dụng: dưỡng ẩm
Mùi hương: dịu nhẹ
Dành cho da: mọi loại da
Mình mua lần 3 rùi, chủ yếu để dưỡng ẩm, nhon bổ rẻ là đây","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,3,0,1.8489043e-12
13,toi123444444,5,2023-01-06 14:43,,"Công dụng: phục hồi da s mụn
Mùi hương: ko
Dành cho da: sau mụn
Trong khi đó thôi hahah có thể làm được điều đó thôi hahah có thể làm được","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,8.453624e-09
14,n*****8,5,2022-03-19 09:05,,"Trông hình dáng hũ khá là hài hước, có vẻ cũng nhiều. Thẩm thấu không được nhanh lắm, bôi xong 1 lúc lâu vẫn để lại cảm giác có kem trên mặt. Nhưng k thấy bị kích ứng hay ngứa ngáy gì, mong có hiệu quả",,0,3,0,0.0005102158
15,wholesale_123,5,2022-06-25 20:09,,"Công dụng: dưỡng da
Mùi hương: nhẹ
Dành cho da: tất cả
Mới sử dụng lại hi vọng là hợp vs da mình....",,0,3,0,1.32731924e-11
16,vhope1802,5,2021-12-16 05:23,,Hình ảnh video mang tính chất nhận xu. Mình có sài loại này lúc mua ở siêu thị rồi cũng ok â. Hi vọng đợt này dùng mua trên shopee chất lượng cũng sẽ giống ở siêu thị .,,0,3,0,2.6985667e-09
17,homily.shop,5,2021-11-17 12:24,,Đẹp lắm gói hàng cẩn thận mùi thơm nó giống y hệt lọ mk mua nó chung là mn nên mua,,0,3,0,4.0175946e-05
18,hatdinhduongngon_hatmacca_1986,5,2022-05-11 16:18,,Chưa dùng nên chưa biết hiệu quả nhưng mà giao hàng rất nhanh đóng gói cẩn thận cảm ơn shop dùng ok sẽ ủng hộ shop,,0,4,1,0.99999464
19,lientran_2602,5,2021-11-06 20:39,,"Gói hàng cẩn thận, đẹp, thơm xuất sắc,chưa dùng nên không biết hiệu quả thế nào.",,0,4,0,9.501347e-07
20,utxin_22,5,2023-03-12 08:27,,Hàng ok nhưng mình chưa dùng nên ko biết như thế nào :),"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,1,0.95255065
21,trucly_myphamchinhhang,5,2023-02-16 15:56,,"Công dụng: dưỡng da
Mùi hương: nhẹ
Dành cho da: thường
Hình ảnh chỉ mang tính chất nhận xu. Hàng chính hãng nên rất yên tâm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,0,2.9138418e-09
22,t*****h,5,2023-02-12 12:35,,"Đã dùng 1 hộp thấy ok, giá thành rẻ, dùng với cả gel trị thâm sáng lẫn tối thì có cải thiện nhưng chậm, với giá này mà đòi xài trắng nhanh mờ thâm nhanh thì hổng ổn đâu nhaa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,1,0.7303582
23,slr3t_pjez,5,2023-02-20 21:45,,tuyệt vời lắm ạ video quay cho có thôi ạaa mà sản phẩm ok chất lượng ạ tuyêtb cua mèo,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,0.66294044
