,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,hunhtrn001,5,2022-05-12 20:20,,"Công dụng: làm mịn da giúp da trắnng sáng
Hiệu quả dưỡng ẩm: dưỡng da tốt
Khả năng thẩm thấu: nhanh",,5,1,0,2.5331548e-09
1,l*****e,5,2022-08-08 00:10,,"Công dụng: TRắng da không rõ rệt
Mùi hương: bình thường
Dành cho da: khô. Da dầu không ổn. Không kìm dầu
Hiệu quả không rõ. Lên mụn liti. Không kiềm dầu. Dưỡng ẩm thì đc","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,1,0,1.3699804e-05
2,200camtien,5,2023-01-06 12:27,,Sản phẩm giống hình chưa sử dụng chưa biết  như thế nào .giao hàng hơi lâu nhé.  .  Bbjksnsnsnnz,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,0.26359564
3,t*****7,5,2022-05-02 19:56,,"Công dụng: Dưỡng trắng da mặt
Hiệu quả dưỡng ẩm: chưa rõ
Khả năng thẩm thấu: chưa rõ
Mùi nhẹ nhàng
Lần đầu dùng nên chưa rõ công dụng nhưng tin vào thương hiệu của hãng
Giao hàng nhanh",,4,1,0,2.069867e-05
4,n*****7,5,2022-09-13 19:52,,"Công dụng: dưỡng ẩm dưỡng trắng
Mùi hương: dịu nhẹ
Shop đóng gói hàng nhanh chóng, cẩn thận. Mới mua dùng thử chưa biết hiệu quả hy vọng dùng ổn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",1,1,0,1.1258632e-10
5,linhlinggggg,5,2022-06-05 22:15,,"Đặt hàng giùm bạn nên cũng không biết như nào, nhma thấy bạn ấy dùng hiệu quả lắm , giao hàng nhanh chất lượng. Nên mua nhé🥰",,1,1,0,0.057540067
6,thanhm446,5,2022-09-20 20:25,,"Mùi hương: mua hộ nên kh biết
Dành cho da: mua hộ nên kh biết
Công dụng: dưỡng da hay s á
Mua hộ nên k biết, hình ảnh vd mang tính chất nhận xu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,2,0,2.027172e-12
7,g*****7,5,2022-09-30 10:30,,"Mùi hương: thơm dịu
Giao hàng nhanh , giao đủ hàng . 
Chưa dùng nên chưa đánh giá được 
Video chỉ để nhận xu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé.",0,2,0,0.016219122
8,n*****7,5,2022-06-10 21:34,,"Công dụng: trên hộp sp ghi trắng da dưỡng ẩm
Mùi hương: mùi không gắt, nhẹ với kết cấu mỏng nhẹ trên da
Dành cho da: mướt và thấm vào da khá nhanh, không bết dính tựa kem cấp ẩm của hadalabo
Kết cấu nhẹ giống dưỡng ẩm, cần có thời gian sử dụng",,0,2,0,1.9483829e-05
9,n*****n,5,2023-04-01 21:18,,"Hương thơm: chưa biết
Kinh nghiệm sử dụng: chưa
Lợi ích: dưỡng da
Sp đúng mẫu, an tâm hơn khi mua cửa hàng chính hãng. Nhưng chưa dùng nên chưa đgia sp được.",,0,2,0,3.5868034e-12
10,a*****l,5,2023-03-26 00:27,,Sản phẩm tạm ổn. Ko có ảnh nên lấy tạm video ko liên quan. Mới dùng nên ko biết ổn hay ko. Đóng gói cẩn thận. Giao nhanh,,0,2,0,1.401146e-10
11,a*****1,5,2023-02-21 20:32,,"Mới dùng nên chưa thấy hiệu quả lắm, lâu dài không biết thế nào","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,1,0.9999757
12,congchua2006,5,2023-01-27 09:57,,"Sản phẩm giao siêu nhanh lun í ,được nhiều ưu đãi khi mua ,giá hạt dẻ nữa ,đóng gói chắc chắn ,chất lượng thì mình sẽ đánh giá sau mà tết shop giao nhanh như thế này thì chấm  💯 điểm luôn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,3,0,9.324724e-05
