,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,n*****6,5,2023-03-27 19:15,,"Kinh nghiệm sử dụng: dùng ok nha
Mẹo: bôi vào vùng da đang bị ngứa
Làm đẹp: ok
thấy dùng cũng ok nhưng shop giao hàng lâu quá",,2,1,0,5.5294613e-08
1,o*****h,5,2023-02-12 12:54,,"Công dụng: tri mun trứng cá
Mùi hương: thơm
Dành cho da: tất cả các loại ra
Sản phẩm rất tốt  mùi thơm bôi lên ta hết mụn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",3,1,0,5.2085043e-06
2,h.changg_005,5,2023-02-14 14:26,,"Công dụng: không thấy có hiệu quả,dùng song mặt lên mụn,chắc kh jopwj mí mình
Mùi hương: thơm
Dành cho da: không biết","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",1,1,0,0.6447684
3,ntnhi0609,5,2023-01-04 05:18,,"Công dụng: trị mụn, thâm
Mùi hương: khá nhẹ
Dành cho da: mụn
mình kh nghĩ giá này mà có sản phẩm tốt thế ạ, dùng 1 tuần là thấy khác 1 cách rõ rệt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",6,1,0,6.258833e-08
4,minhnguyt455,5,2023-01-18 19:12,,"Công dụng: wui do
Hoa hậu Thuỳ Tiên đính chính về loạt ảnh bị chụp lén đang mang đồ bộ đi chợ hoa: ""Tui đi bán hoa tết chứ không đi mua :))"" 

Via Kinglive","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1,0,0.01184685
5,t*****e,5,2022-11-24 11:55,,"Công dụng: hỗ trợ trị mụn
Mùi hương: chưa thử
Dành cho da: dầu
Giao hàng nhanh, lần đầu mua nhưng là shop mall nên yên tâm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",8,1,0,2.539557e-07
6,nguyenthinh688,5,2022-12-19 18:22,,Bạn đủ điều kiện để mua dịch vụ hỗ trợ kỹ thuật qua điện thoại từ Chuyên gia tư vấn của Apple.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",3,2,0,1.6913171e-10
7,n*****3,5,2022-07-10 13:22,,"Formula của sp đã thay đổi theo hướng tốt hơn nè, k tạo màng như hồi xưa, thiết kế cũng ok hiệu quả mình thấy ổn mà k mạnh bằng các tuýp có active mạnh khác thui nhưng giá 42k thì rất ổn vs tầm giá r","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",5,2,0,0.0044165435
8,thydungv936,5,2022-07-02 16:38,,Ghé Sun house tìm những món đồ rẻ mà xinh .Có nhận pass đồ hộ để các bạn dọn tủ quần áo mua đồ mới nè,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",4,2,0,3.17898e-06
9,bithcmt660,5,2022-11-30 20:08,,"Công dụng: giảm mụn
Mùi hương: thơm
Dành cho da: dầu
Tuyệt vời","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,1.9812112e-11
