,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,amdhdjeje7474,5,2022-06-12 11:09,,"Công dụng: trị mụn đầu đen
Mùi hương: thơm
Dành cho da: .
Giao hàng nhanh còn có hết sạch mụn chưa sài chưa biết , nhiều người sài hiệu quả đã chỉ mình mua mùi sữa thơm nhẹ vì mua đợt sale chỉ có 57k thì quá oke /hình ảnh mang tính chất nhận xu vd mang tính chất hóng drm",,1,1,0,0.0015033738
1,hongnga_02,5,2021-08-21 12:13,,"Sản phẩm dùng rất tốt nha Mn, giao cũng nhanh, đóng gói chắc chắn 
Sản phẩm về đến tay mà k bị móp méo j hết nha",,0,1,0,0.67828715
2,y*****w,5,2022-06-20 04:37,,"Công dụng: rửa mặt
Mùi hương: thơm
Dành cho da: dầu
Sản phẩm tốt chất lượng
Hình ảnh mang tính chất nhận xu 
Sẽ ủng hộ lần sau",,0,1,0,0.000108496606
3,dinhdiem1211,5,2022-06-19 14:49,,"Sp Ok 
Nhận đc hàng nhanh 
Srm bên trong khá lõng chưa Sài nên chưa biết nhưng mùi khá thơm",,0,1,0,0.00775123
4,nguyenthithuha_anh.,5,2023-03-23 16:20,,"Packaging: đúng sản phẩm
Usage Experience: xanh
Benefits: da mụn đầu đen
Mới dùng một thời gian, không dám rửa mặt nhiều vì sợ ph cao, khô da . Dùng xem có hết mụn đầu đen k",,0,1,0,0.014939442
5,4*****s,5,2021-10-24 16:27,,Đóng gói tốttttt sản phẩm công mớiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,0,1,1,0.9986419
6,n*****3,5,2021-12-02 15:33,,Đóng gói khá tốt nhưng mới sài lần đầu kh biết hiệu quả không nếu hiệu quả sẽ quay lại ủng hộ tiếp,,0,2,1,1.0
7,sanny203,5,2022-08-03 12:46,,"Công dụng: sáng da
Chất lượng tốt , nhưng tùy vào từng loại da hiệu quả hay ko","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,0,7.30401e-13
8,uhb_8p_qps,5,2022-06-27 15:31,,Sp tốt đóng gói cẩn thận date dài tận 2025_ hàng ok chuẩn,,0,2,0,0.007645769
9,nhoczin2008,5,2022-09-30 12:44,,"Công dụng: làm sạch và trị mụn
Mùi hương: cũng ổn
Dành cho da: dầu mụn
Ổn mà này ko tạo bọt vs ko thấy mặt nạ đâu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",1,2,0,5.767084e-06
10,thao231295,5,2022-07-09 14:16,,"Giao hàng nhanh, đúng sản phẩm yêu cầu... Lần đầu dùng nên không biết tác dụng ổn áp không...","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,0.0007308609
11,m*****9,5,2023-03-27 14:59,,"Giao hàng nhanh đóng gói sản phẩm rất đẹp và chắc chắn 
Sản phẩm rất tốt",,0,2,1,0.9999356
12,trangphamhyvn,5,2023-03-27 12:04,,"Bao bì: mẫu mã đẹp, mới
Hương thơm: thơm
Kinh nghiệm sử dụng: cũng tôta
Hàng đẹp mới giao hàng hơi lâu mong dùng sẽ oki vì mình chưa dùng loại này bao giờ",,0,3,0,6.212085e-07
13,magic380,5,2023-03-27 19:47,,"Hương thơm: không mùi
Bao bì: Đẹp
Mẹo: Sài kết hợp cả hai sản phẩm
Giao hàng nhanh, đóng gói ổn",,0,3,0,4.104371e-05
14,phamvy121003,5,2023-02-16 20:09,,"Công dụng: đúng
Mùi hương: thơm
Dành cho da: mặt
Mua lần 2 gòi nói chung là ưng nha! Mọi người nên mua nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,1,0.99600667
15,summermy,5,2023-02-03 18:45,,Dùng chưa lâu lắm và thấy hiệu quả cũng không rõ lắm ummm không biết nưaaaaaa,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,1,0.9987991
16,n*****1,5,2022-12-14 17:59,,"Săn sale giá rẻ hơn mua ngoài, còn được tặng nhiều đồ chất lượng.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,1,0.94216275
17,s*****n,5,2022-03-12 10:51,,"Công dụng: Rửa mặt sạch sa
Mùi hương: Dịu nhẹ
Kết cấu: kem
Mua lần thứ n rồi ạ. Bác sĩ da liễu kê đơn kêu dùng
Xài từ hồi mụn dày mặt cho đến khi sạch mụn thâm giảm 80% mà vẫn xài. Quá ưng mà lần này mua được giá rẻ",,0,3,0,2.5090638e-09
18,manhatue,5,2022-04-13 23:09,,Đã nhận hàng giao rất nhanh đóng gói kỹ nói chung là ok đó cón sp thì tùy da mỗi người ạ,,0,4,0,2.230393e-06
19,rabbit_nee,5,2022-10-19 12:21,,Đánh giá mang tính chất nhận xu!! Sản phẩm ok đóng gói cẩn thận ❤️,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,4,0,0.0018319321
20,thao9297,5,2022-11-02 11:15,,"Công dụng: rửa mặt
Mua lần thứ 2 sản phẩm của shop rồi, rất yên tâm. Đợt trc mua cũng có quà tặng nữa, giao hàng nhanh, đóng gói cẩn thận.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,4,0,0.39952102
21,b*****1,5,2022-06-08 17:39,,Ban đầu tưởng tuýp nhỏ mà ai dè to đùng luôn. Mua chính hãng mall thì k sợ bị lầm. Giao hàng siêu nhanh .,,0,4,0,1.916974e-10
22,t*****1,5,2021-10-07 11:05,,"Thực sự là hàng thì về nhanh mà dùng sau lần thứ 2 thì bị rất ngứa mặt ,các b nếu bị như vậy nên ngưng dùng ngay nha đừng để như mình:((",,0,4,0,0.19484447
23,uyennguyen1872,5,2022-06-29 00:38,,"Công dụng: sỬa rửa mặt
Mùi hương: thơm dễ chịu và đặc trưng
Dành cho da: dầu mụn
Sd da dầu hợp. chứ loại da khác hơi bị khô nhen",,0,4,0,2.5506448e-11
24,ruby_anh,5,2022-05-06 09:22,,"Công dụng: rửa mặt
Mùi hương: thơm
Phù hợp với làn da: dầu
Đã nhận được hàng
Hàng giao nhanh
Sản phẩm như ảnh
Thông tin như mô tả
Phù hợp giá tiền
Dùng ổn
Sẽ tiếp tục ủng hộ",,0,5,1,0.9942695
25,chillies_,5,2022-06-20 15:53,,"Với đồng tiền, chúng ta không khinh cũng không trọng. Nên trả nó về vị trí là “phương tiện trao đổi hàng hóa”.",,0,5,0,5.6438794e-06
26,vang9999pnj,5,2021-12-07 13:14,,Nhận hàng rất nhanh. Mình chưa sử dụng nên chưa đánh giá được gì. Shop gói hàng cẩn thận,,0,5,0,0.25206715
27,bao_hong,5,2021-11-14 12:09,,"Thâyw có hỗ trợ trị mụn đầu đen nên mua thử, mà ngửi thử mùi nồng nhức đầu qua đi hicc😖🤧",,0,5,0,0.064729095
28,khanhcbn2,5,2021-08-19 10:04,,"Giao hàng rất là nhanh luôn
Đáng tiền mua
Chưa sủa dụng nên chưa bít chất lượng ra sao",,0,5,0,6.923985e-08
29,nhuocsacvi5586,5,2022-11-14 11:58,,"Công dụng: làm sạch da, trị mụn
Mùi hương: bình thường
Dành cho da: dầu
Giao hàng nhanh, đóng gói kỹ, gương tặng dễ thương lắm :3","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,5,0,1.8901566e-11
30,tiennt2212,5,2022-07-16 16:18,,"Công dụng: rửa mặt
Mùi hương: thơm
Dành cho da: mọi loại da
Mình đã dùng sp này nhiều năm. Nhưng lâu lắm rồi không mua qua spee mall. Mua về rất ưng ý.","
Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.
",0,6,0,1.0363719e-12
31,t*****6,5,2021-10-09 10:40,,"Đặt hàng ngày 4 ngày 9 giao hàng, hơi lâu tí nhưng do dịch cũng tạm chấp nhận. Đặt hàng mall nên yên tâm. Không biết có hiệu quả không.",,0,6,1,0.9213932
32,lethihieu8031993,5,2022-04-23 12:39,,"Công dụng: sỬa rửa mặt trị mụn
Mùi hương: hơi nồng
Phù hợp với làn da: mọi loại da
Giao hàng nhanh, chưa sử dụng nên chưa biết sẽ đáng giá sau",,0,6,1,0.9330993
33,l*****5,5,2022-07-15 01:24,,"Đóng gói cẩn thận chắc chắn, giao hàng nhanh. Sản phẩm giống mô tả","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,6,1,0.9962054
