,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,drr_23,5,2023-03-27 13:08,,"Bao bì: đẹp
Lợi ích: không bt
Kinh nghiệm sử dụng: chưa có
Shop khá uy tín nha mọi người. Ship nhanh cực",,0,1,0,6.6907505e-06
1,dungdanger,5,2023-01-14 19:53,,"Mùi hương: ok
Rất chất lượng nha ae , thử nhiều loại rồi nhưng da dầu như mình rất hợp loại này , nên mua nhé ae","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",1,1,0,6.3184116e-06
2,tjdskznka,5,2022-09-10 12:10,,"Công dụng: rửa mặt cho nam
Dành cho da: dầu
Mình mua cho ny nên cũng k biết như thế nào, thấy đóng gói cẩn thận và giao hàng nhanh là ưng rùi ạ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",4,1,0,1.7588374e-12
3,giangphucgv,5,2022-08-17 12:48,,giao hàng nhanh. đóng gói cẩn thận. sản phẩm chất lượng đúng như mô tả,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,0.0002912201
4,sp6lofatf9,5,2022-08-10 16:38,,Giao hàng nhanh mặc dù trời mưa . Mua tặng nên k biết dùng sẽ thế nào .nên mua ......,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",2,1,0,5.923782e-06
5,tranthiden8033,5,2022-09-15 12:52,,Đóng gói kĩ giao hàng nhanh siêu nhanh. Mua tặng nên không biết mùi hương hay tâc dụng như nào. Nếu sp ok sẽ ủng hộ tiếp,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",2,1,1,0.9999962
6,19hunghanguyn,5,2023-04-03 11:04,,Ăn đi chơi với nhau thì cũng phải biết cách làm ăn của họ là những người yêu thích công nghệ thì phải có cái gì cũng nên có cái gì cũng nên có cái gì cũng,,0,2,0,1.04823904e-07
7,buihuongly0110,5,2022-06-06 10:40,,Dùng thích lắm không bị kích ứng da có các hạt matxa lên thích lắm đóng gói kỹ giao hàng nhanh,,2,2,0,6.2039214e-07
8,toanhp1103,5,2022-08-08 15:14,,"Dành cho da: đjhdhhndkdkdkfjbfhfbfbfbfbfbdbfbfbfbfbfbffbbf
Shshshsh","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,0.6272053
9,hcq2608131189,5,2022-08-10 12:53,,"Dành cho da: sản phẩm rất đẹp và chắc chắn
Rất đáng đồng tiền sản phẩm đẹp và chắc chắn thời gian giao hàng nhanh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,0,3.954612e-05
10,mrkoi86,5,2023-03-31 11:42,,Đã nhận được hàng. Đóng gói cẩn thận. Hình ảnh mang tính chất minh hoạ. Đã dùng sản phẩm và thấy ổn.,,0,2,0,2.8026514e-10
11,nguyenminhsatthu,5,2022-07-10 23:26,,"Công dụng: lÀm sạch da
Mùi hương: thơm mát
Dành cho da: da dầu
Giao đầy đủ 3sp, đóng gói chung vs dao cậu râu, chưa xài chưa đánh giá, nếu tốt thì sẽ mua thêm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,5.3632006e-09
12,tdmart,5,2022-07-18 19:39,,"Sản phẩm chất lượng
Túi quà tặng nom hơi phà ke, thôi thì của ít lòng nhiều vậy 🤣","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,1.6353436e-06
13,b*****c,5,2022-08-02 18:23,,"Công dụng: tốt
Mùi hương: dễ chịu
Dành cho da: phù hợp với nhiều loại da
Đóng gói hơi sơ sài. Chất lượng chấp nhận được.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",1,3,0,9.395726e-12
14,htgio,5,2022-06-10 11:39,,K đc mát như mình mua ngoài siêu thị k biết phải chuẩn hay k dùng tạm cũng đc,,0,3,0,1.0356656e-10
15,8riovua4m6,5,2022-08-20 11:55,,"Công dụng: làm sạch sâu
Mùi hương: kh biec luon
Dành cho da: khỏe
Tốt nhr nhe dùng","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,2.1236346e-07
16,loanm2m,5,2023-04-04 22:40,,Hang dung ok chat luong đi đôi với sp hang đóng giij dep nhanh ok,,0,3,0,2.7160188e-10
17,n*****9,5,2023-04-06 13:50,,"Hương thơm: dep
Làm đẹp: dep
Lợi ích: dep
sản phẩm đẹp thơm dễ dùng sẽ quay lại ủng hộ shop trong thơig gian tới",,0,3,1,0.9923787
18,d*****e,5,2023-03-29 15:18,,Shop ơi là trời sinh ra và lớn lên trong khi đó thì cũng phải biết cách làm ăn của họ là những người yêu thích công nghệ thì phải,,0,4,0,6.5876493e-06
19,sinhaki,5,2023-03-29 13:05,,"Bao bì: chai nhựa
Làm đẹp: rửa mặt.
Mẹo: làm ướt da mặt cho kem vào lòng bàn tay tạo bọt. và xoa đều lên mặt matsxa nhẹ nhàng và rửa lại bằng nước.
Sạch.mát. Dùng  để rửa mặt sạch dễ chịu. Ko bị nhờn. Cảm thấy thoải mái",,0,4,0,1.5159035e-08
20,phcmaing537,5,2023-03-27 12:12,,Giao hàng rất nhanh. Khâu đóng gói hơi cẩu thả một chút. Mong shop cần thêm hộp khi đóng gói để vận chuyển cho khách.,,0,4,1,0.99999964
21,20xof4a6mx,5,2023-03-23 19:11,,"Sản phẩm đúng với mô tả, giao hàng nhanh, chưa sử dụng nên chưa đánh giá chất lượng.",,0,4,0,0.0024184035
22,t*****n,5,2023-03-11 14:08,,"Nói chung cũng nhiều bọt, dùng ổn  nói chung là mua cho anh  nhà chứ mình nào được dùng. Mọi người cứ yên tâm mua nhé","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,0.2659295
23,nnvanthu,5,2023-02-25 10:09,,"Công dụng: rua mat
Mùi hương: vừa
Dành cho da: mọi loại da
Mua cho ông xã xài nhưng cả nhà cùng xài luôn. Rửa xong mặt mát dịu, sạch mịn rất thích.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,0,3.4731363e-07
24,chaunguyennhuquynh,5,2023-02-22 18:47,,"giao hàng nhanh, mùi dễ chịu, giá hợp lý, phù hợp mọi loại da ..","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,5,0,4.250832e-08
25,upasaranghea,5,2023-02-17 15:00,,"Công dụng: rửa mặt
Mùi hương: thơm nhẹ
Dành cho da: đen cho da thường xanh cho da mụn
Gói hàng khá là sơ sài nha",Rohto Mentholatum Việt Nam xin chào bạn ạ Rohto rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Việt Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ bạn.,0,5,0,8.249868e-06
26,diendang01,5,2023-02-10 09:26,,Chất lượng sản phẩm rất tốt. Hình ảnh mang tính chất nhận xu..,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,5,0,3.6256553e-10
27,tanphungvan867,5,2023-02-15 00:08,,Hahaha auhab kậy ínag akgab úagg aubgsvs tahwj ủa r ân ái có thể đc thì tối ưu hóa cho,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,5,0,0.00038676683
28,superhackerboy2908,5,2023-02-04 16:36,,"Đây là lần mua thứ 4 rồi, nên rất yên tâm khi sử dụng. Độ nhờn giảm hẳn. Nhưng lần này đóng gói hơi mất thẩm mĩ",Rohto Mentholatum Việt Nam xin chào bạn ạ Rohto rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Việt Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ bạn.,0,5,1,0.9999194
29,queessa,5,2022-12-24 09:41,,"Công dụng: rửa mặt
Mùi hương: không biết
Dành cho da: không biết luôn
hàng giống mô ta mua cho ck ko biết chất lượng sao, mẫu mã giống hình","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,5,0,9.1727696e-07
30,khutthm,5,2022-12-16 06:27,,"Công dụng: rửa mặt
Sản phẩm OK lắm ạ
E mua cho thằng em trai thấy nó bảo rửa thích và mát 
Shop đóng gói hơi sơ Sài tí
Ship giao hàng nhanh và nhiệt tình
Shop cx rất thân thiện trc khi giao hàng đã gửi tin nhắn cho e trc 30 phút để e biết đường ở nhà lấy hàng đó là điều e thích nhất ở shop","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,6,0,0.045232363
31,niw7vlabmn,5,2023-01-13 18:22,,"Công dụng: làm sạch da mặt , mụn, thâm, nhờn
Mùi hương: thơm, dễ chịu , mát lạnh
Dành cho da: tất cả loại da đều dùng dc","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,6,0,1.1391143e-07
32,dyrfrpa9y5,5,2023-01-05 12:13,,Ok lắm ạ tuyệt vời yêu shop nhiều huhuuhuuu cảm one shopppp nhiều lắm hàng chấy lương phù goep giá tiền đoen vị vận chuyển giao hàng nhanh giao sơmms shipper thân thiện,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,6,0,0.34292746
