,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,manhtien7,5,2022-11-22 11:45,,"Công dụng: giảm mụn
Mùi hương: thơm dịu
Dành cho da: mụn
Cũng đỡ mụn, mùi thơm, giá rẻ, xài được lâu, nên thử và trải nghiệm.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",3,1,0,2.5600627e-10
1,d*****5,5,2022-04-07 22:34,,"Công dụng: rửa hết dầu nha
Mùi hương: giống nc chanh muối
Phù hợp với loại da: dầu
Rửa xong thấy hết dầu nhưng cảm giác hơi khô da nhưng cx thích lắm, vs 1 lượng nhỏ thì có thể rửa sạch mặt rồi sẽ ủng hộ shop 👍👍👍👍👍👍👍👍👍👍👍",,4,1,1,1.0
2,m*****3,5,2022-03-28 12:22,,"Công dụng: Sạch sâu
Mùi hương: thơm nhẹ
Kết cấu: ổn định
Giao hàng nhanh đóng gõi kĩ càng. Giá phải chăng, chưa xài nên chưa biết ổn vs da mặt ko.",,3,1,0,0.029252117
3,cutin22072016,5,2022-11-09 12:17,,Giao hàng hơi lâu chút. Hộp bên ngoài ghi hàng dễ vỡ mà bị móp méo hết cũng may bên trong không sao,Rohto Mentholatum Việt Nam xin chào bạn ạ Rohto rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Việt Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ bạn.,0,1,0,8.3271335e-13
4,thu171193,5,2023-02-07 10:29,,"Mùi nhẹ, hiệu quả giảm mụn rõ rệt! 
Da trắng, kiềm dầu tốt! 
Giá tốt , chất lượng!
Kem bôi lên không bết , rít, mau khô.
Sửa rửa mặt kg gây khô da, rửa xong kg có cảm giác quá sạch vì da dầu nếu sạch quá sẽ gây viêm da mụn đỏ. Sữa rửa mặt loại bỏ bui bẩn , dầu nhờn nhưng da vẫn mềm mịn sức thêm kem nửa là mát lắm!","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,1.65408e-10
5,quanghuy1109,5,2022-12-12 22:10,,Matwj hàng phù hợp tsui tiền trong tầm giá. Giao hàng nhanh gọn,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,1,0,0.04996966
6,hiennntran,5,2022-10-14 11:34,,"Công dụng: chưa sài chưa biết
Mùi hương: dịu nhẹ
Dành cho da: dầu
Mình nghĩ mọi người nên sài thử một lần acnes có nhiều người chưa thử nghe review là không dám sử dụng. Hàng rất tốt da dầu mụn nên sử dụng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",4,2,0,1.0559381e-12
7,hanglovetuananh,5,2021-09-13 08:39,,Bọc hàng cẩn thận chắc chắn. Date dài tận 2024 lận. Ship khá nhanh mặc dù dịch. Sẽ còn ủng hộ thêm nữa nhé 🥰,,1,2,1,0.989675
8,doilytutrong,5,2021-09-25 12:15,,Shop gói hàng cẩn thận. Tư vấn nhiệt tình. Sẽ ủng hộ shop nhiều. Cảm mơn ạ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,2,2,1,1.0
9,g9ueyg1sjg,5,2021-10-07 14:50,,Thích nhất sài cái chống muỗi remos mùi dễ chịu hiện quả chống muỗi khá ok lun,,1,2,0,0.00010865751
10,y6ewmsz_rw,5,2022-03-29 07:50,,"Giao hàng nhanh lắm, hàng dùng tốt nữa
Mua vài lần rồi vẫn thích lắm",,0,2,1,0.9998512
11,thanh.loi_1901,5,2022-09-22 20:37,,"Công dụng: da chó mặt dày của anh nhà tui
Mùi hương: mùi náck thăm thúi của a ni tuii
Dành cho da: da chó
Lên đây đánh giá lấy xu dùm anh ni óc chó 🥰","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,1.0543851e-07
12,chieuanhratdethuong,5,2023-04-06 11:28,,"Hương thơm: bthuong
Lợi ích: mụn
lần đầu mua nên hôk bt nói sao nm gói hàng hơi ẩu , srm rẻ",,0,3,0,1.0255163e-11
13,ketamin16,5,2023-02-21 22:26,,Sản phẩm chưa sử dụng mong kết quả cao đóng gói sang trọng ship nhanh chóng.,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,1,0.7159234
