,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,duc1412cold,5,2023-03-14 10:43,,"Công dụng: chưa biết
Mùi hương: tuyệt
Chưa dùng thử nhưng cứ đánh giá trc đã","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,1,0,1.2851105e-08
1,thuyduongtranthi13092004,5,2023-02-06 13:25,,"Sản phẩm ngon , bổ , rẻ, dùng đc nên mới mua, không dùng được thì mua làm gì","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,3.7749778e-10
2,caodat2707,5,2022-12-15 14:22,,"Công dụng: giảm mụn sau 7 ngày
Mùi hương: trà xanh, thơm nhẹ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",1,1,0,2.6160319e-11
3,thanh2911000,5,2022-11-14 10:46,,"Công dụng: rửa mặt ngừa mụn
Mùi hương: thơm
Sản phẩm dùng tốt, vừa giá tiền,thêm tí chữ nhận xu.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,1,0,4.151691e-06
4,manhtien7,5,2022-09-20 22:19,,"Công dụng: giảm mụn
Mùi hương: thơm mát
Sửa rửa mặt oxy thì dành riêng cho nam giới r, ae muốn đẹp trai thì mua về và sử dụng thôi nha .","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,1,0,1.1488915e-08
5,hngdim806,5,2022-05-31 00:22,,"Công dụng: sửa rửa mặt
Mùi hương: chưa biết
Nhìn ưng ý đóng gói cũng rất oke la nên mua nha",,0,1,0,5.0879574e-12
6,q*****1,5,2022-05-29 08:00,,"Giao nhanh, sử dụng khá dễ chịu , sau 1 ngày sử dụng thì mụn nhỏ đỡ hơn hẵn",,0,2,0,0.31843656
7,d*****6,5,2023-02-12 12:20,,"Công dụng: chua dungf bao h
Đóng hàng nhanh sp sử dụng khá ok có thêm cấp ẩm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,5.6493626e-11
8,n*****6,5,2023-03-27 19:17,,"Mẹo: cái này dùng mát
Bao bì: rõ ràng
Làm đẹp: ok
sản phẩm dùng ok nha.nhưng giao hàng lâu quá",,2,2,0,0.0050180587
9,berrie_store,5,2022-11-22 11:21,,"Công dụng: ok
Mùi hương: ok
Chào các bạn, mình cho thuê sách truyện tại HN. Sách đa dạng cho gia đình và thiếu nhi, kỹ năng... Bạn cũng có thể mang sách cũ đến trao đổi sách với mình.
Mình ở 23/70 Đức Diễn, Bắc Từ Liêm, Hà Nội
#Chothuesach
#Sachthieunhi
#Sachcugiare","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,2,0,0.0017383519
