,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,buitoan497,5,2023-02-06 19:18,,"Công dụng: 5 sao sach se
Đúng hàng mail có khác dùng chuẩn lắm mn ạnJsbdjdjendjcjsnwbdjcjsbw","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,2.5041463e-06
1,tuanvudkzx,5,2022-08-28 14:10,,"Mã giảm giá Shopee của ngày mai sẽ được tiết lộ trước vào khoảng từ 22h30 – 23h30 tối nay.
⚠️Nếu bạn muốn xem Mã Săn + Deal Hot theo các khung giờ 0H, 9H, 12H, 15H, 18H, 21H hôm nay thì kéo xuống phía dưới nhé!","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,1,0,2.1106243e-05
2,louis_van87,5,2022-07-12 17:03,,"Sản phẩm chất lượng , shop giao hàng nhanh , đóng gói tốt chất lượng 5 sao","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1,1,0.94025826
3,chipxd,5,2022-08-14 07:14,,"Giao hàng nhanh,đóng gói sản phẩm chất lượng,sẽ ủng hộ shop tiếp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,1.0
4,39r4uv970e,5,2022-04-16 12:23,,"Chưa sử dụng nên chưa đánh giá được đóng gói ok, giao hàng nhanh.",,0,1,0,0.012451998
5,youyouyou1710,5,2022-08-13 05:56,,"Công dụng: sạch mặt
Mùi hương: thơm nhẹ
Hàng chuẩn. Vận chuyển nhanh. Gói hàng cẩn thận. Mn nên mua nhé. Vì là hàng chuẩn nên t hình ảnh toi khỏi chụp nha.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,1.8229766e-05
6,minhtung0910,5,2022-10-11 21:35,,"Công dụng: sạch sâu
Oke dùng hợp lí mát thơm phê vl , dùng oke mọi người nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,2.7850341e-10
7,hongduyen2508,5,2022-09-17 14:50,,Sản phẩm của hãng này xài k có gì phải ý kiến cả. Cảm giác mát mà sạch da mặt lắm nên mình hay mua cho ny và em trai xài thôi,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé.",8,2,0,3.717251e-06
8,vanvan.skinaz,5,2022-12-21 07:23,,"Mùi hương: hình ảnh mang tính chất nhận xu. sữa rửa mặt rất sạch nhé m.n mát lạnh luôn. nên mua nhé m.n
Sữa rửa mặt rất tốt, rất sạch. Thơm mát lạnh luôn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,1.9796651e-05
9,thngthng379,5,2022-06-26 14:26,,"Hàng rất ok mát cực luonnnnnnnnn 
Mua điiii nhé mọi người ơiii",,0,2,1,0.997166
