,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,0m_0b5kq3x,5,2023-03-31 10:47,,"Kinh nghiệm sử dụng: Chưa dùng
Lợi ích: Tút trắng
Bao bì: Đúng mô tả
Đúng mô tả. Mùi dễ  chịu. Dùng xong sẽ đánh giá thêm",,0,1,0,2.7479944e-05
1,n*****c,5,2022-03-16 16:39,,"Công dụng: dùng tốt
Mùi hương: nhẹ nhàng
Kết cấu: kem mịn bọt nhiều
Sản phẩm đoang gói đơn giản có 1 mảnh nylon bóng chống va (không có nhiều tác dụng)
Mong sản phẩm từ hãng vì đây là gian hàng mall",,1,1,1,0.9937896
2,doanthanhhoangdn,5,2022-10-13 10:03,,"Công dụng: tốt
Mùi hương: thơm
Dành cho da: nhờn
đóng gói chuẩn shoppe đánh giá 5 sao!

#CSM
Ét ô ét: Giải cứu Kobeni khỏi tổng thống Power 🥹 
Kobeni đang coi phim mà sau đó ra ngoài đi vệ sinh hay gì á thì tổng thống xuất hiện rồi chiếm chỗ của Kobeni luôn. Dạ ngài tổng thống là nhất, dân đen thấp cổ bé họng đành chịu thiệt mất chỗ vậy ạ 😔","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,1,1,0.9999995
3,khacycy,5,2022-07-23 08:58,,"Công dụng: igj
Mùi hương: ivgbno
Dành cho da: vyvy
H thôi mà đã thử cái này là do người đăng ký đầu tư vấn đề này nè các bạn trẻ yêu thích nhất là khi nào có nhu cầu của khách hàng ko shop ơi cho mình một cách nhanh chóng mặt m đó là","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",3,1,0,3.9931045e-08
4,monkey_store030892,5,2022-10-12 21:59,,"Công dụng: làm sạch da
Mùi hương: Thơm dịu
Dành cho da: cho tất cả loại da
Giao đủ hàng, chưa sd nên chưa đánh giá được,","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,3.3900409e-12
5,cuong_2104le,5,2022-08-22 18:22,,[TB] TẶNG 50% GIÁ TRỊ CHO LẦN NẠP TIỀN ĐẦU TIÊN VÀO CHỦ NHẬT ngày 21/08/2022. CT áp dụng với thuê bao nạp tiền vào tài khoản viễn thông qua tài khoản ngân hàng hoặc ví điện tử liên kết trên ứng dụng MY VIETTEL. Tiền khuyến mại sử dụng nội mạng trong 15 ngày. Giảm thêm 3% khi nạp tiền tại https://myv,"Rohto xin chào bạn ạ, Rohto rất vui khi nhận được phản hồi tích cực từ bạn dành cho Rohto Mentholatum Việt Nam. Mong bạn sẽ luôn ủng hộ Rohto ạ! Cảm ơn bạn.",0,1,0,0.0010670938
6,gumballs987,5,2022-09-30 19:08,,"Công dụng: rửa mặt
Mùi hương: hơi bạc hà
Dành cho da: khô,da hỗn hợp thiên khô
rửa xong thấy da mặt sạch,đồng thời quá trình dùng cũng tương đối mát(hình ảnh chỉ mang tính chất nhận xu)","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,4.6999653e-09
7,trinhthithanh93,5,2023-01-06 06:40,,"Công dụng: làm sạch
Mùi hương: ko mùi
Dành cho da: Mọi loại da
Đã nhận hàng 
Giao siêu nhanh 
Săn sale lên rẻ quá trời 
Chưa dùng nên chưa biết nếu ok sẽ tiếp tục ủng hộ shop","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,2,0,3.5198497e-09
8,zedzoker,5,2022-11-11 15:06,,"Công dụng: Tắm
Mùi hương: Thơm
Dành cho da: Thường
Giao hàng khá nhanh, bao bì ổn. Giá phải chăng, hương thơm ba mình rất thích. Có tặng kèm kem rửa mặt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,1.736292e-12
9,mobanghia123cl,5,2022-07-26 06:49,,"Đóng góp cẩn thận, giao nhanh
Chưa sài nên không biết chất lượng như nào (dùng 1 tg sẽ đánh giá lại)
Tạm để 5* cho shop","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.

",0,2,0,1.3364428e-13
