,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,hoangkieunhat2,5,2022-12-12 22:24,,"Cũng gọi là 1 chút giao hàng nhanh, chất lượng thì gọi là 1 chút chưa biết vì mới dùng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,1,0,6.647951e-05
1,nhina105,5,2023-01-21 09:54,,"Công dụng: giảm mụn
Ko biết nói gì, nhiều bọt, cho lên mặt thật thích, ...","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,0.021230396
2,h*****8,5,2023-03-20 12:17,,"Đã nhận được hàng rồi, giao hàng nhanh chóng, rất chuyên nghiệp  sẽ xài thử xem chất lượng thế nào đã,  cảm ơn shoppe",,0,1,1,0.9997466
3,lediemquynh537,5,2023-02-18 23:11,,"Công dụng: rửa mặt
Mùi hương: thơm
Rất tốt, giao hàng nhanh, đóng gói cẩn thận, sản phẩm đúng với hình ảnh","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,7.655152e-07
4,nguyenthao2905,5,2022-12-31 01:10,,"Này mua giùm th e nên hong có quay lại được. Shop gói hàng tốt nhe, sp tới tay còn nguyên vẹn, coa được tặng giấy thấm dầu nữa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1,1,0.99821633
5,23hungbb,5,2022-12-21 21:08,,Tạm biệt giữa ch có ai ko biết thằng con nữa mà không cần phải đủ,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,0.031463318
6,thanhhuy.diyshop,5,2022-12-07 14:12,,Sữa rửa mặt làm sạch da. Shop đóng gói giao hàng nhanh. Số lượng đủ,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,1,0.801733
7,clayxyz,5,2023-06-01 13:27,,"Làm đẹp: đúng với mô tả
Mẹo: đúng với mô tả
Hương thơm: thoang thoảng
Hàng tốt giao nhanh sẽ quay trở lại",,0,2,1,0.8682318
8,e*****u,5,2023-05-29 12:30,,"Bao bì: đẹp
Mẹo: không có
Hương thơm: thơm mát
Sản phẩm chính hãng của công ty. Ưng ý,  đã mua nhiều lần và sẽ mua tiếp",,0,2,0,2.4296714e-08
9,k*****3,5,2023-05-17 22:29,,Giao hàng nhann. Xài thích lắm. Mua nhiều lần rồi. Thanks shop.,,1,2,0,0.37227958
10,v*****5,5,2023-05-16 20:43,,"Shop gửi hàng nhanh, đóng gói đơn cẩn thận. Sản phẩm giống hình, dùng tốt như quảng cáo, tôi sẽ recommend bạn bè đồng nghiệp vô để hốt.",,0,2,1,1.0
11,p*****8,5,2023-05-08 19:43,,"Hương thơm: tốt
Lợi ích: rửa mặt
Kinh nghiệm sử dụng: ok
OK. Đã nhận đủ hàng. Chất lượng ok lắm hợp giá tiền. Đúng mẫu đã chọn.  Tks shop",,0,2,0,1.5096023e-11
12,m*****n,5,2023-05-08 13:01,,Chất lượng okela nha. Đóng gói giao hàng nhanh. Hài lòng 5* nha,,0,3,0,0.004301832
13,nest240311,5,2023-04-16 16:02,,"Sp tốt, giao nhanh, hình ảnh và video để nhận xu, mn thông cảm.",,0,3,0,2.7823066e-09
14,manh200412345,5,2023-04-15 00:48,,"Chào mừng bạn đến với bảng nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây.",,0,3,0,1.2258234e-06
15,t*****a,5,2023-04-24 20:31,,"Hương thơm: chả có gì
Lợi ích: chả có gì
Kinh nghiệm sử dụng: chả có gì
Nói chung chả có gì để nhận xét cả. Vì là mua lần thứ 2 nên mọi người biết chất lượng như thế nào mà để mình phải mua lại.",,0,3,0,5.6844225e-08
16,t*****y,5,2023-04-12 11:10,,"Làm đẹp: ok
Mua lần 2 vẫn thấy ok ,shop giao nhanh ,hàng ok ,ổn trong tầm giá",,0,3,0,0.003628099
17,kang_min_hyuk,5,2023-03-21 18:20,,Giao hàng khá nhanh. Đóng gói hơi bị móp méo. Dùng tốt sẽ ủng hộ thêm.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,1,1.0
18,n*****h,5,2023-03-09 12:37,,"shop chuẩn bị và giao hàng cực kì nhanh. mình mua để chồng dùng, mới mua lần đầu nên chưa biết sản phẩm có hiệu quả không",,0,4,1,0.99822754
19,huynguyenvan19,5,2023-01-18 22:12,,Sản phẩm dùng tốt rửa mặt hết chất nhờn sẽ mua ủng hộ shop trong lần tới nhé shop,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,4,1,1.0
20,lynee04,5,2023-01-28 12:59,,"Tốt, thơm, sạch da, giá cả hợp lú, nên mua, giao hàng nhanh, tốt nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,8.4713655e-08
21,minhmayman1102,5,2023-01-11 10:03,,"Còn dùng perfect chưa dùng này, thấy idol Kiều Loan giới thiệu hay quá nên mua á 😅","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,4,0,0.4121064
22,t*****6,5,2023-02-08 20:04,,"Sao chiếu mệnh của nữ mạng Canh Thìn trong năm Quý Mão 2023 là sao La Hầu. Đây là hung tinh chuyên gây ra những vấn đề rắc rối liên quan đến các mối quan hệ xã hội. Do đó, nữ mệnh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,1,1.0
23,tunanh778,5,2023-01-28 11:20,,"Công dụng: Rửa mặt rất sạch và sử lý dc mụn đầu đen
Nhắc đến ngày Tết cổ truyền Việt Nam, chúng ta không thể không nhắc đến những chiếc bánh chưng xanh, những món ăn đặc trưng, những phong bao lì xì, những cành đào cành quất rực rỡ và đặc biệt nhất đó chính là những câu chúc Tết hay chào mừng năm mới của mọi người trao cho nhau.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,0.083935015
24,k*****1,5,2022-12-18 18:33,,Giá quá rẻ khi có voucher. Mua hàng còn được freeship và quà tặng kèm,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,5,0,4.222284e-07
25,rin25121992,5,2022-11-11 19:39,,Hàng bọc khá kỹ và cẩn thận. A shipper khá vui vẻ và đẹp trai 🥹🥹🥹,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,5,0,4.4195185e-06
26,m*****7,5,2023-05-16 06:58,,"Đơn hàng giao nhanh, san pham dung quang cao, chat luong tuyet voi",,0,5,0,1.8964555e-10
27,lnjgk5jm16,5,2023-02-06 13:50,,"Công dụng: ,giảm mụn nhanh chóng.lm sạch da mặt.lam da săn bong.
Mùi hương: Thơm nhẹ
San Pham này rat tốt .","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,5,0,2.2258926e-06
28,hac_miu,5,2023-05-16 05:46,,Tuyệt,,0,5,1,0.89499
30,longin90,5,2023-02-08 13:27,,Okokok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,6,0,0.28933644
31,hoangtuvip8x,5,2022-11-24 16:31,,Công dụng: ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,6,1,0.8284015
32,hingmaih,5,2022-12-25 09:55,,Được,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,6,0,5.1362324e-08
98,phanviethoang24,4,2022-11-25 20:17,,"Công dụng: rửa mặt
Mùi hương: không dễ chịu cho lắm
Không vỏ hộp không giấy hướng dẫn sử dụng không ngày sản xuất hạn sử dụng.
4* thôi",Rohto Mentholatum Việt Nam xin chào bạn ạ Rohto rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Việt Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ bạn ,0,1,,
101,21rf54y0fw,3,2023-02-11 12:14,,"Shop ơi sao cái của lọ sữa rửa mặt nó ko có hạt mát xa với lại rửa mặt ko thấy có tí độ mát nào, mà em dùng cái gói sữa rửa mặt cùng hình mà rửa lại mát lạnh có cả hạt mát xa, mà lọ của shop ko có là sao ạ",Rohto Mentholatum Việt Nam xin chào bạn ạ Rohto rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Việt Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ bạn.,0,1,,
102,quyen.damm,3,2022-12-13 17:40,,Hàng giao nhanh chóng. Xài ok. Sản phẩm phù hợp với giá tiền. Sẽ,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,,
103,khiemanh775,3,2022-12-31 13:16,,Giao hàng quá lâu,"Rohto Mentholatum Việt Nam xin chào bạn, rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Việt Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ quý khách..
",0,1,,
