,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,9z84gbzqu8,5,2023-04-01 21:59,,"Kinh nghiệm sử dụng: sản phẩm tốt.sài êm
Làm đẹp: tốt
Bao bì: đẹp
Sản phẩm chất lượng, vừa túi tiền.    Mmmmmmmmmmmmmmmmmm",,0,1,0,5.699302e-10
1,im2r1u1x0o,5,2022-10-08 11:04,,"Công dụng: jsjsjj
Mùi hương: bhwwhjw
Dành cho da: bhhh
K biết do mình sắp đến tháng hay do srm mà mình thấy lên mụn th để xài tutu biết mà cũng oke nhen giá rẻ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",5,1,0,0.006699756
2,m*****6,5,2022-04-07 18:22,,"Công dụng: làm sạch da
Mùi hương: dễ chịu
Phù hợp với loại da: da dầu da mụn da thâm
Giao hàng nhanh,đã dùng nên yên tâm chất lượng, lần sau sẽ ủng hộ shop tiếp nè. Sản phẩm được shop đóng gói cẩn thận và kỹ lưỡng. Rất hài lòng",,2,1,0,0.0058318577
3,x75ub3re6d,5,2022-07-18 16:28,,"Sản phẩm rất tốt nha m.n, rửa mặt thì căng bóng luôn, tốt, cho shop 5 sao","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,0.48325384
4,kirahoanganh,5,2022-07-25 12:44,,"Hơn. Ảnh mang tính chất nhận xu nha 
Nên mũ nha
Giá rẻ 
Rửa mặt khá sạch 
Thơm nhẹ nữa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",2,1,0,8.351919e-07
5,b*****1,5,2022-01-19 20:32,,"Đóng gói khá kĩ, cuốn bọc tùm lum, chai mới tinh sờ láng o, hạn còn dài....okela ạ",,2,1,0,7.984255e-10
6,x*****4,5,2023-03-31 11:45,,"Hương thơm: dịu nhẹ
Lợi ích: rửa mặt
xài được 2 tuần rồi thấy thấy trị thâm cũng tốt, rửa mặt xong ko bị khô da, phù hợp với mọi loại da.",,0,2,0,5.001563e-07
7,n*****3,5,2023-01-10 22:28,,"Công dụng: chua su dung nen k bit
Mùi hương: k có mùi gì hết
Dành cho da: ok
Sửa rửa mặt rất ít bọt cảm giác sao sao ak để dùng thêm thời gian nữa sẽ quay lại đánh giá sp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,2,0,0.00082156825
8,n*****n,5,2022-05-07 16:40,,"Công dụng: rửa mặt
Mùi hương: thơm
Phù hợp với loại da: khô
Giao nhanh gói kĩ. Date còn mới. Xài loại này thấy thơm và mềm da hơn, ko bị khô sau rửa như 2 dòng srm còn lại. Sale giảm ít. Giá cũng như mua sthi",,3,2,0,0.0037633395
9,t*****1,5,2022-12-16 12:32,,"Loại này chưa dùng thử , gói hàng chắc chắn ,  giao hàng khá lâu 🥰","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,2,0,0.0004606992
10,Người dùng Shopee,5,2022-06-11 11:12,,"Mùi hương: thơm
Dành cho da: dầu
Chưa xem hàng nhưng mà ck bảo c shipo xinh nên cho tiền k cần giả lại🙄",,0,2,0,2.073881e-11
11,parkphunhan_138,5,2023-03-28 23:02,,"Mẹo: ???
Bao bì: đóng oke nha
Làm đẹp: thì để rửa mặt đó
Hông có ảnh gì đâu nên lấy đại meme nha. 
Sài SRM này sẽ hết mụn. Sài SRM này sẽ hết mụn. Sài SRM này sẽ hết mụn. 
Mong là vậy 😗😗😗",,0,2,0,0.013128412
12,d*****5,5,2022-06-12 12:52,,"Sản phẩm ok,shop giao hàng nhanh,loại này phù hợp vs mk nên lần t2 mk mua ở đây lun,giao siêu nhanh",,0,3,1,0.99981946
13,nhatdaiquangminh,5,2021-09-25 10:36,,"Shop giao hàng nhanh, đóng gói cẩn thận. Sản phẩm chính hãng, đúng như mô tả, sử dụng tốt.",,0,3,1,0.9984856
14,hung_hung1310,5,2022-10-08 12:28,,"Công dụng: tot
Mùi hương: dễ chịu
Sp dùng tốt lắm ạ mn nên mua dùng thử.giao hàng nhanh đặt 3 ngày là tới ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,3,0,2.3026978e-08
15,s*****y,5,2022-10-20 14:30,,"Mới đặt hôm qua mà nay đã có rồi, shop giao hàng đầy đủ còn được tặng chiếc gương quá là xinh, cảm ơn shop nhìuu, tiện chúc các chị em phụ nữ có một ngày 20/10 thiệc nhiều niềm vui và hạnh phúc nhớ 🫶🏻❤️","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,3,1,1.0
16,v*****c,5,2022-01-21 14:03,,"Công dụng: sáng da mờ sẹo mờ vết thâm
Mùi hương: thơm nhẹ mùi sửa
Kết cấu: tốt
Thơm nhẹ điểm trừ giao hàng hơi lâu hơn 1 tuần mới có hàng :(( chx sài ko biết tốt ko",,0,3,0,5.857426e-10
17,anhnguyet_1989,5,2022-04-27 11:59,,"Công dụng: Rửa mặt sạch
Mùi hương: nhẹ nhàng
Hạn sử dụng từ 09/03/2022 đến 09/03/2025",,2,3,0,3.1681932e-06
18,k*****g,5,2022-04-05 19:26,,"Công dụng: Rửa mặt
Mùi hương: NỒng
Phù hợp với loại da: da nào cũng được
Nên mua. Giao hành nhanh. Rửa sạch. Phù hợp hssv",,1,4,1,0.9999989
19,n*****3,5,2022-07-06 10:22,,"Shop mall nên gói hàng kỹ có chống sốc. Giao hàng nhanh. Mình mua cho mẹ, mẹ nói mẹ dùng đều ok.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,0,5.7404753e-10
20,t*****3,5,2022-07-11 19:05,,"Giao hàng nhanh, Sài ổn Á mọi người, thấy mặt mướt hơn luôn, giảm mụn nữa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,4,0,0.001368033
21,n*****4,5,2022-07-16 22:50,,"Sản phẩm tốt nha giá rẻ nên mua ấy bà CHÊ đi cháy MÃ rồi kìa :)))
Nhập để ăn 157GIAM1K","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,4,1,1.0
22,Người dùng Shopee,5,2023-03-26 20:30,,"Bao bì: đẹp
Mẹo: ok
💚Cung cấp hack map liên quân và 1 số dòng game khác
💚ios và androi 💚
💚chức năng
💚 antiband
💚 chấp tố cáo
💚hiện rank địch
💚hiện hồi bổ trợ + unti địch
💚hiện avt địch
💚 aim elsu (androi all tướng)
💚fake tên
💚cam siêu xa
Mua ib trực tiếp fb hoặc zalo 0363124441 để dc tư vấn riêng androi mở key test ưng ý mới mua ko phí
Hỗ trợ tận tình (nick fb, zalo chính chủ)",,0,4,1,0.99999523
23,h*****m,5,2023-03-27 17:39,,"Lợi ích: làm sạch da mặt
Làm đẹp: giúp trắng da giảm mụn
Hương thơm: ko bt
Lần trc mua phiên bản cũ dùng khá ôk ki bt bán ntn dỏm thì quay lại sửa đánh giá sau",,0,4,0,4.880314e-10
24,natran19x,5,2023-02-18 16:49,,"Shop đóng gói cẩn thận giao hàng nhanh , date mới nè . Chất lượng okila","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,5,0,9.817762e-07
25,dinhsiucute,5,2023-02-26 16:18,,"Công dụng: trị mụn
Dành cho da: da nhạy cảm
Cũng hiệu quả phết lần sau sẽ tiếp tục ủng hộ shop","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,5,1,0.8026522
26,h*****2,5,2023-02-15 16:53,,"Công dụng: làm sạch da
Mùi hương: không có
Dành cho da: dầu
sản phẩm tốt giúp da khô thoáng và ít mụn mình đã xài từ khi còn học cấp 2 sản phẩm tuyệt vời Ok lắm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,5,0,5.6574403e-22
27,l*****r,5,2023-02-08 14:07,,"Mua cho em gái đang tuổi dậy thì 3 loại thì bảo thích loại nayd nhất. Trước dùng bản vàng, không biết update có okela hơn nhiều không","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,5,0,1.5252617e-09
28,kieuanhhuy,5,2023-02-11 01:38,,"Công dụng: ty
Mùi hương: cô
Dành cho da: có
Cô bảo mẫu mà e thấy nó cũng có thể là một người mẫu này e thấy nó cũng có giá cả thì trên đời không ai nói với nhau thôi bạn nhé bạn ạ ơi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,5,0,5.3012354e-08
29,taideptrai2468,5,2023-02-11 22:28,,"Công dụng: mờ vết thâm
Mùi hương: vitamin
Dành cho da: sáng
Sản phẩm đúng như trong hình, hàng của công ty thì mình yên tâm không có ý kiến gì thêm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,5,0,5.083535e-07
30,trclyphmth603,5,2023-02-11 14:56,,"Công dụng: làm sạch da
Mùi hương: không rõ
Dành cho da: mọi loại da
Sản phẩm khá tốt làm sạch ổn hiệu quả ko cao","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,6,0,2.1197975e-10
31,n*****1,5,2023-01-15 23:24,,"Giá rẻ hơn mua ngoài, còn được tặng thêm quà nữa, siêu ưng, đóng gói kỹ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé
",0,6,1,0.9999962
32,hoadothanh2102000,5,2022-12-20 15:32,,"sản phẩm sử dụng dễ dàng, thấy khá hiệu quả, không vấn đề gì cả ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,6,1,0.99999976
33,h*****o,5,2023-01-06 23:35,,Hàng giao nhanh lắm. Chất lượng cũng tốt nữa. Sẽ ủng hộ shop..,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,6,1,1.0
34,n*****1,5,2022-12-14 17:59,,"Săn sale giá rẻ hơn mua ngoài, còn được tặng nhiều đồ chất lượng.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,6,1,0.94216275
35,k*****5,5,2023-01-18 11:38,,"Công dụng: rửa mặt
Mùi hương: thơm
Dành cho da: tui da dầu thấy sài cx ổn
thơm nha , hòi trước sài cái vàng mà đổi mẫu thành cái này nên mua thử","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,6,0,0.00012692533
36,phanoanh152,5,2023-01-07 13:33,,"Chào mừng bạn đến với bảng nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây.Nhấn vào một đoạn để dán vào hộp văn bản.Nhấn vào một đoạn để dán vào hộp văn bản.Nhấn vào một đoạn để dán vào hộp văn bản.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,7,0,1.0858419e-07
37,fk6swu6ao2,5,2023-01-16 20:34,,"Công dụng: sạch mụn
Giao hàng nhanh,đóng gói cẩn thận chắc chắn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,7,0,0.009320556
38,t*****1,5,2022-12-05 17:07,,"Mùi hương: ko
Dành cho da: mọi
Công dụng: Rửa mat
Shop giao đúng và đủ
Hàng như mô tả 
Ship nhanh
Chất lượng ok
Áp dc mã nên cũng rẻ hơn 
Nên mua nha","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,7,0,2.3591793e-09
39,m*****i,5,2022-12-11 11:07,,"Công dụng: rửa mặt
Mùi hương: thơm
Dành cho da: thường
Sữa rửa mặt nhìn đẹp chưa dùng nhưng của mall nên yên tâm giao hàng nhanh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,7,0,6.7395556e-10
40,t*****7,5,2022-12-03 09:18,,"Shop giao đúng và đủ
Hàng như mô tả 
Chất lượng tốt. 
Nên mua.mn ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,7,0,1.6023014e-08
41,tnymessi,5,2022-11-14 11:46,,"Công dụng: tốt
Mùi hương: thơm
Dành cho da: em bé
Mình mua lần đầu đang dùng thấy khá là ổn không bị khô da đâu ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,7,0,5.4538807e-05
42,k*****1,5,2023-01-12 18:15,,"Công dụng: Lam sach sáng da
Mùi hương: dễ chịu
Dành cho da: mọi loại da
Sản phẩm đúng như mô tả đóng gói cẩn thận","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,8,0,6.096551e-09
43,ngoccutene,5,2022-01-20 12:06,,"Sữa rửa mặt này mình xài chắc gần chục năm rồi, sạch, không bị mụn, sáng da nữa. Thấy xịn hơn mấy loại srm của mấy hãng khác.",,0,8,0,2.9824414e-09
44,lebaoquyenbang,5,2022-12-08 15:04,,"Giao nhanh, giá ổn, gói hàng cz ok ko bể ko hư..... Mng nên mua nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen
",0,8,0,6.28068e-07
