,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,ngoyennhi03082003,5,2023-03-29 20:17,Phân loại hàng: Hương thanh nhã,"Công dụng: khử mùi hách nôi
Mùi hương: thơm nhẹ nhàng
Phù hợp với loại da: hem biết nữa
Được mã giảm giá mua với giả rẻ sp chất lượng cho shopp và shope 5 saoooo",,0,1,0,2.2518043e-06
1,t*****o,5,2023-01-22 12:42,Phân loại hàng: Hương thanh nhã,"[TB] TẾT ĐẾN NƠI RỒI – NGẬP TRÀN ƯU ĐÃI, LAN TỎA YÊU THƯƠNG: Nhanh tay đăng ký nhận thông tin cập nhật về các ưu đãi, CTKM hấp dẫn từ MobiFone để sở hữu 1 GB data tốc độ cao và 100 phút thoại nội mạng chỉ với 2.000đ (sử dụng trong 10 ngày, không gia hạn). Soạn ngay DK1 gửi 9241 (0đ) để đăng ký và làm theo hướng dẫn. Chi tiết liên hệ 9090 (200đ/p).","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,1,0,3.4268643e-11
2,thuanle7754,5,2023-02-02 11:00,Phân loại hàng: Hương sang trọng,"Sản phẩm tuyệt vời, rất thích mùi này. Nên mua hàng chính hãng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,1,0,0.0001826668
3,trangcherry58,5,2023-02-11 20:48,Phân loại hàng: Hương ngọt ngào,Mùi thơm dai lém lụo mb nên mua nhé ạ mùi này rất dễ chịu hihi😖🥰😍🥰🥰🥰,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,0.86785775
4,ngquychang.00,5,2023-01-10 07:00,Phân loại hàng: Hương thanh nhã,"Công dụng: khử mùi
Mùi hương: hương nước hoa
Phù hợp với loại da: tất cả loại da
Sau khi dùng thì mình thấy rất ưng í.mùi thơm nhẹ nhàng này dùng mình thấy nó không có thâm đâu nè.bám mùi lâu ngăn mùi tốt lắm sài xong thơm vãiiii😘😘giao hàng hơi lâu gói hàng rất cẩn thận 10 điểm rcm mấy bạn mua mùi thanh nhã","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,1,1,0.99919754
5,n*****4,5,2023-01-17 15:56,Phân loại hàng: Hương thanh nhã,"Công dụng: khử mùi
Mùi hương: Thơm
Phù hợp với loại da: ko bt
Giao nhanh (hình ảnh chỉ mang tính chất nhận xu )","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,1,0,8.2701554e-05
6,nghi77253,5,2022-12-14 18:12,Phân loại hàng: Hương thanh nhã,"Công dụng: lăn nết
Mùi hương: thanh nhã, như body mist gingham í
Phù hợp với loại da: có nhe
đóng gói cẩn thận nè, giao hàng nhanh lắm aa, 11đ, 40ml nhaa ạa(hình ảnh là chụp thật, lưu ý chỉ để tham khảo thôi nhé), mùi như chai body mist gingham 🤌","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",7,2,0,0.5517757
7,m*****g,5,2022-03-29 11:54,Phân loại hàng: Hương ngọt ngào,"giao hàng nhanh, đóng gói kĩ, mùi thơm ngọt, dễ chịu, lưu hương lâu, giá rẻ, hsd lâu, có tem niêm phong, shopee mall nên yên tâm chất lượng hàng",,5,2,0,4.1233757e-06
8,lphvinh769,5,2022-11-29 15:21,Phân loại hàng: Hương sang trọng,"Công dụng: thơm vùng dưới cánh tay
Mùi hương: thơm
Hình ảnh chỉ mang tính chất minh họa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé.",4,2,0,1.0996236e-09
9,tieuu_nii,5,2022-04-28 09:37,Phân loại hàng: Hương sang trọng,"Phù hợp với loại da: mọi loại da
Công dụng: khử mùi
Mùi hương: thơm
giao hàng nhanh cực. mới đặt hôm qua nay đã có hàng. mùi cũng thơm nhưng hợp với nam hơn",,2,2,0,2.8288262e-11
10,mebin389,5,2021-12-01 12:05,Phân loại hàng: Hương phấn thơm,Rất nhiều loại khử mùi từ đắt tới rẻ nhưng ưng mỗi loại này. Dù có thay đổi về mẫu và lọ đựng nhưng chất lượng k thay đổi.👌👌👌👌👌👌👌👌👌👌👌👈👈👈👈👈👈,,3,2,0,0.00096548453
11,_*****_,5,2022-04-18 10:48,Phân loại hàng: Hương sang trọng,"Công dụng: Khử mùi cơ thể
Mùi hương: hương sang trọng
Phù hợp với loại da: mọi loại da
Gihuctdtginobtdtse đi nọnvxưTvivtdgvibts tn igrd tức éubi",,4,2,0,0.00700902
12,gkqpzro7ri,5,2022-09-06 14:06,Phân loại hàng: Hương thanh nhã,"Công dụng: khử mùi
Mùi hương: thanh nhã, ngọt ngào
Phù hợp với loại da: chx bt
Giao hàng nhanh 
Đúng sản phẩm 
(hình ảnh, video chỉ mang tính chất nhận xu)","Rohto xin chào bạn ạ, Rohto rất vui khi nhận được phản hồi tích cực từ bạn dành cho Rohto Mentholatum Việt Nam. Mong bạn sẽ luôn ủng hộ Rohto ạ! Cảm ơn bạn.",3,3,0,0.38623255
13,zei028,5,2022-03-26 18:54,Phân loại hàng: Hương thanh nhã,"Công dụng: Khử mùi
Mùi hương: Cực kì thơm
Kết cấu: lỏng
Giao hàng cực kì nhanh, mùi hương phải nói là rất thơm, hầu như ai cũnh thích mùi này vs mùi gỗ. Mới lăn lên da thì nó hơi nhớt nhưng nó lại thấm khô khá nhanh m.n nên mua",,2,3,0,0.002864236
14,v*****8,5,2022-11-18 19:42,Phân loại hàng: Hương ngọt ngào,Hwb siuis sj s.  Síh ssdungf thcihs lmws huhudbd db. Dbneen ubgr hộ shsjss,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,3,0,0.5266031
15,mnguyenmai9,5,2022-09-10 12:45,Phân loại hàng: Hương thanh nhã,"Công dụng: lăn nách
Mùi hương: hơi hắc
Phù hợp với loại da: ok
Giao hàng nhanh đặt m9 m10 có hàng mùi hơi hắc đóng gói cực cẩn thận lần sau sẽ ủng hộ. 10 điểmmmm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",1,3,1,0.9999999
16,hhhaaynndk,5,2022-05-20 20:40,Phân loại hàng: Hương thanh nhã,"Công dụng: LĂn nách
Mùi hương: thơm
Phù hợp với loại da: tốt
Mùi thơm giá hợp lý mới  
Tuyệt vời 
KshjwbzksbwkNakksnn",,2,3,0,6.37294e-07
17,minhhngcc148,5,2022-04-24 19:33,Phân loại hàng: Hương sang trọng,"Công dụng: chưa dùng chưa biết
Mùi hương: thơm nước hoa khá ưng
Phù hợp với loại da: mọi loại da
Đầu lăn khá tốt không bị rít",,2,3,1,1.0
18,gu18wrmrp9,5,2022-06-18 16:17,Phân loại hàng: Hương thanh nhã,Mùi thơm lắm giao hàng lại còn nhanh nữa nói chung là nên mua 👁️👄👁️,,2,4,1,0.9859611
19,rmcwqa5dva,5,2022-07-27 06:16,Phân loại hàng: Hương thanh nhã,"Sản phẩm lưu hương tạm ổn,ngăn mùi từ 2-3 tiếng nhưng kh hề nồng","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,4,0,2.5593444e-14
20,truongthuyhang1301,5,2023-02-18 12:20,Phân loại hàng: Hương thanh nhã,"Công dụng: khử mùi
Mùi hương: thơm
Phù hợp với loại da: mọi loại da
Đóng gói sản phẩm rất chắc chắn, giao hàng nhanh. Mọi người nên muaa nha","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,0,0.0029207172
21,barochaan,5,2022-04-06 20:06,Phân loại hàng: Hương phấn thơm,"Công dụng: ngăn mùi ổn
Mùi hương: thơm, không quá nồng
Phù hợp với loại da: da nào cũng phù hợp í ạ
đóng gói cẩn thận, sẽ ủng hộ shop nhiều. hình ảnh mang tính nhận xu nha 😘",,5,4,1,0.95828307
22,huhongth626,5,2022-12-08 14:55,Phân loại hàng: Hương ngọt ngào,"Công dụng: ukii
Mùi hương: cũng thơm
Phù hợp với loại da: all
Xinh alhsusnsgsjsíuuebdhs","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen
",0,4,1,0.97908014
