,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,abay120593,5,2023-01-08 11:30,,"Công dụng: lan nách
Mùi hương: đúng
Phù hợp với loại da: đúng
Mui cung thom mua sale giá re mn nen mua ve dung thu nha ship nhanh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,1,1,0.99994326
1,p*****7,5,2022-11-21 20:01,,"Ngon lắm lắm luônn í á , chất lượng , giao hàng nhanh, hông ngọt lắm , rất oke","Sunplay xin chào bạn, Sunplay rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Sunplay . Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé. Chúc bạn vui vẻ ạ.",2,1,0,9.311786e-08
2,b*****5,5,2021-12-13 17:10,,Tất cả ổn chỉ có shipper tệ :)đây là lần đầu mình đánh giá về shipper .Ảnh mình hoạ,,0,1,0,9.16934e-05
3,k*****9,5,2022-05-17 14:50,,"Công dụng: luôn hương trên ná**:))
Mùi hương: thơm 💯
Phù hợp với loại da: tất cả
giao hàng nhanh💯💯💯💯💯💯💯",,0,1,1,0.7867347
4,9yl164al9s,5,2022-05-12 09:33,,"Công dụng: khử mùi
Mùi hương: Thơm
Phù hợp với loại da: đúng vậy
Thơm lắm nha mọi người nên thử nha. Sẽ thích thoi",,0,1,0,0.25321025
5,monkey_store030892,5,2022-10-12 21:59,,"Công dụng: Thơm
Mùi hương: Thơm dịu
Phù hợp với loại da: tất cả
Giao đủ, thơm lắm, lưu hương lâu cả ngày vẫn thơm,mn nên mua, mình sẽ quay lại ủng hộ,
Hình chỉ mang tc nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,0.99999905
6,baongan200468,5,2022-06-19 17:24,,"Giao nhanh, gói hàng cẩn thận, sản phẩm mùi rất dịu, thích hợp cho các bạn nữ dịu dàng",,0,2,0,1.9313064e-09
7,iamkhanhvy,5,2022-08-24 17:08,,Sp thơm lắm ạ. Nên mua nha mn 😘😘😘😘 mùi sang lắm ạ kkkjjkkhk gnvvhbbjn,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,2,0,3.1621236e-10
8,uzior9jtna,5,2022-06-23 11:44,,"Công dụng: Khử mùi
Mùi hương: ngọt
Mùi thơm lắm luôn mọi người nên mua sử dụng thử nha",,0,2,0,3.634603e-09
9,hongdiep5900,5,2023-03-28 13:07,,"Thơm lắm nha, mùi nhẹ nhàng, ngọt ngọt , hạn sử dụng cũng xa nữa,",,1,2,0,0.0020387492
10,chubby_nhu,5,2023-03-27 13:29,,"Mùi hương: nhe nhang
Phù hợp với loại da: mọi da
Công dụng: lăn khử mùi
Giao hàng nhanh, mùi thơm dễ chịu k quá gắt, còn tặng kèm chai xịt khử mùi bé xíu nữa.",,0,2,0,9.7812435e-06
11,kimdung1211,5,2023-01-10 15:28,,"Mùi hương: Thơm như mùi nước hoa
Hàng chuẩn. Thích lắm. Mùi thơm nhẹ nhàng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,2,0,0.09571284
12,t*****3,5,2022-09-07 18:27,,"Công dụng: lăn khử mùi
Mùi hương: nước hoa
Phù hợp với loại da: all
giao hàngg nhanh lắmm ạaa, mùi thơm lắmm lắmm luonnn ạ, shop góp kĩ lắmm, bubble wrap chống sốc...😗","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,3,1,1.0
13,honghaihoang88,5,2022-08-17 18:39,,"Đóng gói sản phẩm rất đẹp và chắc chắn, thời gian giao hàng rất nhanh","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,1,0.9901248
14,p*****e,5,2022-10-12 13:25,,"Công dụng: khử mùi cơ thể
Mùi hương: Hương phấn thơm
Phù hợp với loại da: không biết
Thơm nhẹ chất lượng tốt ok","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,2.2586124e-07
15,0000000_00000a,5,2023-04-05 17:50,,Mình ở phan thiết mà đặt hôm 4/4 qua 5/4 da nhận được r.vừa dc voucher giảm 50% mà còn dc free ship.quá hời luôn.mọi người nên mua nhé.hàng date xa.gói hàng ký.shipper nhiệt tình,,1,3,0,5.7790245e-10
16,bichtram1820,5,2023-04-06 09:19,,"Mùi hương: diu nhe
Phù hợp với loại da: có
Công dụng: lăn nách
Mua nhiều lần ở shop, giao hành nhanh mùi dịu nhẹ, có quà tặng kèm nữa, cám ơn shop",,0,3,0,1.590685e-07
17,bonashop10071987,5,2023-03-30 18:39,,"Công dụng: khử mùi
Phù hợp với loại da: thuong
Mùi hương: hương phấn
Nói chung minh k thấy ổn lắm k giống hàng minh đa dung , hic k thấm vào da cho lam",,0,3,1,0.99999213
18,lamphuonganhtontien_21062003,5,2023-04-03 13:15,,"Mùi hương: thơm giống nước hoa, sang trọng chứ không nồng gắt
Công dụng: tạo mùi thơm, ngăn mùi hôi nách
Phù hợp với loại da: da thường
Mùi này ngọt ngào nhưng rất sang trọng nhé. K bị thâm da khi sử dụng. Đáng mua nhé",,0,4,1,0.97880983
19,huonghuong222333,5,2023-04-05 12:24,,"Thơm gheeeeeeeeeeeseeess

Đóng gói cẩn thận giao hàng cũng nhanh",,0,4,0,0.43440667
20,phuong248.,5,2023-04-04 00:03,,"Công dụng: lăn khử mùi
Mùi hương: thơm
Phù hợp với loại da: chắc v
Thấy mùi khá ok lưu hương khoảng 4-5h chất lượng ổn nha",,0,4,0,7.722379e-08
21,di_2406,5,2023-03-25 00:09,,"Mùi hương: thơm
Phù hợp với loại da: thơm
Công dụng: thimw
Mùi thơm tuyetj duyệt nên mua
Thơm lâu 0 bị hôi nách",,0,4,0,5.6134327e-06
22,chinh991,5,2023-03-24 13:30,,"Mùi hương: thơm ngọt dịu
Công dụng: lăn khử mùi
Phù hợp với loại da: mọi loại da thơm kiểu ngọt ngọt  khá là rẻ",,0,4,1,0.93858564
23,vytrangdang,5,2023-03-18 10:40,,mùi này nồng quá ko thích lắm giao hàng nhanh đúng sản phẩm sẽ ủng hộ shop lần sau nhé ạ ok lắmmm,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,1,1.0
24,rc006xvrvj,5,2023-03-22 06:47,,"Phù hợp với loại da: gọi cuộc đời là những vị đắng
Công dụng: khiến nước mắt ai rơi thành dòng:)))
Mùi hương: nước hoa",,0,5,0,0.0020521511
