,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,h*****g,5,2023-01-15 12:21,Phân loại hàng: Hồng mộc lan,"Công dụng: Lăn lách
Mùi hương: hồng mộc lan
Phù hợp với loại da: ko biết
Hàng móp méo may là chống sốc dày ko thig hàng này sẽ vỡ
Chưa dùng nên ko biết
Nhưng mới mở mk ngửi mùi này rất là nhức đầu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,9.862378e-06
1,hyndieu,5,2021-12-27 21:06,Phân loại hàng: Hồng mộc lan,Shop bọc hàng kĩ quá trời khui hàng mỏi tay luôn á kkk . Mùi này thơm lắm á đang bị nghẹt mũi vẫn nghe được mùi luôn chưa biết giữ mùi có lâu không nhưng ưng mấy sản phẩn bên shop rồi,,3,1,0,1.4120404e-07
2,n*****o,5,2021-12-14 18:42,Phân loại hàng: Trà xanh,giao hàng nhanh gói hàng cũng tạm được hơi buồn vì nắp nhìn hơi nhem nhuốc mùi thơm nghe review bảo sp vừa khử mùi vừa giúp trắng nên mua thử,,2,1,0,2.7341926e-08
3,nguyenvy642006,5,2022-06-13 10:42,Phân loại hàng: Hồng mộc lan,"Giao hàng siêu nhanh ,mùi dễ chịu ,giữ mùi khá lâu .Sẽ ủng hộ tiếp",,1,1,0,0.3533914
4,ngannga2016,5,2022-04-11 10:09,Phân loại hàng: Hồng mộc lan,Hình ảnh và video mang tính chất nhận xu. Sản phẩm có mùi rất thơm và giữ mùi được lâu,,1,1,0,1.9313208e-07
5,hong_ai098765,5,2022-04-11 10:49,Phân loại hàng: Hương gỗ,"Công dụng: tốt
Mùi hương: tốt
Phù hợp với loại da: tốt
Bơm đẹp tốt ( hình ảnh mang tính chất minh hoa)👌👌👌👌👌👌👌yyytffcfui",,0,1,1,0.99999917
6,dui9ubfly7,5,2022-06-22 23:35,Phân loại hàng: Hồng mộc lan,"Công dụng: lăn nách
Mùi hương: Hồng mộc lan
Mùi rất thơm và lưu hương đc lâu mọi người nên mua thử nhé",,1,2,0,1.26169535e-11
7,trang_291.27,5,2022-04-25 12:05,Phân loại hàng: Hồng mộc lan,"Mùi hương: ........
Ảnh và video mang tính chất minh họa nha , sp ok lắm . cảm ơn",,0,2,0,5.8909553e-08
8,k*****8,5,2022-07-30 12:03,Phân loại hàng: Hồng mộc lan,"Công dụng: kHử mùi
Mùi hương: thơm nhe
Phù hợp với loại da: phù hợp
Sản phẩm tốt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,2,0,0.00015249735
9,_*****_,5,2023-03-31 19:57,Phân loại hàng: Hương thảo,"Mùi hương: thơm
Công dụng: khử mùi hôi
Phù hợp với loại da: không biết
Sp tốt,giao hàng nhanh,đóng gói đẹp,shop tư vấn nhiệt tình,sẽ quay trở lại",,0,2,0,0.0032312204
10,nganha110298,5,2022-10-23 08:15,Phân loại hàng: Hồng mộc lan,"Công dụng: khử mùi
Mùi hương: thơm
Phù hợp với loại da: mọi loại da
Thơm nha mọi người đều có thể sử dụng, hãy ủng hộ cho shop 👍","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,0.0025751635
11,t*****7,5,2021-12-10 18:01,Phân loại hàng: Hương thảo,"Nhận được hàng rồi, giao hàng nhanh, giá rẻ",,0,2,0,0.00055779103
12,quynhanh2k1__,5,2022-10-12 19:48,Phân loại hàng: Hồng mộc lan,"Shop giao hàng nhanh, đóng gói sơ sài. Sản phẩm thơm nhẹ, lưu hương lâu.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,1,0.89789796
13,a*****8,5,2022-03-22 17:08,Phân loại hàng: Hương thảo,"đóng gói chắc chắn, mùi này thơm lắm í kiểu nhẹ nhàng do mình ch sd lâu nên kh biết có giữ mùi lâu kh",,2,3,0,4.694393e-05
14,h*****4,5,2022-10-06 13:04,Phân loại hàng: Hồng mộc lan,Mùi thơm. Lưu được lâu. Sản phẩm chất lượng tốt. Đóng gói cẩn thận.,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,0.00011422712
15,k*****4,5,2021-12-16 20:40,Phân loại hàng: Hồng mộc lan,"Sản xuất tốt, giao hàng nhanh chóng, chính xác, rất hài lòng.",,0,3,0,0.000104886785
16,lhnhao29.11.04,5,2022-06-21 11:25,Phân loại hàng: Hồng mộc lan,Mình mới dùng lần đầu chưa biết công dụng ra sao nhưng mà thơm lắm mn nên mua nha với giao hàng nhanh nữa,,1,3,0,1.0866459e-07
