,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,thucanhnguyen329,5,2023-02-08 17:16,,"Dành cho da: mụn
Công dụng: tốt
Mùi hương: ko có
Bn mik bt r is the only thing she has ever had with him in a row so you know I can tell him I love 💕 but you can do whatever 🌂 I just need you so you do it for you so you don’t have it in your mind you don’t get a hold you to","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,0.08664956
1,hieu22101999,5,2022-11-27 23:28,,"Công dụng: dán mụn
Mùi hương: hơi hắc
Dành cho da: mụn
Anh đã máy tháng trôi qua khi ta cách xa, mỗi người một ngã h ta cũng đã xa la, mỗi đệm e nhớ về anh vào lúc 11h 11p nhưng chắc a k nhớ em đâu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,1,0,0.07725792
2,k*****3,5,2023-02-08 17:51,,"Công dụng: dán mụn
Mùi hương: thơm
Dành cho da: mụn
Dán dô dễ bị lộ lắm ko nên mua","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,0.00062498235
3,a*****1,5,2022-08-30 11:20,,Chưa dùng nên chưa biết.  Hình ảnh chỉ mang tính chất nhận xu,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,3.2349717e-06
4,vuthihueloc2001,5,2023-02-18 10:27,,"Công dụng: Dán mụn
Mùi hương: Ko mùi
Dành cho da: Mụn
Do mk ở gần nên giao hàng nhanh khủng khiếp luôn, mua đc giảm giá nữa, rẻ hơn ngoài hiệu thuốc. Ncl ưng","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,1.3648673e-09
5,vanchipchip,5,2023-02-12 14:54,,"Công dụng: che mun
Lần đầu sử dụng. Mua thử dể hnao dùng sẽ riview lại. Cảm quan shop gửi hàng cẩn thận. Có cả túi bóng khí","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,2.397012e-09
6,n*****o,5,2023-01-14 17:17,,"Hộp hơi móp nhưng không ảnh hưởng đến sản phẩm, hộp có 2 tờ 12miếng/tờ,","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,0,1.2426632e-05
7,hoangthuy7777777,5,2021-10-13 09:07,,acnes là chân ái của mình rồi nên khoing có gì phải bàn về chất lượng nữa❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,0,2,1,0.9363125
8,bommo2410,5,2022-11-12 12:18,,Mới mua nên chưa biết hiệu quả như thế nào. Mong là dùng tốt...,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,2,0,0.1838962
9,nguyenthilien2k,5,2022-10-16 09:35,,"Công dụng: Đẩy mụn
Mùi hương: k
Dành cho da: Da bt
Hình ảnh mang tc nhận xuu😇😇","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,2,0,1.0377299e-10
10,_*****i,5,2021-10-16 10:55,,"Miếng dán mỏng, tệp vào da, dán rất chặt, nhưng khả năng hút mụn ko tốt lắm.
Được cái dán vào vết mụn mới nặn hạn chế chảy máu và hở vết thương gây thâm nặng hơn khá ổn.",,0,2,1,1.0
11,n*****6,5,2022-11-24 17:38,,"Công dụng: ổn
Mùi hương: ko có mùi
Dành cho da: mọi loại da
Giao hàng nhanh, chất lượng đúng với giá tiền","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,1.2065423e-09
12,t*****5,5,2022-09-28 21:36,,"Công dụng: Bảo vệ mụn khỏi bụi
Chưa xài nhưng hàng của Acness chắc tin tưởng rồi, cũng không mong phải xài miếng dán mụn đâu :))))","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen.",0,3,0,4.5291657e-12
13,d*****e,5,2021-10-21 17:19,,"Chỉ là thêm cho đủ hình.
Sản phẩm ok. Giao hàng nhanh. Đóng gói đẹp. Sẽ ủng hộ tiếp.",,0,3,1,0.9950767
14,phucvy42,5,2022-10-05 22:45,,"Công dụng: dán mụn
Dán mụn bình thường chưa thấy hút mụn.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,3,0,0.04601773
15,totrinh82,5,2023-03-27 10:14,,Đã nhận được hàng. Mong sẽ dùng được san phẩm tốt. Sẽ ủng hộ lần sau nếu sản phẩm dùng chất lượng. Đóng gói sản phẩm chắc chắn.,,0,3,1,1.0
16,vuthikimhau,5,2023-03-31 18:12,,"Làm đẹp: ok
Hương thơm: ok
Mẹo: ok
Giao hàng nhanh
Hình ảnh mang tính chất nhận xu ạ ldjsjdj",,0,3,0,4.048805e-06
17,oanh_mario_97,5,2023-03-23 12:09,,"Beauty Profile: good
Packaging: chắc chắn
Usage Experience: ok
Hình ảnh mang tính chất minh họa nhận xu, chưa sử dụng nên chưa biết thế nào nhưng review thấy ok",,0,3,0,9.3990656e-11
18,caotungphi_1992,5,2023-03-10 03:42,,"Không lấy còi mụn ra được, chỉ làm mờ tốt khi dán vào trên da. Cần 1 sp lấy còi mụn tốt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,0.008688372
19,n*****2,5,2023-02-21 19:59,,"Công dụng: dán mụn
Mùi hương: chưa sử dụng
Dành cho da: bị mụn
Shop giao đúng phân loại chọn, giao hàng nhanh, miếng dán mụn chưa sử dụng nên chưa biết tác dụng, dùng tốt sẽ lại ủng hộ shop.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,1,0.99997306
20,daivucctv,5,2023-02-17 20:40,,"Shop giao hàng nhanh chóng, bọc gói cẩn thận, sản phẩm giống như ảnh quảng cáo..","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,6.0768118e-05
21,quynh.nh212,5,2023-02-16 09:46,,"Shop giao nhanh và đóng gói cẩn thận nha
Giá thành rẻ chất lượng tôtts","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,0,1.144529e-10
