,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,kemu85,5,2022-10-28 16:19,,"Mùi hương: hơi nồng
Dành cho da: da dầu
Công dụng: làm sạch, kháng khuẩn
Dùng cái này thấy mụn cám giảm nhiều, da cũng sạch hơn. Nói chung hài lòng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,4.459913e-10
1,t*****5,5,2021-10-17 09:27,,"Đóng gói hàng kĩ, giao siêu nhanh đặt tối 15 sáng 17 giao tới rồi",,1,1,0,0.002721728
2,n*****1,5,2021-08-25 21:31,,"Dịch nên giao hàng lâu, sản phẩm bị rò rỉ chảy nước ra ngoài  😌😌😌",,0,1,1,1.0
3,leokid49,5,2023-03-15 17:22,,"Công dụng: sachj da
Mùi hương: mùi nồng
Dùng lần nào cũng bị xót da kiểu sạch quá, nó đẫm miếng bông và mùi hoá học","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,5.8546524e-05
4,quedun,5,2023-02-17 13:21,,"Công dụng: làm sạch mặt
Dành cho da: tất cả các loại da
Đóng gói chắc chắn lắm, giao hàng nhanh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.0005298221
5,t*****2,5,2022-11-11 19:03,,"hàng đóng gói như mô tả quảng cáo bên ngoài miếng lau hơi mỏng tí, mùi cồn lau mát, dùng lâu dài mới biêtw công dụng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,4.448305e-15
6,mrpond,5,2022-04-06 09:49,,"Công dụng: Làm sạch da mặt
Mùi hương: Bình thường
Phù hợp với làn da: Da dầu, mụn
Hàng nguyên seal, ngày sản xuất cũng mới, giao hàng cũng rất nhanh.",,0,2,1,0.9497368
7,thuyyvannnnnnnnnnnnn,5,2022-03-30 16:21,,"Mới nhận hàng chua dùng. 
Thấy gói ok cẩn thận. 
Hi he hi he hi hee",,0,2,0,0.010085848
8,lylyphanthi,5,2022-04-18 15:34,,"Sản phẩm làm sạch nhanh , giảm mụn đầu đen, giảm tiết dầu, khô da",,0,2,0,0.0005127855
9,m*****h,5,2022-04-22 12:42,,"Đóng gói chắc chắn, chưa dùng nên chưa biết hiệu quả, hy vọng như mong đợi",,0,2,1,1.0
