,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,hyhy.h2b,5,2022-03-20 20:36,,"Công dụng: hÚt dầu
Mùi hương: hơi nồng
Kết cấu: đặc
Ít làm khô da, mùi hơi nồng nhưng cũng ko quá khó chịu. Đắp xong mát mặt",,0,1,0,0.00017294746
1,quynhphanbd,5,2022-03-07 21:17,,"giao hàng nhanh, đặt hàng chủ nhật thứ 2 đã giao hàng. mua giá sale nên cũng rẻ, sp dùng ok",,1,1,0,2.1577334e-11
2,toan.luong94,5,2022-07-16 11:08,,Sản phẩm đúng như mô tả. Shop giao hàng nhanh. Hình và vid nhận xu,"
Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.
",1,1,1,0.9998196
3,vuhailong2109,5,2022-12-16 17:40,,"Dành cho da: tốt
Công dụng: tốt
Mùi hương: tốt
Giao hàng rất nhanh và đầy đủ. 200k mua được rất nhiều","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",1,1,0,1.9051216e-05
4,nguyennhattrang1011,5,2022-03-29 00:49,,"Công dụng: đắp mặt
Mùi hương: thơm
Kết cấu: Ẩm ướt
Giao hàng nhanh, shop đóng gói cẩn thận, chưa dùng nên chưa biết hiệu quả ntn",,1,1,0,0.0001745578
5,h*****4,5,2022-07-17 18:09,,"Mặt nạ để tủ lạnh đắp lên the mát

Rửa mặt xong thấy da mịn 

Dùng để đắp mặt rất tốt.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,0.00014795989
6,wakamaru31,5,2022-10-13 19:50,,"Công dụng: mask
Mùi hương: mùi nhẹ
Dành cho da: k rõ
Shop đóng gói cẩn thận, hàng xinh, chưa dùng nên ko biết ntn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,1.3879536e-09
7,nguyenlele1186,5,2022-03-12 14:29,,"Acnes Baby Mud Maskmặt nạ bùn non dưỡng sáng được đặc chế từ bùn non tự nhiên giúp se lỗ chân lông, da sáng mịn, hỗ trợ thanh lọc làn da sau mụn",,1,2,0,1.8107224e-10
8,Người dùng Shopee,5,2022-07-07 11:04,,Cơ hội sở hữu sản phẩm Mặt nạ bùn non dưỡng sáng da Acnes Baby Mud Mask 100g được giảm 14%! Chỉ còn ₫89.000. Mua ngay trên Shopee! https://shopee.vn/product/59597911/964928812?smtt=0.791932338-1657165022.9,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,0.017170833
9,d.c.sports,5,2022-02-28 15:23,,"Công dụng: làm mịn, trắng, se lỗ chân lông
Mùi hương: mùi bùn dễ chịu
Kết cấu: mềm mịn k bị rát da",,0,2,0,4.2492992e-08
10,phongthuw00,5,2022-07-17 17:30,,"Sử dụng được nhma lúc sử dụng hơi châm chít một xíu, mùi hương liệu hơi nồng nhma sử dụng xong thì khá mát, dạng không quá đặc, giao hàng nhanh","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,1.0409945e-07
11,lientran_2602,5,2021-11-06 20:39,,"Gói hàng cẩn thận, đẹp, thơm xuất sắc,chưa dùng nên không biết hiệu quả thế nào.",,0,2,0,9.501347e-07
12,yd0garg6se,5,2022-12-01 19:40,,"Công dụng: lafm da sasng
Mùi hương: bình thg
Dành cho da: mọi loại da
Mới mua về dùng nên chưa biết như thế nào . Nhưng nếu dùng hiệu quả sẽ mua ueng hộ tiếp âhhu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,3,0,2.0238053e-06
