,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,l*****5,5,2023-01-04 16:07,,"Công dụng: tẩy trang, rửa sạch bụi bẩn
Độ bền màu: không màu
Shop gói hàng cẩn thận, giao hàng nhanh, hàng chính hãng, mình săn được giá khá tốt, chai to hơn mình tưởng, mình chưa dùng chưa biết chất lượng nhưng rất an tâm với sản phẩm hãng acnes.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",2,1,0,4.131277e-07
1,t*****1,5,2023-01-10 10:15,,"Công dụng: tẩy trang
Độ bền màu: ok
Giao nhanh 
Đóng gói cẩn thận
Hàng rẻ hơn ngoài bán
Giao đủ quà tặng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,1,0,0.6916296
2,k*****9,5,2023-03-27 15:26,,"Làm đẹp: có
Mẹo: không
Hương thơm: không
Sản phẩm mình mua dùm nên ko có đánh giá chuẩn đc
Nhưng hàng thương hiệu thì ổn rồi",,0,1,0,1.3044432e-10
3,n*****6,5,2023-02-20 20:20,,"Nuóc tẩy trang giống quảng cáo,hình thức đẹp,check mã vạch có lên,hơi có mùi cồn,tặng shop năm sao,dùng thử một thời gian sẽ phản ánh tiếp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,0.9479829
4,h*****2,5,2023-02-15 16:53,,"Công dụng: làm sạch da
Độ bền màu: có
sản phẩm tốt giúp da khô thoáng và ít mụn mình đã xài từ khi còn học cấp 2 sản phẩm tuyệt vời Ok lắm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,1,0,2.5257712e-18
5,she301111,5,2023-01-27 17:26,,"Công dụng: ok
Độ bền màu: ok
GVCN TB: Từ ngày mai, các con bắt đầu nghỉ Tết theo lịch của nhà trường. Kính mong CMHS nhắc nhở và quản lý các con vui chơi an toàn, đảm bảo sức khoẻ trong dịp Tết.
Cô giáo kính chúc các bậc phụ huynh và gia đình các con học sinh đón một kì nghỉ Tết an vui, đầm ấm, chuẩn bị cho một năm mới an khang, thịnh vượng. 
Trân trọng!","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,0.014076658
6,n*****n,5,2023-02-06 23:16,,"Công dụng: tốt
Săn được hàng sale giá rẻ, ship nhanh, hàng tặng đầy đủ, chưa thấy công dụng rõ ràng, sẽ mua lại.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,0.07345215
7,congchua2006,5,2023-01-27 09:57,,"Sản phẩm giao siêu nhanh lun í ,được nhiều ưu đãi khi mua ,giá hạt dẻ nữa ,đóng gói chắc chắn ,chất lượng thì mình sẽ đánh giá sau mà tết shop giao nhanh như thế này thì chấm  💯 điểm luôn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,9.324724e-05
8,dangmydi2004,5,2023-02-06 13:08,,"Công dụng: làm sạch da
Mình mới mua lần đầu chưa sd nên sẽ feedback sau haa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,0.010904004
9,yukirichan,5,2023-01-27 18:10,,"Giao siêu nhanh. Đồ chất lượng, có kèm quà và ưu đãi rất nhiều nha nên mua","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,9.525915e-13
