,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,fsyra4omhg,5,2023-01-28 09:37,,"Công dụng: thắm hút dầu thừa
Bao bì/Mẫu mã: đẹp ok
Giao hàng nhanh dù dịp tết, đóng gói kỹ càng cẩn thận, mình đã từng dùng qua sản phẩm này nó hút dầu thừa cực tốt nha hút đc cả mồ hôi, không như giấy thấm dầu thì chỉ hút đc dầu thừa chứ mồ hôi ko hút đc, da siêu dầu như mình sài rất ok đáng tiền mua nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,0.0005330675
1,a*****3,5,2022-11-18 20:07,,Mình hay sử dụng phim thấm dầu của acnes lắm. Ra siêu thị thì ít có bán nên đặt ở shopee vậy.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,1,1.0
2,a*****3,5,2022-11-18 20:12,,"Shop giao hàng nhanh, rất ưng ý mình và sẽ còn ủng hộ shop lần nữa.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,1,1.0
3,xuanmai.71,5,2022-03-19 11:21,,"Phải gọi là tuyệt vời, thấm dầu đỉnh luôn ak, mặt khô ráo mà mịn tưng luôn . Lau xong miếng phin ướt dầu thấm hút nhanh .",,0,1,0,0.26632378
4,m*****3,5,2022-04-26 11:16,,"Giao hàng rất nhanh. Mua săn sale 25/4 nay đã nhận đc hàng.
Hàng đc đóng gói bởi shopee nên rất tưởng.
Chất lượng sp thì khỏi bàn, da dầu dùng rất thích",,1,1,0,4.1100204e-10
5,m*****3,5,2022-03-14 12:00,,"Mua đc lúc giảm giá. Tính ra chỉ mất khoảng 50k/sản phẩm.
Gói hàng nhỏ xinh rất đẹp, giao hàng nhanh. Rất hài lòng về sp và shop bán hàng cũng như dịch vụ của shoppe😀😀",,0,1,0,6.2127474e-06
6,t*****2,5,2022-06-16 13:09,,"Mỗi lần săn sale đều mua em này.
Giá sale rất tốt, xài bao đã
Shoppe giao hàng rất nhanh",,0,2,1,0.99972755
7,v*****h,5,2022-06-18 15:56,,"Công dụng: Thấm dầu
Bao bì/Mẫu mã: đẹp chắc chắn
Mn nên mua nha giấy thấm dầu xịn lắm dai dai k dễ rác như giấy viết đâu
Thấm dầu cực tốt ncl nên mua",,0,2,0,0.24094084
8,9*****e,5,2022-06-09 12:11,,"Công dụng: tHấm dầu
Bao bì/Mẫu mã: đẹp
Phim này thấm dầu cực tốt và không làm da bị quá khô. Đóng gói kĩ lưỡng, giao hàng tương đối nhanh",,0,2,1,0.99897695
9,t*****9,5,2022-02-21 10:12,,"Thấm dầu ổn, mình rất thích, phù hợp với cái mặt toàn dầu như mình",,0,2,0,2.3481503e-05
10,nguyenngoc2k4,5,2023-03-27 18:17,,Loại phim này dùng thích hơn giấy nhìu mn nên mua nhaaaaaaaaa,,0,2,0,0.1211083
11,n*****1,5,2023-02-09 22:52,,"Công dụng: bình thường
Bao bì/Mẫu mã: xấu không đẹp
Nên là đi loại miếng bự hơn, miếng nhỏ xíu cầm rất khó","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,6.760213e-06
12,n*****5,5,2023-02-04 15:54,,chất lượng sản phẩm tốt sẽ mua thêm nhiều lần nữa mua củ rất nhiều lần rồi,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,3.2041996e-09
13,thaiphuong2511,5,2021-10-30 21:40,,"thấy nhìu ng xài, lần đầu sử dụng thấy thấm dầu tốt, dùng thích, mùi dễ chịu, giao hàng nhanh, mua của mall nên tin tưởng chất lượng",,0,3,0,9.655353e-09
14,thaiphuong2511,5,2021-11-06 22:56,,"mua lần 2 xài thấy ok, mỗi tội mỗi lần lấy ra hơi khó toàn bị dính 2-3 tờ liền thui hiuhiu giao hàng nhanh gói hàng cẩn thận",,0,3,0,0.00058865343
15,thuy270301.,5,2021-10-21 19:28,,Giao hàng nhanh chất lượng hhhhhhhbbbb kkKkkkkkkkkkkkkkkkkkkkkkkkkkkk,,0,3,1,0.8179621
16,trang.2704,5,2022-04-29 13:33,,"Phim dùng ổn, lau mặt mịn lắm ạ, video không liên quan chỉ mang tính chất nhận xu",,0,3,0,3.2609216e-05
17,trang.2704,5,2022-05-03 16:04,,"Phim thấm dầu ok, date xa, video không liên quan chỉ mang tính chất nhận xu",,0,3,0,1.2362133e-06
18,huynhhoanhtruc,5,2022-12-02 12:00,,"Công dụng: Trị gàu
Bao bì/Mẫu mã: gọn gàng, sạch sẽ
Sản phẩm đóng gói cẩn thận, không bị đổ bể. 
Chất lượng sản phẩm đã sử dụng và rất hài lòng.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,1,0.9982357
19,l*****9,5,2022-07-10 00:31,,"Phim thấm dầu - Acnes Oil Remover Film hút dầu nhanh, đặc biệt phim chỉ hút dầu không hút mồ hôi nên không gây ảnh hưởng đến độ ẩm của da, không làm trôi lớp trang điểm, khả năng hút dầu gấp 3 lần so với các loại giấy thấm dầu thông","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,1,0.9998976
20,meonovember,5,2022-11-17 23:05,,"Hàng giao nhanh, đóng gói cẩn thận ủng hộ shop nhiều nhiều lần","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,1,0.999972
21,shopthoitrang.2411vn,5,2022-03-31 22:56,,"Giao hành cực nhanh luôn ạ, mình đặt hôm nay ngày mai đã giao rồi chất lượng sp tốt",,0,4,0,5.127756e-08
