,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,hiennntran,5,2022-10-14 11:34,,"Công dụng: chưa sài thử
Mùi hương: chanh
Dành cho da: dầu
Tưởng quà tặng như hình như mà chỉ có 25g thôi nhan","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,1,0.99970526
1,bundauhn,5,2022-11-02 17:26,,"Công dụng: Rửa mặt
Mua hàng của Acnes nhưng Shopee lại là bên đóng gói. Chắc nhãn hàng này ký gửi hàng, được cái giao nhanh như cơn gió. Mình xài Acnes rất ok. Đây là QUÀ TẶNG nhãn hàng tặng kèm.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,0.008427465
2,d*****o,5,2022-10-30 00:36,,"Công dụng: ngăn ngừa mụn
Mùi hương: vừa
Dành cho da: thường
Được hãng tặng, rất cảm kích. Sẽ ủng hộ trong thời gian dài. Chưa xài nên không biết như thế nào hì","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,6.5306374e-08
3,tranhoanghuy13,5,2022-11-03 23:58,,"Sản phẩm sử dụng tốt, giao hàng cũng okay, shipper hơi khó chịu nha ^^ nhưng mà nên mua","Sunplay xin chào bạn, Sunplay rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Sunplay . Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé. Chúc bạn vui vẻ ạ.",0,1,0,0.3668043
4,nguyentd,5,2022-10-23 04:53,,"Công dụng: dùng rửa mặt
Mùi hương: có mùi
Dành cho da: da khô và da nhạy cảm
Sản phẩm dạng gel. Chai 25gr nhỏ gọn phù hợp khi đi du lịch","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,1.3566636e-12
5,nhunguyen1093,5,2022-10-13 18:58,,"Này là quà tặng mình không ý kiến
Thấy date xa năm 2024 lận nha m.n","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,0.00058517064
6,dbtram159,5,2022-11-10 14:06,,"Công dụng: rua mat
Mùi hương: thom nhe
Dành cho da: all
Dùng rất tốt, giá rẻ . Shop giao hàng nhanh, cho 5 sao","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,3.337334e-10
7,diem51,5,2022-10-13 07:23,,"Mua gel trị mụn, đc tặng tuýp srm này, hiệu này trị  mụn tốt, tốt cho trẻ vị thành niên","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,2,0,2.9478093e-07
8,hung_baobao,5,2022-10-12 19:12,,"Công dụng: Làm sạch da
Mùi hương: Nhẹ Nhàng
Dành cho da: Mụn nhạy cảm
Hàng mới, gói kĩ đẹp, date xa đến 2024. Dc tặng kèm giá 0đ chốt đơn mùa sale","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,4.1145677e-11
9,d*****6,5,2022-11-03 18:39,,"Quà tặng này dành cho da khô, da mình da dầu nên cg chưa xài nữa 😁","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,1.7311407e-07
10,qq_2018,5,2022-10-31 19:17,,"Công dụng: rửa mặt trị mụn
Mùi hương: không
Dành cho da: da mụn
Quà được tặng, đã xài nhiều lần. Bao bì cũng ok, hàng giao không nhanh lắm.","Rohto Mentholatum Việt Nam xin chào bạn, rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Việt Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ quý khách..
",0,2,0,2.6486758e-08
11,l_oan1.2.3,5,2022-10-13 20:51,,Hàng đóng gói cẩn thận. Mình sẽ dùng thử có gì rev lại cho mn tham khảo nhoa,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,3.4239151e-06
12,t*****7,5,2022-11-04 17:41,,"Chất lượng sản phẩm tốt, giao hàng khá nhanh, hộp hơi móp nhưng hàng không sao. (Hình ảnh chỉ mang tính chất nhận xu)","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,3,0,6.0601907e-10
13,m*****4,5,2022-10-23 06:45,,giao hàng nhanh giao đúng sản phẩm hình ảnh chỉ mang tính chất nhận xu,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,0.0010523475
