,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,thutrinh.040520,5,2022-12-17 17:08,,Nghe review trên tiktok nên mua sd thử. Giá hơi chua nhưng giao hàng nhanh- có mùi kẹo . Sd có hp sẽ quay lại đánh giá,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé...",0,1,0,9.861015e-08
1,s*****3,5,2022-03-15 12:13,,"bao bì cực kì chắc chắn, shipper dễ thương, hàng đúng mẫu mã date dài được tặng gối cổ rất dễ thương",,3,1,1,0.99961156
2,kunbong2009,5,2021-11-17 15:14,,Dùng siêu thích và mềm môi luôn ạ. Rất đáng đồng tiền bát gạo 🥰🥰🥰,,1,1,0,0.17082813
3,s*****o,5,2021-11-20 14:13,,"Kiểu dáng lạ mắt, mùi rất thơm, không bị bết dính, để lâu vẫn còn độ bóng",,2,1,0,0.19990934
4,k*****y,5,2022-10-26 16:21,,"Đang sử dụng nên chưa thấy tác dụng mấy 
Sẽ update thêm 🌟🌟🌟🌟🌟🌟🌟","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,1.4625513e-07
5,huynh.thi.thuy.dung,5,2022-10-05 16:47,,"Đánh giá nhận xu
Cô tin tưởng được anh này có lẽ chỉ còn lại của mình và con","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé.",0,1,0,2.1491564e-08
6,b*****n,5,2021-10-29 13:36,,"Chất dưỡng cô đặc, mùi thơm ngọt dịu nhẹ, thoa lên không có bóng lưỡng như ăn dầu mỡ. Nhìn rất tự nhiên.",,0,2,0,8.3393054e-10
7,m*****m,5,2022-02-21 22:59,,"Đóng gói hàng cẩn thận , giao hàng nhanh , chưa sử dụng nên chưa biết như thế nào , giá thành ok .",,0,2,0,1.2593032e-05
8,hang.nguyenthanh217,5,2022-08-24 14:36,,"Mùi thơm, cũng mềm môi nhưng không có màu nhé, dù là phớt hồng cũng k có màu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,2,1,0.9085612
9,k*****8,5,2022-06-27 13:21,,Mới dùng chưa biết hiệu quả giá khá cao được tặng kèm quà chất lượng giao nhanh,,0,2,0,6.286016e-11
10,h*****5,5,2021-10-20 11:32,,Giao hàng nhanh cực kỳ luôn ấy. Chất lượng sản phẩm liostician thì khỏi phải chê rồi. Cái đầu nhấn lúc đầu hơi khó sử dụng xíu,,0,2,0,0.013209266
11,j*****5,5,2021-11-02 18:22,,Độ chống nắng chưa kiểm chứng đc. Tuy nhiên chất son ổn. Giao hàng nhanh,,1,2,0,8.612352e-09
12,t*****2,5,2021-12-17 13:03,,"Dùng mướt môi, khá ok, son dưỡng có đầu massage xịn xò, giao hàng nhanh",,1,3,0,1.832467e-06
13,thudiem48,5,2021-12-16 19:55,,Đúng sản phẩm sẽ ủng hộ giao hàng nhanh sản phẩm k liên quanzzzz,,0,3,1,0.9999933
14,js._.lqt,5,2022-02-26 14:22,,"Serum kết cấu sánh mịn, massage lên môi căng bóng, thơm ngọt dịu",,1,3,1,0.9999999
15,toyaibashi,5,2022-10-24 12:24,,"Em dùng hết màu xanh rồi nên mua thêm, tình cờ thấy màu vàng. Cũng khá được nên mua về dùng thử","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,3,0,2.472573e-09
16,k*****n,5,2022-08-14 13:52,,"Công dụng: DƯỡng môi
Giao hàng nhanh, mua được quà tặng kèm chưa sử dụng nên chưa biết chất lượng","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,1.2141148e-08
17,my.nh_8893,5,2022-04-26 14:42,,"Sp thơm, ko màu. Nên bôi ít nếu k sẽ rất bóng nhẫy môi.",,1,3,1,0.92349386
18,h*****n,5,2023-05-08 18:35,,Giao hàng nhanh. Đóng gói cản thận. Sản phẩm còn nguyên seal. 5 sao ủng hộ cho shop nhé!,,0,4,1,1.0
