,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,dengchou,5,2022-03-15 11:11,,"sản phẩm xài rất thích, đã mua 2 lần và dùng rất ưng, đáng giá tiền",,4,1,0,3.2059615e-05
1,iamti1701,5,2022-06-12 14:33,,"Công dụng: dưỡng môi
Mùi hương: thơm nhẹ
Dành cho da: khô
Khá là ok, không quá nhờn rít, thành phần nhìn xịn xò, hướng dẫn sử dụng không đầy đủ phải nhấn xuống cho kem ra rồi thoa, đầu thoa không phải loại có con lăn như mn nói",,12,1,0,1.9848244e-06
2,r*****u,5,2021-12-21 11:51,,"Giao hàng nhanh. Tuy nhiên shop đóng gói hơi sơ sài, không bọc bóng khí xốp. Hên là đi đoạn đường ngắn trong thành phố nên hộp ko bị móp méo. Hàng chính hãng còn nguyên seal làm mình rất an tâm.",,0,1,1,0.92661405
3,duong_panh,5,2022-08-10 09:23,,"Công dụng: đang xài để xem sao, bôi lên khá mượt
Mùi hương: thơm lắm
Dành cho da: đọc công dụng thấy dành cho môi khô nứt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,8.042433e-08
4,minhkhuyen_86,5,2023-04-04 08:52,,"Giao hàng cực nhanh, túi hơi móp nhưng không ảnh hưởng đến tuýp bên trong, mình đã dùng hết 1 tuýp rồi, ổn",,0,1,0,3.3456314e-14
5,xuanxuan061196,5,2023-03-18 16:01,,"Benefits: đúng
Fragrance: chuẩn
User Tips: đẹp
Hàng giao nhanh chưa sử dụng nên chua biết được không đc aex ủng hộ shop lâu dài","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.0071347114
6,h*****7,5,2023-02-05 12:44,,"Shop chuẩn bị hàng nhanh, giao hàng nhanh. Đóng gói cẩn thận. Sản phẩm mùi thơm dưỡng khá tốt","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,2,0,0.041106638
7,acewinner1412,5,2022-01-17 15:26,,"Thời gian giao hàng rất nhanh, đóng gói kĩ. Giá ổn hàng mall nên yên tâm khi đặt.",,3,2,0,0.0011808506
8,h*****2,5,2022-03-02 00:11,,"San pham trong ok, dang yeu. Chat luong co ve on. Bao bi dong goi kha can than, an toan. Giao hang tuong doi nhanh chong. Se the gioi thieu ban be de mua ung ho!",,1,2,0,0.0009912244
9,lagom2021,5,2022-11-13 20:00,,"Mình mới mua sử dụng được vài hôm thôi, nhưng cho kết quả khá là ok nhé. Mùi thơm, dễ chịu, bôi lên xong mềm môi ngay, mình dùng thấy môi có bong tróc nhẹ, k biết là do môi mình khô hay sao, nhưng bóc ra cũng k có đâu và rát gì hết, mà bôi serum lên cũng k có bị rát, môi cũng rất là mịn nữa. đáng mua lắm nhé.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",1,2,1,0.9990823
10,trangchuche123456,5,2022-11-04 00:24,,San phẩm rất chất lượng và tốt rất hợp với giá tiền đáng để mua sẽ ủng hộ tiếp 👍👍👍,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,1,0.99330866
11,der.mond,5,2021-12-10 09:39,,Hình ảnh và video chỉ mang tính chất nhận xu. Hàng giao nhanh chóng nhưng lúc đầu mình bấm mãi mà không lên nên cũng hơi lúng túng. Mong là sp sẽ cải thiện được sự nứt nẻ của môi mẹ mình,,1,2,1,0.9999962
12,acewinner1412,5,2022-01-27 20:31,,"Đóng gói sản phẩm kĩ, thời gian giao hàng nhanh. Giá ổn, dùng tốt.",,0,3,0,0.08017767
13,huong512k,5,2022-11-29 13:18,,"Công dụng: dưỡng môi1
Mùi hương: thơm
Dành cho da: môi
Giao hàng nhanh. Được tặng kèm 1 gối tựa lưng. Dưỡng môi tốt. Môi mình hay bị nứt nẻ mà dùng loại này đỡ hơn hẳn.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé.",0,3,0,0.57320625
14,lychanva,5,2022-10-20 21:14,,"Sản phẩm dùng tốt nha mn, với mùa đông như miền Bắc,ai bị nẻ môi thì nên mua ạ, dùng ngày đầu tiên đã thấy đỡ nẻ ngày thứ hai gần như không thấy khô môi nữa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,3,1,1.0
15,b*****9,5,2022-04-04 21:43,,"Mình lấy ra thử thôi mùi son nồng quá độ dưỡng ẩm ko biết thế nào
Mình update lại khá là dưỡng sâu, hơi tê xíu vì retinol nhưng dưỡng ẩm khá ổn áp, giá thì rẻ hơn 1/3 so vs dior",,0,3,0,2.5879035e-14
16,s*****0,5,2022-02-16 14:35,,"220212 뮤직코리아 팬사인회

LOVE😍

#샤오팅 #케플러 #XIAOTING #沈小婷 
#Kep1er https://t.co/e6Ewt8etRD",,1,3,1,0.99695444
17,t*****5,5,2022-08-23 14:47,,Mình quên chọn gift đi kèm nên ko có quà với mình đặt nhầm sp nhưng ko đc hỗ trợ đổi 😢😢,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,3,0,1.183481e-09
18,n*****_,5,2022-10-13 10:48,,"Công dụng: good
Mùi hương: good
Dành cho da: good
thấy quảng cáo tốt nhưng chưa dùng thử, giá cao nên mong là dùng tốt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,0,2.4324296e-20
19,vn1235_60133,5,2021-10-20 21:42,,"Chata lượng sản phẩm tuyệt vời, đóng gói siêu an toàn. Ủng hộ 5 sao",,1,4,1,0.97022
20,a*****s,5,2022-03-30 20:45,,Môi thâm sẽ lên màu khác ko giống trong hình nhưng nói chung là ok vì có đc quà tặng rất xinh,,0,4,0,4.1183546e-07
