,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,tranthihongnhungnb,5,2022-01-08 18:48,Phân loại hàng: Orange Cam Tươi Tắn,"Xinh xỉu luôn y chai trà sữa 
Giá rẽ nữa nên mua nha mọi người 
Màu chưa đánh nên chưa biết sao mà thay màu cây son là ung rồi thơm mùi cam nữa",,15,1,0,4.9088492e-05
1,hotrang1990,5,2022-04-09 23:44,Phân loại hàng: Orange Cam Tươi Tắn,Son màu đẹp lâu trôi lại còn rẻ còn có quà tặng dễ thương giao hàng nhanh nữa,,6,1,0,9.2569735e-06
2,t*****0,5,2022-06-15 10:13,Phân loại hàng: Orange Cam Tươi Tắn,Hình ảnh chỉ mang tính chất minh họa. Hàng giống trong ảnh. Mùi rất thơm,,1,1,0,1.1698436e-07
3,Người dùng Shopee,5,2021-12-28 09:03,Phân loại hàng: Strawberry Hồng Dâu,Okee lém nè nkaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,2,1,1,0.9201985
4,x*****n,5,2021-12-12 20:40,Phân loại hàng: Orange Cam Tươi Tắn,"Đánh lên môi bóng nhẹ, nhưng hơi đỏ nhiều hơn chứ k cam, mùi cam thoảng nhẹ. Giao hàng nhanh",,4,1,0,0.030703356
5,phanthihienvy_1994,5,2021-10-05 10:14,Phân loại hàng: Berry Đỏ Mọng,"Có màu son bị sai nhưng thôi dùng tạm vậy,shop giao nhanh, lần đầu mua của shop coi như cũng OK. chúc shop buôn may bán đắt.",,3,1,0,1.6025718e-10
6,redmai,5,2022-07-05 22:17,Phân loại hàng: Orange Cam Tươi Tắn,"Giao hàng nhanh , gói hàng đẹp , màu cam tự nhiên rất đẹp , tô 1 lần sẽ lên màu nhẹ , trên hình là mình tô nhìu lần nó sẽ đậm màu  ,  rất hợp với ai muốn son môi màu nhẹ nhẹ để đi học đi làm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",6,2,0,1.1839505e-09
7,phuctam441,5,2022-09-11 09:39,Phân loại hàng: Orange Cam Tươi Tắn,Mùi cam thơm nhẹ màu. Không giống cây mình đang Sài. Màu này màu đỏ cam đỏ nhiều hơn. Shop đóng gói cẩn thận,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",3,2,0,0.0010570011
8,maiquynh_05,5,2021-10-26 13:07,Phân loại hàng: Orange Cam Tươi Tắn,"giao hàng nhanh
sản phẩm màu cam có đậm hơn hình 1 xíu nhưng em lại rất ưng ạ
độ bóng vừa phải, nói chung là ưng nhưng k bt dùng về sau sẽ thế nào
nên mua nha mn",,3,2,0,1.3835901e-06
9,w*****z,5,2022-04-06 22:34,Phân loại hàng: Orange Cam Tươi Tắn,"Son cam này thì mình nghe mùi như C sủi ấy mọi người, nhưng thoang thoảng nhẹ thôi. Chất lượng ổn lắm so với giá thành như vậy, siêu mềm môi luôn, lên màu cũng tự nhiên nữa, đánh rất tiện. Nói chung vô cùng hài lòng😍😍",,2,2,0,7.790208e-08
