,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,hahakiu,5,2023-01-19 18:35,Phân loại hàng: Cherry Red,"Công dụng: duong mo va chong muoi
Mùi hương: thom nhe
Dành cho da: e be từ 6thanh tuoi
sản phẩm rất ok ạ,mọi người lên mua son dưỡng môi tốt,xịt muỗi thơm nhẹ dễ dùng cho trẻ nhỏ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,1.2709853e-06
1,salleytran88,5,2022-07-18 22:49,Phân loại hàng: Bergamot Orange,"Công dụng: dưỡng môi, có màu đỏ nhạt nhưng chưa thoa môi thử
Mùi hương: dịu nhẹ, dễ chịu
Dành cho da: nhạy cảm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,1,0,2.6455327e-10
2,trngtvy88,5,2022-09-25 21:30,Phân loại hàng: Rasberry Pink,"mua cây thứ 2 son thơm lên màu nhẹ ok, ship rất lâu,","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",5,1,0,0.001338386
3,thuytientunhien,5,2021-12-09 18:57,Phân loại hàng: Cherry Red,"Đã test rất oke la nhé cả nhà ơi rẻ nữa chứ 
Cảm ơn shop nhé, lân sau sẽ ung hô",,4,1,0,2.0444027e-10
4,kimhoavt12345,5,2022-06-09 09:32,Phân loại hàng: Bergamot Orange,"Tai khoan cua
Quy khach
khong du de
dang ky DV Tich
diem trung qua.
Quy khach vui
long nap them
tien vao tai
khoan va soan XN4 gui 9268
(2.000d/ngay).
Chi tiet soan HD
gui 9268.",,1,1,1,0.9775923
5,lttrucngoan,5,2022-03-06 01:34,Phân loại hàng: Cherry Red,Son dưỡng ẩm môi .màu lên môi tự nhiên . Đẹp lắm . Sẽ ủng hộ shop,,1,1,0,0.00065818254
6,tina0909_,5,2023-01-08 16:43,Phân loại hàng: Rasberry Pink,"Công dụng: dưỡng ẩm môi
Mùi hương: thơm ngọt
Son màu đẹp, có mùi thơm trái cây như kẹo ngọt, hai màu là 2 mùi khác nhau. Cây màu cam lên màu đậm hơn cây hồng. Vì là son dưỡng nên độ bám màu không được lâu như các dòng son khác. Nói chung là ai thích kiểu trang điểm tự nhiên hoặc thích dưỡng có màu thì loại này đáp ứng được tiêu chí ngon bổ rẻ nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",5,2,0,3.3475992e-13
7,min_yoongi_nntq,5,2021-12-02 11:50,Phân loại hàng: Bergamot Orange,"Son thơm, màu đẹp, giao hàng nhanh, mình cực kì ưng lun í 😍",,4,2,0,0.00062590395
8,t*****n,5,2021-12-15 21:17,Phân loại hàng: Cherry Red,Giao hàng nhanh lắm luôn dù chậm hơn dự kiến 1 ngày. Nhưng mà mình có noyte rằng ko cần bọc hàng quá cầu kì đâu nhưng lại bọc cho mình cái hộp to chà bá với bao nhiêu xốp huhu. Để mấy bữa nữa mh quay lại fb chất lg nha,,2,2,0,1.623371e-07
9,khuudiemthuy,5,2021-09-11 18:41,Phân loại hàng: Rasberry Pink,"Mấy sản phẩm này mình đã xài quen thuộc rồi nên ko có j phàn nàn cả, tuy dịch nhưng giao hàng vẫn nhanh. Săn đc sale giá tốt mà còn đc tặng thêm kcn nữa.",,3,2,0,7.632471e-11
10,k*****4,5,2022-11-25 21:37,Phân loại hàng: Rasberry Pink,"Công dụng: Dưỡng ẩm cho môi
Mùi hương: Thơm mùi rasberry
Dành cho da: Môi khô
Son cầm chắc tay, mềm mướt, mùi thơm, dưỡng ẩm tốt, màu hồng tự nhiên.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,2,0,1.0827569e-06
11,tinhahihi2608,5,2021-11-08 17:23,Phân loại hàng: Bergamot Orange,"Thời gian giao hàng đúng so với dự kiến . Chất son mềm mịn , lên màu đẹp lắm ạ . Nói chung ưng lắm. Mn nên mua nha .",,8,2,0,6.116616e-10
12,v*****7,5,2022-01-24 10:44,Phân loại hàng: Bergamot Orange,Ok .rất thích chưa đánh thử nhg hãng này mua k biết bao lần r. Tín đồ của hãng này luôn nha .,,1,3,1,1.0
13,svgxlj4umz,5,2022-03-08 15:58,Phân loại hàng: Cherry Red,"Son dưỡng mềm môi, lên màu cũng đc mỗi tội đóng gói hơi sơ sài thôi k sao",,0,3,0,0.005146413
14,huonggiang4789,5,2022-08-05 06:53,Phân loại hàng: Bergamot Orange,"Dùng được bé từ 6 tháng tuổi. Mùi hương dễ chịu. Giá khá ổn, giao hàng nhanh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,0.36500534
15,p*****4,5,2021-11-21 22:55,Phân loại hàng: Cherry Red,"Shop chuẩn bị hàng giao nhanh, son lên màu đỏ, có mùi thơm thơm",,4,3,0,8.6764e-05
16,loveparkjiminie,5,2021-09-04 11:50,Phân loại hàng: Bergamot Orange,Son rất xịn xò nha quý zị vặn hết cỡ lên thấy dài ngoằn ngoẽo 😂 mùi thì thơm nồng cũng kbt là mùi j nx nhưng cũng khá ok đó son mướt đẹp màu cam cháy thặc tuỵt zời tôn da cực giá cả phải chăng... Nên mua nên mua,,0,3,1,0.9999875
17,t*****_,5,2022-06-10 10:56,Phân loại hàng: Cherry Red,"Son mùi rất thơm nhưng hơi lỏng lẻo, lúc mình mở nắp đã thấy son bị sứt 1 ít rồi",,1,3,0,2.5703604e-11
18,nhatlinh_92,5,2021-10-24 18:47,Phân loại hàng: Cherry Red,"Son dưỡng ok lắm lun,màu tự nhiên 👍👍👍👍👍👍
Chỉ có điều muốn mua 1 lần nhìu sp hok đc vì bị tách đơn 😂😂",,0,4,0,1.3642445e-14
19,nguyenmyhang0801,5,2022-11-05 21:53,Phân loại hàng: Bergamot Orange,"Công dụng: dưỡng môi tốt
Mùi hương: mùi socola
Dành cho da: mọi loại da
Lên màu đẹp giữ màu lâu. Mùi thơm. Rất thích lip ice luôn. Tặng kèm móc khóa xinh xinh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,4,0,1.5456498e-14
