,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,binhan545,5,2023-01-16 07:19,Phân loại hàng: Hương dâu nồng nàn,"Công dụng: dưỡng môi
Mùi hương: Hoa hồng
Dành cho da: khá tốt, mướt, mịn
Nên mua nha. Dưỡng đỉnh, thơm với có lên màu hồng nhạt đẹp lắm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,5.4775425e-12
1,h*****m,5,2022-03-28 12:52,Phân loại hàng: Hương tinh khiết,"Sản phầm xài tốt, màu hồng nhẹ nhàng tự nhiên , không mùi nên không gây khó chịu, mềm môi",,2,1,0,0.0027368807
2,l*****0,5,2023-01-29 01:04,Phân loại hàng: Hương táo ngọt lịm,"Mới dùng lần đầu tiên thấy ổn, có thể mua thêm cho người thân! >_<","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,1,0.94333535
3,tiemcuangan1919,5,2022-09-11 11:30,Phân loại hàng: Hương tinh khiết,"Công dụng: son môi
Mùi hương: dễ chịu
Dành cho da: nhiều da
Son môi quốc dân hehe đùa chớ hơn chục năm trước đã tin dùng rồi, giờ có nhiều sự lựa chọn quá em nó bị lãng quên chớ ổn áp lắm nha, sẵn mua son tặng mẹ nên mua thỏi này luôn
Son này thì không bàn cãi rồi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,1,0,5.552444e-06
4,tupishop,5,2022-08-19 18:34,Phân loại hàng: Hương tinh khiết,"Công dụng: môi hồng tự nhiên
Mùi hương: không mùi
Hàng chính hãng nên rất yên tâm. Mình mua cho mẹ dùng. Lên màu hồng tự nhiên","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",1,1,0,1.0388348e-05
5,n*****5,5,2023-03-24 09:21,Phân loại hàng: Hương tinh khiết,"User Tips: bao bì ok dù làm bằng nhưa
Beauty Profile: xoay son ok
Ok ko có mùi hương gì hết
Có màu là hồng , tông hồng chủ đạo
Bạn nào môi thâm cẩn thận dùng loại đó lên màu gì mk cũng bt à nha
Môi bmk bình thường,màu nhợt nhạt thôi chứ ko thâm, bôi lên ko phải hồng cánh sen, bôi một lớp mỏng thì chấp nhận đc 
Chứ bôi dày nó kì lắm",,0,1,1,0.9923307
6,binhan545,5,2023-01-16 07:19,Phân loại hàng: Hương dâu nồng nàn,"Công dụng: dưỡng môi
Mùi hương: Hoa hồng
Dành cho da: khá tốt, mướt, mịn
Nên mua nha. Dưỡng đỉnh, thơm với có lên màu hồng nhạt đẹp lắm","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,2,0,5.4775425e-12
7,h*****m,5,2022-03-28 12:52,Phân loại hàng: Hương tinh khiết,"Sản phầm xài tốt, màu hồng nhẹ nhàng tự nhiên , không mùi nên không gây khó chịu, mềm môi",,2,2,0,0.0027368807
8,l*****0,5,2023-01-29 01:04,Phân loại hàng: Hương táo ngọt lịm,"Mới dùng lần đầu tiên thấy ổn, có thể mua thêm cho người thân! >_<","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,1,0.94333535
9,tiemcuangan1919,5,2022-09-11 11:30,Phân loại hàng: Hương tinh khiết,"Công dụng: son môi
Mùi hương: dễ chịu
Dành cho da: nhiều da
Son môi quốc dân hehe đùa chớ hơn chục năm trước đã tin dùng rồi, giờ có nhiều sự lựa chọn quá em nó bị lãng quên chớ ổn áp lắm nha, sẵn mua son tặng mẹ nên mua thỏi này luôn
Son này thì không bàn cãi rồi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,2,0,5.552444e-06
10,tupishop,5,2022-08-19 18:34,Phân loại hàng: Hương tinh khiết,"Công dụng: môi hồng tự nhiên
Mùi hương: không mùi
Hàng chính hãng nên rất yên tâm. Mình mua cho mẹ dùng. Lên màu hồng tự nhiên","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",1,2,0,1.0388348e-05
11,n*****5,5,2023-03-24 09:21,Phân loại hàng: Hương tinh khiết,"User Tips: bao bì ok dù làm bằng nhưa
Beauty Profile: xoay son ok
Ok ko có mùi hương gì hết
Có màu là hồng , tông hồng chủ đạo
Bạn nào môi thâm cẩn thận dùng loại đó lên màu gì mk cũng bt à nha
Môi bmk bình thường,màu nhợt nhạt thôi chứ ko thâm, bôi lên ko phải hồng cánh sen, bôi một lớp mỏng thì chấp nhận đc 
Chứ bôi dày nó kì lắm",,0,2,1,0.9923307
12,maihuenguyenthi97,5,2022-08-01 17:16,Phân loại hàng: Hương tinh khiết,"Công dụng: Duong moi
Mùi hương: thom
Dành cho da: moi loai da
hf m m. hzh. b vj. j hsh h h. hdj j k jfj j. j","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,3,0,1.0178734e-07
13,nloan8,5,2022-12-28 16:13,Phân loại hàng: Hương táo ngọt lịm,Sản phẩm ok không quá đặc sắc. Dùng chắc ok. Hàng chính hãng nên yên tâm.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,0.2362452
