,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,diemkieu056,5,2023-04-03 07:00,Phân loại hàng: Red ,"Bao bì: oke ổn
Lợi ích: dưỡng môi
Kinh nghiệm sử dụng: hhshwhwhhshehehehehhevrbdbrbrbebhrbghcv",,0,1,0,1.9558636e-11
1,dangthuylinh10,5,2023-02-20 09:42,Phân loại hàng: Rose ,"Màu nhẹ nhưng, có mùi thơm ngọt ngào, giao hàng nhanh, giá hợp lý","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",2,1,0,3.257852e-08
2,y*****i,5,2023-02-20 12:05,Phân loại hàng: Red ,"Shop Giao hàng nhanh,son lên màu đẹp như quảng cáo,có mùi thơm ngọt dễ chịu.dùng hết sẽ mua nữa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",3,1,0,7.0721114e-07
3,o*****6,5,2023-02-03 18:20,Phân loại hàng: Orange ,"Công dụng: son môi
Mùi hương: cam
Dành cho da: môi
Với tính năng dịch song ngữ giọng nói và cuộc hội thoại, Với tính năng dịch song ngữ giọng nói và cuộc hội thoại, hỗ trợ lên đến 32 ngôn ngữ trên Android và 43 ngôn ngữ trên nền tảng iOS, Google Dịch là công cụ đắc lực cho bạn, giúp bạn có thể dễ dàng đi bất kì đâu mà không lo bất đồng ngôn ngữ.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,1,0,1.08521e-08
4,t*****1,5,2022-06-11 20:52,Phân loại hàng: Orange ,"Công dụng: dưỡng môi
Mùi hương: k biết
Dành cho da: tất cả
🌺Ai da đẹp thì lướt qa
Ai da xấu bị mụn nám da không đều màu thì dừng khoảng chừng là 2s để ib e nhé😁
Hứa sẽ giải quyết hết mọi vấn đề về da, trả lại làn da khỏe đẹp cho chị e mình nha😘",,3,1,0,1.8997158e-08
5,nhi_muse0803,5,2023-04-04 16:42,Phân loại hàng: Orange ,"Hương thơm: thơm
Kinh nghiệm sử dụng: k bt nx
Làm đẹp: yahh
Đóng gói hơi cẩu thả nhưng mà sản phẩm được",,0,1,0,0.0011495376
6,xuongmaytoptrend68,5,2022-11-07 13:37,Phân loại hàng: Orange ,"Công dụng: dưỡng ẩm
Mùi hương: thơm
Dành cho da: môi
Hàng y hình, hồng nhẹ, mùi hương thơm nhẹ dễ chịu. Hình ảnh và video mang tính nhận xuu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",3,2,0,4.3039816e-09
7,huhutt,5,2022-10-05 13:05,Phân loại hàng: Pink ,mua hộ nên không có ảnh nhưng phản ánh tốt giao hàng nhanh vậy thui,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé.",2,2,0,0.046581537
8,h*****9,5,2022-07-27 12:48,Phân loại hàng: Rose ,Shipper rất thân thiện và đặc biệt là giao hàng siêu nhanh nha. Còn về chất lượng thì mình chưa dùng lên chưa thể đánh giá chi tiết được.,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,2.6996376e-09
9,thisenrina,5,2022-09-11 12:50,Phân loại hàng: Rose ,"Công dụng: son dưỡng mềm môi
Mùi hương: ngọt thơm
Giao hàng nhanh chóng, sản phầm chất lượng, có màu hồng nhẹ, rất xinh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",3,2,0,1.1007662e-11
