,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,Người dùng Shopee,5,2023-01-05 11:59,Phân loại hàng: Red,"Công dụng: Dưỡng môi
Mùi hương: Dâu thoang thoảng
Dành cho da: Môi khô nứt nẻ
Có son mà dc thêm móc khóa thật sướng, màu sắc de thương chưa sd nên không biết có lên màu không cảm ơn shop - nhà vận chuyển - shipper💯💋","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",10,1,0,1.09773195e-08
1,ovr_4_3gof,5,2023-02-05 22:04,Phân loại hàng: Matcha,"Công dụng: dưỡng môi
Mùi hương: matcha
Hương matcha thơm như mùi socola nama vị matcha , mới mua về ngửi phát chỉ muốn ăn , giao nhanh , shop cute còn tặng kèm móc khoá hello kitty , hàng đóng gói cẩn thận , kĩ càng , nhìn là biết hàng chính hãng , đáng tiền , màu đẹp hợp da chất lượng","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",4,1,0,6.6584394e-12
2,trangpham1681991,5,2022-11-07 21:57,Phân loại hàng: Red,"Công dụng: dưỡng môi
Mùi hương: mochi dâu
Dành cho da: tất cả
Hàng của hãng luôn chất lượng, giá ổn, hình kitty dễ thương, giao nhanh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",4,1,0,5.998888e-12
3,thaohienalice,5,2022-12-05 23:14,Phân loại hàng: Choco Mint,"Dành cho da: gì cũng dùng được
Công dụng: dưỡng môi
Mùi hương: socola, dâu
Xinhhhhhhhhhhh . Jdnsksmaknasjhdvsjsbsushsvshshabsvhshsbsvshshsvsghsvshsnsvdjsnsjsbzvxxndndndnsjdjsjsjsjjsnsdhdjshdhdvhdhsjshsgdusjhssggshsvsgshs","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",6,1,0,8.221267e-14
4,mkcffiqax8,5,2022-11-07 19:23,Phân loại hàng: Red,"Công dụng: dưỡng  môi
Mùi hương: thơm
Dành cho da: Mọi  loại da
Son chất  lượng  giao hàng  nhanh nên  muadfggggggggfffffgggggggggggggggggggh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",4,1,0,4.0326572e-13
5,b*****9,5,2022-10-16 10:06,Phân loại hàng: Red,"Hàng giao đúng thời gian, màu đẹp, được tặng thêm túi đựng dễ thương 😍😍","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,1,0,0.00020471118
6,chankimah,5,2022-11-03 12:55,Phân loại hàng: Red,"Bao bì xinh xỉu 😍 mình ko đọc kĩ tưởng Ardent là ko màu, hóa ra có lên màu hồng nhẹ. Chất son mềm mịn vừa phải thích hợp làm son lót trước khi tô son lì","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",30,2,0,2.795976e-11
7,dothuy854,5,2022-10-16 11:27,Phân loại hàng: Red,Thương hiệu mỹ phẩm gắn liền với tuổi trẻ. Hình thức đáng yêu. Túi xịn xò. Chất lượng sản phẩm tốt.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",6,2,1,0.99965096
8,v6oja5tv1q,5,2023-04-05 20:31,Phân loại hàng: Choco Mint,vừa sử dụng thì môi mềm nhưng lâu thì khô nha. Son làm môi cực xinh lun 😍,,0,2,0,0.02996788
9,q*****2,5,2023-01-31 13:45,Phân loại hàng: Red,"Công dụng: son dưỡng
Mùi hương: thơm mùi hoa anh đào
Dành cho da: da môi không quá khô
- Giao hàng nhanh 
- Cây son dưỡng nhìn cũng dễ thương 
- Cái chỗ vặn son của cây này mình thấy lỏng lẻo hơn cây cô bé xô trước mà mình dùng
- Màu này thì mình thấy ổn, nhìn Hồng ửng cũng nhẹ nhàng nhưng vẫn có base hồng cánh sen đặc trưng của son lipice 
- Chất son thì chỉ dành cho những bạn môi ko bị khô quá nhiều để dùng ban ngày thì đc chứ chất son này dưỡng chưa tốt lắm đâu
- Son có mùi hoa anh đào nồng lắm ý, riêng mình thì ko thích mùi này lắm, ai nhạy cảm hương liệu cũng nên cân nhắc 
- Nhìn chung thì tiền nào của nấy thôi, son giá rẻ hợp túi tiền nhiều người tuy nhiên chất lượng thì mình thấy ở mức chấp nhận đc thôi, với những ai mà môi nứt nẻ quá nhiều nên dùng các loại son dưỡng khác tốt hơn hoặc mặt nạ ngủ môi chứ ko hợp dùng cây này đâu á","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",3,2,0,3.2518474e-05
