,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,n*****8,5,2023-01-06 11:22,Phân loại hàng: Tự nhiên ,"Công dụng: duong moi
Mùi hương: thom
son tốt nha , giao nhanh , đánh lên môi mát mát the the dưỡng ổn lắm ạaa","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",4,1,0,4.8331353e-06
1,gold.per,5,2022-11-16 22:04,Phân loại hàng: Dâu ,"Son mùi thơm,đánh lên mềm môi,người lớn và trẻ em đều dùng được ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",4,1,0,0.033643343
2,l*****n,5,2022-03-06 01:34,Phân loại hàng: Táo ,Son dưỡng của hãng này k cần phải bàn thơm lắm ạ . Sẽ quay lại unhr hộ shop tiêpz,,3,1,0,3.2363663e-05
3,_*****_,5,2022-05-07 10:08,Phân loại hàng: Lựu ,"Giao hàng nhanh tầm 2 đến 3 ngày là tới r
Son thơm và chất lượng mn nên mua nha",,6,1,0,1.13085825e-10
4,t*****1,5,2022-06-11 20:52,Phân loại hàng: Tự nhiên ,"Công dụng: dưỡng môi
Mùi hương: k mùi
Dành cho da: tất cả
🌺Ai da đẹp thì lướt qa
Ai da xấu bị mụn nám da không đều màu thì dừng khoảng chừng là 2s để ib e nhé😁
Hứa sẽ giải quyết hết mọi vấn đề về da, trả lại làn da khỏe đẹp cho chị e mình nha😘",,2,1,0,1.2510723e-07
5,phongknghim,5,2022-09-23 15:40,Phân loại hàng: Dâu ,"Công dụng: son dưỡng môi
Mùi hương: dâu
Dành cho da: nức nẻ
Cực kỳ tốt nhe, mùi hương thích cực, lần sau sẽ tiếp tục ủng hộ Shop 
Hình ảnh chỉ mang tính chất nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",3,1,0,0.5896802
6,p*****h,5,2022-06-30 08:33,Phân loại hàng: Tự nhiên ,H du he he ua he  udncbwu nươchwbcyanwucbeytbcbdiq jd ru bẹ  eu  ưud ẽ,,3,2,1,0.9999999
7,hang05122002haha,5,2021-08-23 18:58,Phân loại hàng: Chanh ,Giao hàng hơi chậm. Do dịch covid 19. chứ cũng không ai muốn. Vì là shoppe mail nên yên tâm là hàng chính hãng Nha,,3,2,0,0.004090938
8,nguynngcht014,5,2022-04-11 10:22,Phân loại hàng: Táo ,"Nên mua nha mọi ngừ
Mik thấy sài cx ok á
Mùi thơm nhưng đối với mik hơi hắc zíu
A ship per thân thiện",,3,2,0,8.60858e-06
9,chuotnailboxx,5,2022-05-12 14:59,Phân loại hàng: Tự nhiên ,"Mua lần đầu 
Dưỡng khá ổn hơi the the mát mát môi rất thích 
Giao hàng nhanh chóng",,3,2,0,2.7086289e-08
10,k*****9,5,2022-05-17 14:50,Phân loại hàng: Táo ,"Này mình mua giùm bạn
giao hàng nhanh
Ko mở hộp nhưng vẵn thơm nha 💯💯",,2,2,1,0.8854635
11,y*****8,5,2022-03-06 12:12,Phân loại hàng: Tự nhiên ,"Mình đi mua hộ nên cx k bt ntn
Đóng gói hàng chắc chắn 
Giao nhanh",,2,2,1,1.0
12,nguyenlehavyy.206,5,2022-07-20 01:09,Phân loại hàng: Tự nhiên ,"Công dụng: dưỡng thâm môi
Dành cho da: da môi
dùng hiệu quả lắm môi mình bớt thâm và khô môi hơi hẵn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,0.040638186
13,dangkhoa3711,5,2021-10-06 09:16,Phân loại hàng: Dâu ,Chưa dùng nên không biết sẽ như thế nào nữa nhưng đóng gói okê và giao nhanh,,1,3,0,0.5440191
14,anniiie97,5,2022-12-13 19:34,Phân loại hàng: Lựu ,"Shop giao hàng nhanh đóng gói cẩn thận lắm nha
Lăn khử mùi và son dưỡng mùi khá thơm 
Mn nên mua thử nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,3,0,5.929369e-13
15,nguyenthuyduong28101986,5,2022-09-11 16:04,Phân loại hàng: Tự nhiên ,"Lâu lắm mới mua dưỡng của LI. Vì dưỡng ẩm chưa thực sự hoàn hảo. 
Giá thành phải chăng
Nổi tiếng tự nhiên 
Nên chọn dùng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",3,3,0,9.151666e-11
16,truongphuongk,5,2022-03-20 15:31,Phân loại hàng: Tự nhiên ,"Son đẹp lắm , được tặng 1 thỏi son dưỡng , son đủ dưỡng màu đẹp,₫/&,!&",,2,3,0,2.6427722e-07
17,3*****h,5,2022-06-12 12:13,Phân loại hàng: Lựu ,"Công dụng: dưỡng môi
Mùi hương: lựu
Dành cho da: môi
Hàng giao nhanh , mới đặt hôm qua mà hôm nay đã có 
Không biết dưỡng có tốt không nhưng mùi rất thơm 
Phù hợp với túi xiền học sinh",,2,3,0,1.254749e-07
18,b*****n,5,2022-01-25 22:58,Phân loại hàng: Táo ,"Giao hàng nhanh , đóng gói oke nói chung shop rất okla lun đó mn, shoppe mall nên là yên tâm rồi...mn nên mua nhaaaa!!",,2,4,0,1.776051e-07
19,zinzin2.0.0.8,5,2022-04-28 11:18,Phân loại hàng: Dâu ,Son khá ok độ dưỡng ẩm khá phù hợp. Giá tiền thì dành cho hs & sv. Mùi đâu khá thơm lun á,,1,4,0,8.182498e-11
20,c*****7,5,2022-03-16 19:29,Phân loại hàng: Dâu ,"Son dưỡng Lipice đã sài rất nhiều lần rồi, son thơm mùi dâu vs mềm môi, thời gian giao hàng nhanh mới đặt hqua mà hnay đã nhận được hàng rồi cồn được tặng cái gối cổ đi du lịch nữa",,0,4,0,0.3847207
21,k*****q,5,2022-04-06 16:36,Phân loại hàng: Lựu ,"Thơm, mịn mềm mỏng",,0,4,1,0.88547426
