,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,abay120593,5,2023-02-18 13:04,Phân loại hàng: Natural ,"Công dụng: duong moi
Mùi hương: k mui
Dành cho da: môi
Giao nhanh dung ok k nặng môi nhung ma hoi bé nha  se mua them loai có màu ne","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,1,0.9817656
1,trinhvannd,5,2022-11-02 12:36,Phân loại hàng: Bergamot ,"Công dụng: dưỡng môi
Mùi hương: không mùi
Dành cho da: thường
Đã dùng nhiều lần và muốnbmua lại để dùng tiếp. Hình ảnh và video để nhận xu.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,3.4147298e-18
2,cutieanimal,5,2022-07-08 22:45,Phân loại hàng: Bergamot ,"đang dùng sp ngày đầu tiên, ok, sẽ ghi nhận thêm, chúc shop buôn may bán đắt
Tẩy chay Ngọc Hoyer Family buôn bán kem trộn lừa đảo","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,1,0.987839
3,namkhoa067,5,2022-06-01 17:17,Phân loại hàng: Bergamot ,"Công dụng: rất tốt
Mùi hương: rất thơm
Dành cho da: phù hợp chất lượng rất tuyệt vời với da trắng mịn màng",,0,1,1,0.9002024
4,s*****h,5,2022-07-01 15:38,Phân loại hàng: Natural ,"Công dụng: cHưa dùng
Mùi hương: chưa
Dành cho da: chưa
Chưa dùng nên chưa biết sao, khi nào dùng sẽ quay lại đánh giá","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,9.136122e-12
5,2*****4,5,2023-01-28 11:09,Phân loại hàng: Bergamot ,"Công dụng: ok
Mùi hương: thơmmm.
Dành cho da: mọi loại da
Thơm mua lần n rùi mà vẫn okk","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.00058491994
6,n*****h,5,2022-03-07 09:20,Phân loại hàng: Natural ,"Giao hàng nhanh(2 ngày là nhận đc r)
Giao đúng mẫu
Phần nắp hơn lỏng một xíu
Shop đóng gói chắc chắn
Tuy mình đặt có một cây son thoiii mà shop vẫn để vào hộp, trong rất chỉnh chu
Son lên môi khá êm,do mình sài son này nhiều rồi nên không biết nói gì nhiều,nói chung là nên mua.
Sẽ ủng hộ shop tiếp.",,0,2,0,6.8639847e-06
7,n*****4,5,2022-04-21 21:11,Phân loại hàng: Natural ,Okay so I'll have to wait until the end is done and then I'll get,,3,2,0,0.02874792
8,kiwiingon25,5,2022-10-19 15:38,Phân loại hàng: Mixed Lemon,"Công dụng: dưỡng môi
Mùi hương: hương chanh
Dành cho da: mọi loại da
Đóng gói hàng cẩn thận, giao hàng nhanh, son thơm lắm, chưa dùng nên chưa biết có hiệu quả không nhưng từng mua ở siêu thị dùng tốt lắm nên mới muốn mua tiếp nhưng không còn bán ở ngoài nữa.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,1,0.9914419
9,l*****3,5,2022-12-22 09:07,Phân loại hàng: Bergamot ,"Công dụng: dưỡng ẩm.
Mùi hương: bình thường
Dành cho da: mọi loại da
Son nhỏ gọn, dưỡng ẩm khá tốt, hương bình thường không quá thơm.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,2.264845e-12
