,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,tmthanhtrnh604,5,2023-04-04 11:59,Phân loại hàng: Mojito Mint,"Son xinh, mùi thơm nhưng mà mùi đào hơi nồng. Mua đc tặng móc khoá , shop giao nhanh, nhiệt tình",,0,1,0,0.40388533
1,nguyenphamlun110,5,2022-05-08 11:59,Phân loại hàng: Mojito Mint,"Hàng ship nhanh lắm, son mint có vị bạc hà thơm xỉu đánh lên môi nó cứ the the đã lắm nhưng thích mint bao nhiêu thì trà sữa lại không ưng bấy nhiêu cái mùi nó ghê lắm luôn đánh lên môi thì kiểu mùi sao í nhưng cũng cố gắng chấp nhận 😢, bạn nào mua né cái mùi này ra nha.",,10,1,0,6.7903677e-10
2,Người dùng Shopee,5,2023-01-05 11:59,Phân loại hàng: Mojito Mint,"Công dụng: Dưỡng môi
Mùi hương: Bạc hà
Dành cho da: Môi khô nứt nẻ
Màu sắc rất xinh, cầm chắc tay mùi hương thơm dễ chịu cảm ơn shop - nhà vận chuyển - shipper 💯😍","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,2.4163674e-06
3,khanhan_lenguyen,5,2021-09-10 13:58,Phân loại hàng: Choco Mint,"Màu hơi đậm (thay đổi theo nhiệt độ môi), dưỡng hơi ít, ko đc lâu, màu bền lắm nha, có mùi socola thơm nhức náck, đánh lên ban đầu hơi ửng hồng, đc 1 lúc đậm lắm. Mà có hơi the the của bạc hà đã lắm nka!!! Lười chụp nên hình ảnh mang tính chất minh hoạ. Bdkaorvfbowjebrfkoaebjowhrvgofekkrbtbbckxkwheg",,4,1,0,0.00022046652
4,m*****1,5,2022-04-05 09:53,Phân loại hàng: Cô bé Xô,"Giao hàng siêu nhanh ý ạ, son trông mới nguyên, xinh xắn. Đóng gói hơi kỳ haha, thỏi son bé mà shop bỏ hẳn hộp to",,4,1,1,1.0
5,thaomy2317,5,2021-09-19 10:44,Phân loại hàng: Choco Mint,"Xài loại này cũng lâu rồi, thấy dưỡng môi khá êm. Đợt này mua thử 2 loại mới này, giao hàng nhanh, giá cũng ok. Sẽ ủng hộ tiếp!",,2,1,0,0.39600593
6,mikita_1209,5,2022-08-25 13:49,Phân loại hàng: Thỏ 7 màu,"Son dưỡng này k mềm môi đâu ý, chỉ lên màu và bóng chút. Mùi trà đào siêu thơm. Thôi mà đc cái giao hàng nhanh vải🐸","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",4,2,0,5.9763014e-11
7,0or0ttbam3,5,2022-03-18 15:18,Phân loại hàng: Mojito Mint,"Theo nhiều nguồn tham khảo đáng tin cậy thì đa số người tiêu dùng cho biết: họ tin tưởng vào sự giới thiệu của người khác, cho dù họ không quen biết những người này hơn là tin tưởng vào các quảng cáo từ doanh nghiệp.

Người dùng có xu hướng tự chọn kênh mà họ muốn xem, tham khảo những nguồn tin mà h",,0,2,0,0.0033820323
8,thuhienthu1975,5,2021-09-19 13:20,Phân loại hàng: Choco Mint,"Giao hàng nhanh, đóng gói đẹp, chắc chắn. Hàng giống như ảnh quảng cáo",,1,2,0,0.0010454202
9,q*****i,5,2022-10-13 13:31,Phân loại hàng: Mojito Mint,"Hình ảnh chỉ dùng nhận xu. 
Hàng đúng mô tả. Giao hàng nhanh, đóng gói cẩn thận.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,2,1,0.8025916
10,n*****h,5,2022-06-03 00:19,Phân loại hàng: Mojito Mint,"Công dụng: Làm nâng màu môi, dưỡng môi
Mùi hương: soda chanh
Dành cho da: mọi loại da
Hàng xinh, lên màu đẹp, shipper vui vẻ nhiệt tình. Cho shop 5 sao.",,0,2,1,0.968778
11,p*****0,5,2022-10-14 20:01,Phân loại hàng: Mojito Mint,"Công dụng: dưỡng môi
Mùi hương: hương chanh bạc hà,  dâu nồng nàng
Dành cho da: Mọi loại da
Công dụng dưỡng môi tốt, giao hàng hơi lâu xíu, nhưng bù lại chất lượng tuyệt vời, đóng gói cẩn thận","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,2,0,0.31906298
12,pcancer,5,2023-04-06 12:14,Phân loại hàng: Mojito Mint,"Đặt hôm 4/4 nay 6/4 giao tới!! Vỏ màu sắc đẹp, chất son màu son cũng đẹp nữa!!",,0,3,0,9.632806e-06
13,phunglichnb,5,2022-08-16 15:32,Phân loại hàng: Thỏ 7 màu,"Giao hàng siêu nhanh luôn. Son thơm mùi dâu, mùi đào ngọt lịm, đánh siêu mềm môi. Màu hồng đào xinh lắm ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",2,3,0,0.00014251663
14,christianalouis,5,2022-03-17 17:36,Phân loại hàng: Matcha,Nhận hàng 1 cách thần tốc. Son dưỡng khá ẩm và giữ ẩm khá lâu. Màu son hơi sến 1 tý.,,2,3,0,0.019150283
15,Người dùng Shopee,5,2021-11-13 23:07,Phân loại hàng: Cô bé Xô,"Săn sale vs giá 15k nè hihihi chưa sd nữa nhưng mình là fan của Thỏ 7 màu, team ông 5 Hên nè😆😆😆ship khá nhanh đặt ngày 2/11 -5/11 nhận đc r. Vote 5sao cho tốc độ của rohnto và unilever😚❤❤❤mãi iu",,1,3,0,4.6768408e-05
16,phuongshyn1102,5,2021-10-14 13:39,Phân loại hàng: Cô bé Xô,Khá thấy vọng với sản phẩm lên,,1,3,0,0.006658774
17,bgivrxbe6f,5,2022-11-22 17:13,Phân loại hàng: Thỏ 7 màu,"Công dụng: dưỡng môi
Mùi hương: trà đào
Giao hàng rất nhanh.
Son mùi thơm,màu bôi lên nhạt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,3,0,1.2838841e-14
18,ducminh_0,5,2021-12-15 16:27,Phân loại hàng: Mojito Mint,"Bao bì ổn định, son tô lên rất mướt, thơm mùi bạc hà. Chất lượng tốt",,2,4,0,1.0826115e-05
19,m3x2xw7q37,5,2022-03-19 16:18,Phân loại hàng: Matcha,Son tuỵt lắm ạ ship siêu nhanh luon màu rất uki mình nghĩ mọi người nên mua ạ♡^^,,0,4,1,0.99985147
20,btran_1808,5,2022-07-18 16:36,Phân loại hàng: Cô bé Xô,￼Muối Tắm Sữa A Bonne Spa Milk Salt Làm Trắng & Mềm Mịn Da 350g - Dạng túi có vòi,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,0,1.9403044e-09
21,thanhtha06,5,2023-02-26 08:20,Phân loại hàng: Mojito Mint,"Công dụng: dưỡng ẩm môi
Mùi hương: chanh bạc hà
Dành cho da: mọi loại da
Đóng gói cẩn thận giao hàng nhanh","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,1,0.9913312
22,hung1329,5,2023-01-08 10:15,Phân loại hàng: Mojito Mint,Oke nha. Mua dùm nên ko biết sao. Mà ng mua đang bầu nên chắc xài tốt,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,0,0.6968512
23,tieuthitdong.1804,5,2022-09-13 23:11,Phân loại hàng: Choco Mint,"Mùi hương: socola bạc hà
Công dụng: Dưỡng môi có màu
Thấy mọi người kêu mùi ko thơm nhưng vẫn mua thử. Ơ mùi socola bạc hà thơm lắm nha. Mỗi tội đánh mấy lần vẫn chỉ hơi hơi hồng. Để 1 lúc lo biết có lên màu nữa ko. Nhg vẫn ổn áp nhé. Mấy bé hs đi học dùng oke lắm nè vì màu chỉ phớt phớt thôi.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",3,4,0,3.835245e-06
