,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,99lieungo,5,2023-02-18 14:55,,"Công dụng: dưỡng môi
Mùi hương: không mùi
Dành cho da: mọi loại da
Shop chuẩn bị hàng nhanh,giao đủ số lượng,loại này thoa ban đêm trước khi đi ngủ,sáng ra thấy môi mềm hơn, giảm khô rõ rệt, nhưng shop gói hàng không cẩn thận, chỉ để vào 1 cái bọc xong dán lại thôi","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,3.2506442e-09
1,thaoan123_,5,2022-09-12 12:26,,"Công dụng: dưỡng ẩm
Mùi hương: chanh thơm mát bạc hà
Dành cho da: môi
Sản phẩm chất lượng, mình đã dùng nhiều lần, son không màu, không quá bóng, thơm, đóng gói cẩn thận, ở Hà Nội 2 ngày là nhận được hàng.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",4,1,1,0.99965346
2,bomingphm,5,2022-08-09 22:06,,"Công dụng: dưỡng ẩm môi
Dành cho da: khô, nức nẻ
Dễ sử dụng, độ ẩm không cao bằng dạng hũ nhưng công dụng vẫn tốt. Độ dài của son cao bằng khoảng 3 đốt tay.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",1,1,0,9.605594e-07
3,vtmen12,5,2023-03-26 00:05,,Bao bì: hàng oke. Giao nhanh. Mềm môi nhé. Mọi người nên mua nhé hihiihiii,,0,1,1,0.9999739
4,sacmaucuatoi.tot,5,2023-01-13 15:46,,Sau này được dùng để dưỡng môi có bị bắt nhà hà hơi nha mùa đông miền Bắc này dùng cũng tạm ổn không biết là miền Nam như thế nào giặt hộ cho ông anh ở mãi trong miền Nam ở đi dùng son nẻ,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1,0,0.00013502469
5,n*****h,5,2022-08-18 14:07,,"Công dụng: duong moi
Mùi hương: bạc hà
Shop gói hàng cận thận 
Mùi rất thơm
Cskh tốt
Có điều giao hàng hơi chậm vì do shop ở tận hn 
👍👍👍👍","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,4.3210857e-05
6,hanh050601,5,2022-06-10 04:06,,"Người mặc quần áo đẹp nhưng mình biết họ nợ nần lung tung, tự nhiên thấy phối đồ của họ nhìn cũng thường",,0,2,1,0.9999937
7,s*****8,5,2022-02-08 10:14,,"Đã nhậnnđủ hàng
Nếu dùng hiệu quả sẽ quay lại
Gói hàng cẩn thận",,0,2,0,0.0005157325
8,n*****3,5,2022-08-06 09:27,,"Công dụng: hết nẻ
Mùi hương: k mùi
Dành cho da: các loại
Đã từng sd sp, rất mềm môi và okla luôn . Lần sau ủng hộ típ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,2,1,0.9999887
9,min.xinh,5,2023-04-05 23:04,,Dùng môi mềm hơn mn nên mua nha hjxnxbckđjbdsmlxbd đj d djs ks,,0,2,0,1.7830821e-06
10,rimyeong,5,2023-03-28 13:49,,"Han So Hee đã thành công chiếm trọn trái tim của ""crush"" Song Hye Kyo 🤣",,0,2,0,4.0452943e-07
11,huong171268,5,2023-02-28 14:14,,"Giao đúng sản phẩm đã chọn, đóng gói cẩn thận chắc chắn, cảm ơn shop","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,1,0.99996936
12,c*****0,5,2023-02-11 21:17,,"Đóng gói cẩn thânn, giao hàng nhanh. Son này ok. Dưỡng tốt hạn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,0.648144
13,n*****e,5,2023-02-06 23:37,,"Shop giao hàng nhanh, đóng gói cẩn thận, chất lượng sản phẩm ok, shipper thân thiện","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,0.14082465
14,tranquocsu.tvt.cm69,5,2023-02-14 23:16,,"Va lung tung đến gồi, chéo nhanh săn xu còn mua quà tặng cờ rút mọi người ơi!! https://shp.ee/y3rnruw3v5s","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,3,1,0.7098568
15,linh_chit93,5,2023-01-28 14:19,,"Công dụng: tri khô môi
Mùi hương: dễ chịu
Dành cho da: môi khô nứt nẻ
Đóng gói cẩn thận,  tem mác đầy đủ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,0.005742125
16,p*****e,5,2023-01-31 17:59,,Sản phẩm bé xíu nên shop đóng gói cũng khá là cồng kềnh. Chất lượng sản phẩm ok,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,1,0.86083686
17,tuyetmaia,5,2022-11-13 17:17,,"Mùi hương: ko mùi
Dành cho da: môi khô nứt nẻ
Công dụng: dưỡng
Khi mới dùng có bạc hà mát lạnh, lúc sau thì hết. Rất mềm mượt. Có quà tặng thấm dầu kèm theo. Giao hàng nhanh. Đóng gói cẩn thận. Cảm ơn shop. Sẽ tiếp tục mua hàng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,0.00037682665
