,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,mjam38yqqt,5,2023-03-27 13:29,Phân loại hàng: Blooming Honey,"Làm đẹp: ok
Hương thơm: có mùi mật ong
Nhỏ gọn nghen , làm mềm môi OK la , mình thấy màu khá giống hồng cánh sen nha , chất lượng ok nha em cảm ơn anh chị",,1,1,0,0.5079746
1,tuyetmaia,5,2022-11-13 17:17,Phân loại hàng: Fragrance Free,"Công dụng: dưỡng môi
Mùi hương: không mùi
Dành cho da: khô nẻ
Dùng rất thích . Mềm mướt căng môi. Đã mua nhiều lần rồi. Quà tặng nữa. Cảm ơn shop. Giao hàng nhanh.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",3,1,0,1.2606128e-07
2,maianhbuinguyen299,5,2022-12-19 12:12,Phân loại hàng: Blooming Honey,"Công dụng: dưỡng
Mùi hương: thơm
Dành cho da: không biết
Rất oke nhé","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,5.4518464e-06
3,nguyen.lan.8994,5,2023-03-10 11:49,Phân loại hàng: Fragrance Free,"Công dụng: dưỡng môi
Mùi hương: 0 có
Dùng thử thấy cũng mềm mướt, 0 biết có chống nắng đc 0 cơ mà giá hơi chát, thỏi son 2.4g bé tí, còn bé hơn thỏi DHC. Mong là đắt sắt ra miếng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.12927727
4,e*****1,5,2023-01-30 19:38,Phân loại hàng: Fragrance Free,"Công dụng: dưỡng môi
Mùi hương: k mùi
Dành cho da: mọi loại da
Sản phẩm đúng mô tả, shop giao hàng nhanh. Vừa nhận hàng nên chưa biết tn. Nếu sd hiệu quả sẽ giới thiệu bạn bè mua hàng của shop❤","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",1,1,0,2.7174392e-06
5,v*****5,5,2022-12-14 17:33,Phân loại hàng: Fragrance Free,"Shop gửi hàng nhanh, đóng gói đơn cẩn thận. Sản phẩm dùng tốt như quảng cáo, tôi sẽ recommend cho người thân, bạn bè và đồng nghiệp vào hốt.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,1,1.0
6,lamcuong2904,5,2022-12-02 13:42,Phân loại hàng: Matcha,"Công dụng: Dưỡng môi
Mùi hương: Matcha
Son dùng tốt, thơm. Môi bị khô dùng 2 ngày môi mềm, mịn đúng sướng.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,2,0,2.0001299e-12
7,d*****i,5,2023-04-03 04:16,Phân loại hàng: Fragrance Free,"Hương thơm: không mùi
Mẹo: không
Kinh nghiệm sử dụng: dưỡng môi
shop giao hàng nhanh, son dưỡng thích lắm! với người siêu nghiền son dưỡng kiểu ko thể thiếu thì quá là ưng với độ dưỡng, đánh 1 lớp là đủ dưỡng luôn rùi<3",,0,2,0,5.090488e-13
8,maingocmai_230725,5,2023-04-05 19:52,Phân loại hàng: Fragrance Free,Hmmm chắc mua được hơn 10 thỏi ở shop này luôn rồi kh cần nói nhiều,,0,2,1,0.9995492
9,daotuyetnhung,5,2023-04-05 09:02,Phân loại hàng: Fragrance Free,"Hương thơm: ko mùi
Kinh nghiệm sử dụng: ngày 2-3 lần
Mẹo: lam mem moi
Giao hàng hơi lâu. Sp dùng thích. Dùng xong môi mềm hẳn nhưng tác dụng ko được lâu lắm",,0,2,0,0.013376546
10,t*****g,5,2023-03-20 21:58,Phân loại hàng: Fragrance Free,"Chiếc son thần thánh của cả nhà mình, chiếc son duy nhất xử lý được chiếc môi siêu khô của m. Giá cả cũng rất phải chăng",,0,2,0,1.6783016e-11
11,g*****i,5,2023-03-20 13:40,Phân loại hàng: Fragrance Free,"Packaging: nhuwaj cungws
Fragrance: không mùi
Mềm môi dễ chịu, không mùi,  đáng để thử, nên mua ạ",,0,2,1,0.8270843
12,lananhhh0800,5,2023-03-23 07:12,Phân loại hàng: Blooming Honey,"Đóng gói hàng chắc chắn, giao hàng nhanh, riêng mình thấy mùi hơi nồng mình không thích lắm, dưỡng ẩm cũng oke",,0,3,0,8.3695995e-06
13,silic,5,2023-02-11 20:16,Phân loại hàng: Matcha,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow
Come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singing like","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,1,0.99999964
14,3*****r,5,2023-02-22 14:26,Phân loại hàng: Fragrance Free,"Công dụng: dưỡng ẩm môi
Mùi hương: không mùi
Dành cho da: nào cũng đc
Dưỡng ẩm ổn, hơi bóng, giá ổn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,4.473612e-14
