,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,trandung86yhn,5,2023-04-05 09:09,Phân loại hàng: Đỏ Cam,"Mua các loại màu đánh cho thích, tuy ko bám nhiều nhưng yên tâm ko sợ hàng giả",,0,1,1,0.78150415
1,ananguyen2607,5,2022-11-07 16:16,Phân loại hàng: Hồng Cam,E thích hồng nên mua 2 màu hồng nhé 2 loại luôn dùng thử ok ạ giá mềm cả nhà nên mua nhe.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",5,1,0,0.0004892381
2,nguyennhumbftg,5,2022-05-07 12:59,Phân loại hàng: Hồng Cam,"Công dụng: đep
Độ bền màu: đep
Sp nhìn cũng ok. Màu son đẹp. Dùng xong mới biết được có lì maud hay không. Nhìn chung ổn.",,5,1,0,9.506172e-08
3,nhutntm,5,2022-05-16 09:13,Phân loại hàng: Hồng Cam,Giao hàng nhanh. Sản phẩm ok. Còn được tặng quà. Cảm ơn shop. Sẽ ủng hộ tiếp,,1,1,1,1.0
4,t*****u,5,2022-05-19 13:31,Phân loại hàng: Hồng Đỏ Đất,"Công dụng: son
Độ bền màu: nhanh trôi
Shop tặng nhiều quà 
Giao nhanh lắm luôn nha mnn",,1,1,1,0.99771225
5,buibinh_handmade,5,2022-07-17 14:33,Phân loại hàng: Hồng Cam,"Son mẫu mã  đẹp, giá rẻ, đóng gói cẩn thận, giao hàng nhanh. Duoc tặng quà, cái gói to","Rohto Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé
",3,1,0,0.35206872
6,b*****p,5,2023-03-28 10:43,Phân loại hàng: Đỏ Cam,"Lợi ích: mem moi va mau dep
Hiệu ứng làm đẹp: lam hong moi
Làm đẹp: son lam dep
Màu đẹp nha mọi người giao hàng nhanh nha",,0,2,0,1.0819341e-06
7,hanh_dom_08,5,2023-02-01 16:49,Phân loại hàng: Hồng Đỏ Đất,"Màu hồng đỏ đất lên màu đúng như mình muốn, vỏ son thiết kế cũng đẹp. Son hơi khô dù mình có bôi dưỡng môi trước. Shop gói hàng cẩn thận, giao nhanh.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",1,2,0,1.3483599e-08
8,n*****s,5,2022-09-11 10:56,Phân loại hàng: Nâu Đỏ,"Màu đẹp, matte, nhưng khô lắm lắm, không mềm như các loại khác
Vỏ xinh xịn mịn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,2,1,0.99999475
9,a*****u,5,2021-10-25 22:35,Phân loại hàng: Đỏ Cam,"Giao hàng nhanh, đóng gói cẩn thẩn , son rất thơm, hạn sử dụng dài hạn, hàng chính hãng . Cho shop 5* :))",,0,2,0,9.265179e-05
10,n*****h,5,2022-05-20 10:24,Phân loại hàng: Hồng Cam,Moi mua chưa sài.nên ko bít sao.nhưng shop giao nhanh.1ngay la nhan dc hang.thanks shop nhiu,,0,2,0,9.767373e-06
11,hienlang88,5,2022-06-02 19:25,Phân loại hàng: Đỏ Anh Đào,"Son đặt cho mẹ nên không có hình ảnh ạ
Nói chung màu đẹp mướt hhhh",,0,2,0,7.534183e-09
12,hanh_dom_08,5,2023-03-27 16:05,Phân loại hàng: Nâu Đỏ,"Màu đẹp, mua khi shop sale nên rẻ. Shop gói hàng cẩn thận, giao nhanh. Sẽ mua thêm màu khác.",,0,3,0,0.40342477
13,utxin_22,5,2023-03-12 08:27,Phân loại hàng: Đỏ Cam,"Hàng ok nhé, son ở ngoài nhìn xih lắm..đánh nhẹ thôi đã thấy màu bật lên rồi..","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,0.2692154
14,rongme1988,5,2023-03-05 15:57,Phân loại hàng: Đỏ Anh Đào,"Công dụng: son môi
Độ bền màu: son lì
Giao hàng nhanh, săn đựic giá sale nên giá cả không mắc lắm , son hiệu này thì xài ok rồi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,1.9547476e-12
15,lananhpham852,5,2023-02-19 23:05,Phân loại hàng: Nâu Đỏ,"Son thích hợp dùng cho người môi bị dị ứng. Vì son không có hương liệu. Màu nâu đỏ xinh lắm, chất son mịn không bị vón nhưng mà son chẳng lì gì cả. Với dễ bị bay màu lắm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen.",0,3,0,4.4721407e-08
16,yumi140789,5,2023-02-08 10:33,Phân loại hàng: Đỏ Cam,"Son mịn
Màu tươi
Nghiêng về đỏ nhiều hơn cam
Mua nhiều mẫu rồi rất thích dòng son này","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,3,0,0.0027709932
17,m*****8,5,2023-02-04 13:15,Phân loại hàng: Hồng Cam,"Công dụng: trang điểm
Màu hồng cam đánh lên môi thấy thiên sắc hồng nhiều hơn, chất son lì, nhẹ nhưng hơi khô môi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,3.7495913e-09
18,tranquocsu.tvt.cm69,5,2023-02-14 23:16,Phân loại hàng: Đỏ Cam,"Va lung tung đến gồi, chéo nhanh săn xu còn mua quà tặng cờ rút mọi người ơi!! https://shp.ee/y3rnruw3v5s","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,4,1,0.7098568
19,giahungpharma,5,2023-02-03 10:30,Phân loại hàng: Nâu Đỏ,Màu chưa đúng lắm vs hình ảnh. Giao hàng nhanh đóng gói cẩn thận,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,4,0,0.4685437
20,kimchi_1306,5,2022-12-25 23:59,Phân loại hàng: Hồng Cam,"Công dụng: son moi
Độ bền màu: chua xài chua biết
Mua tặng cho người thân nên cũng k biết chất lượng son như nào","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,0.00014458556
