,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,h*****y,5,2023-01-20 10:37,Phân loại hàng: Đỏ Ruby,"Công dụng: son
Màu đẹp, dáng gọn nhẹ sang, mình sài qua nhiều dòng son bị khô môi khá nhiều mặc dù có dưỡng, nay quay lại dùng liponlip, trước dùng ko bị khô môi","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",4,1,0,4.51033e-08
1,leyen1974,5,2022-12-08 16:18,Phân loại hàng: Cam Gạch,"Công dụng: ai mà biết tự mua mà sài đi nhaaaaaa
Độ bền màu: rất lâu
Tốt lắm luôn ý mua sài đi mấy bạn ơi son lên moi đẹp lắm đó nhoa mấy anh chị cô bác","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen
",1,1,0,3.7155957e-07
2,bebebangbonggon,5,2022-11-03 22:15,Phân loại hàng: Cam Gạch,"Hàng được gói rất kỹ, còn được tặng kèm 1 hộp bông tẩy trang. Thỏi son nhìn thiết kế bên ngoài đẹp mắt, trang nhã. Màu son thì mai đánh mới biết 😅","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,1,0,3.9722822e-06
3,n*****h,5,2022-08-18 14:07,Phân loại hàng: Đỏ Gạch,"Công dụng: makeup moi
Độ bền màu: rất ngắn
Shop gói hàng cận thận 
Mùi rất thơm
Cskh tốt
Có điều giao hàng hơi chậm vì do shop ở tận hn 
👍👍👍👍o","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,1,0,0.011749206
4,diemrom87,5,2022-08-11 15:06,Phân loại hàng: Cam Đào,"Công dụng: son
Độ bền màu: đẹp
Mình xài bên LiponLip quen rồi. Màu cam đào cũng xinh lắm ạ. Quà con gái tặng mẹ.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,1,0,1.488002e-11
5,mjmjshop,5,2022-05-24 11:26,Phân loại hàng: Đỏ Gạch,"Đánh cũng được, nhưng vẫn phải có dưỡng môi đánh lên mới mượt được❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️",,0,1,0,6.1034294e-12
6,d*****5,5,2023-02-15 22:04,Phân loại hàng: Cam Đào,"Công dụng: son
Độ bền màu: chưa biết
Shop giao đúng màu, gói hàng kĩ, date xa tận 10/2025. Màu cam đào lên môi mình nhìn cũng sáng lắm. Thank shop!","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,9.890539e-06
7,minhnhut1211,5,2022-07-13 07:57,Phân loại hàng: Đỏ Ruby,"Sp đóng gói cẩn thận đẹp mắt, dễ thương, hàng chất lượng tốt, rất hài lòng về sp, son màu dễ thương, lên màu đẹp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",2,2,0,8.265851e-05
8,minhnhut1211,5,2022-07-13 07:58,Phân loại hàng: Đỏ Ruby,"Sp đóng gói cẩn thận đẹp mắt, dễ thương, hàng chất lượng tốt, rất hài lòng về sp, hình ảnh chỉ mang tính chất nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",1,2,0,6.310665e-08
9,vuquocbaobin,5,2022-10-12 19:37,Phân loại hàng: Đỏ Gạch,"Công dụng: son môi
Độ bền màu: chưa trải nghiệm
Đánh lên môi đúng màu mình ưng. Chưa dùng lâu không biết bền màu k. Tô thêm dưỡng là ok","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,2,0,4.489229e-10
