,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,99lieungo,5,2023-02-18 14:55,Phân loại hàng: Đỏ Mọng,"Công dụng: thỏa lên môi
Mùi hương: không mùi
Dành cho da: mọi loại da
Shop chuẩn bị hàng nhanh,date xa, mẫu này có dưỡng phù hợp môi khô,thoa xong để vài phút để son khô, sẽ lì hơn, màu đẹp tôn da.giao hàng đủ số lượng, nhưng đóng gói sơ sài chỉ để vào 1 cái bọc xong dán lại, làm hộp son móp méo","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,0.041819397
1,nhtthn,5,2022-12-12 08:35,Phân loại hàng: Cam Đào,Shopee xưa giờ chuyên bán giá rẻ cho nên mình sợ vấn đề về chất lượng lắm. Nhưng từ khi mua được sản phẩm ở shop này thì mình đã yên tâm hơn rất rất là nhiều.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",3,1,0,2.0370237e-07
2,sasa_eyewear,5,2023-01-14 15:42,Phân loại hàng: Cam Đào,"Sản phẩm tốt hay không thì chưa biết, muốn biết thì phải thử, muốn thử thì phải mua, nên sản phẩm tốt hay ko thì chưa biết, nói chung chủ yếu để nhận xu là chính","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1,0,0.011631179
3,thanhphuong_1982,5,2022-05-04 11:12,Phân loại hàng: Đỏ Mọng,Sản phẩm dùng thử tốt thì sẽ ủn hộ shop tiếp. Giao hàng rất nganh,,1,1,0,4.6928287e-07
4,a*****t,5,2023-03-28 19:39,Phân loại hàng: Cam Đỏ,"Son đẹp, màu đẹp mọi người ạ. Cam đào màu đẹp và tươi hơn cam đỏ nhé. Cam đào lại như màu đỏ cam, còn cam đỏ lại thiên về hồng hồng chứ ko đỏ. Nói chung màu ko đc chuẩn như mình nhìn trên ảnh đâu. Độ bền màu thì cũng bình thường thôi. Ăn thi sẽ hết. Nhưng ko bị khô môi. Nói chung dùng được",,1,1,0,1.8475051e-06
5,sacmaucuatoi.tot,5,2023-01-13 15:44,Phân loại hàng: Cam Đào,Mà dùng cũng thích giá rẻ còn hơn mấy loại trôi nổi ngoài thị trường không có ngày sản xuất hạn sử dụng dưỡng môi lên màu cam hồng nhạt rất là đẹp nhé mình đã mua Nhiều lần rồi nhỏ gọn cầm đi đâu cũng tiện,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",1,1,0,6.600943e-08
6,c*****3,5,2023-03-27 09:52,Phân loại hàng: Cam Đỏ,"Mẹo: yess
Làm đẹp: yes
Hương thơm: k thấy
Màu son đẹp khi thoa lên môi xinh.. màu rất đẹp có dộ mướt và ẩm k bị lo khô 👄 màu này trẻ hay lớn tuổi đều dùng đc",,0,2,0,4.271337e-08
7,luongmyle88,5,2023-02-02 19:59,Phân loại hàng: Cam Đỏ,Son xịn,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,2,0,0.4001928
8,chip_chip_1998,5,2022-12-12 15:51,Phân loại hàng: Cam Đỏ,"Công dụng: dưỡng môi
Mùi hương: không rõ
Dành cho da: all
Son này mình mua để đi đâu cần thêm tí màu thì đánh xíu, tại đang phun môi nên k muốn dùng son lì","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,0,1.8726156e-12
9,v*****5,5,2022-12-13 12:08,Phân loại hàng: Cam Đào,"Công dụng: son môi
Mùi hương: khg có
Chat luong san pham tuyet voi thoi gian giao hang nhanh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,0,2.0149079e-14
